j,theta,chi2_min,chi2_avg,chi2_sigma,w_edge_R,w_n0_R,n0_R,eps_R,w_edge_R_sigma,w_n0_R_sigma,n0_R_sigma,w_edge_L,w_n0_L,n0_L,eps_L,w_edge_L_sigma,w_n0_L_sigma,n0_L_sigma,w_cont0,w_contf
0,10.0,3.3080686959299572,195769.35651874708,71454.28978807466,-0.9742866644071653, -0.7701371278934616,0.5706108386995978,0.18928615637368912,0.015191795581275884, 0.012362545025555064,0.02440692979004419,1.339792871673636, 0.877251450644579,0.5496239219393578,0.6306533572534848,0.018393598424526234, 0.03407901507197265,0.020381531936354138,0.0,0.0
1,10.0,1.3016957917631726,4.156469206355861,0.14874197573499243,-0.9968902240898562, -0.6952609713170658,0.5446150282805183,0.55111553129316,0.000703303235338184, 0.01512010296213331,0.01720582254962097,1.4169963193624946, 0.7774071933709417,0.4606465552976247,0.9991403059991076,0.0024379971344146464, 0.04212908642282875,0.01921356393619775,0.0,0.0
2,9.52380952,1.2092335473704385,2.782446326538402,0.07372071540449329,-1.001668606067258, -0.7403140171394532,0.4747395206817132,0.5901955595088493,0.0006781866365253675, 0.01971212153485854,0.02140791200024808,1.4361871821904268, 0.7592370279598455,0.4603135682240378,0.5347440900454326,0.0014568168219762376, 0.04585203466510679,0.01997318858053382,0.0,0.0
3,9.07029478,1.168874697406125,2.446588023401801,0.04804477074279232,-1.0042194580724082, -0.7113327962082053,0.5029286522769164,0.7984021824243381,0.0006703875045436628, 0.019115418456972684,0.019290184473761775,1.4442158756149073, 0.6310004183838331,0.5072299332892162,0.37112262223806924,0.0014487453482568563, 0.04499596429199036,0.018729962884657128,0.0,0.0
4,8.63837599,1.168874697406125,2.299253125056387,0.05264781543386426,-1.002989307008656, -0.707950655718578,0.49606201018080875,0.055568006141321624,0.0006681892308485505, 0.019171887228625235,0.01782989789545349,1.4557798174401306, 0.6963045230136522,0.47606809807875694,0.6432155182288436,0.002238669816280936, 0.04912890035414716,0.020571725027268273,0.0,0.0
5,8.22702475,1.168874697406125,2.2235337257331125,0.0386011152244237,-1.004008061651423, -0.7181231218625024,0.486264680610232,0.3880786447641288,0.0006106228666436791, 0.01765116297327001,0.017621272214446145,1.46209253071213, 0.5805490045076019,0.5220162719106785,0.8568042637091438,0.001662627416474378, 0.043622253711334394,0.01771831327478749,0.0,0.0
6,7.83526166,1.168874697406125,2.2004242644144894,0.04815115085864372,-1.0047310795798359, -0.7371948902718739,0.4789660080590144,0.8601402621739773,0.0005249110624341711, 0.01694951552312563,0.017223685846199523,1.4559824193719377, 0.7034422545327292,0.4762793631575846,0.8505074900590714,0.0013879189168784192, 0.048039286604517166,0.020903144312294168,0.0,0.0
7,7.46215397,1.168874697406125,2.2619181196588656,0.04758365724130086,-1.002940131986555, -0.7033735546696842,0.5057725050949806,0.7693498466529989,0.00045325969361618713, 0.02028434867933515,0.019926462042244634,1.4565124938408653, 0.649843315066893,0.4939684631757296,0.05468383712474262,0.0014715174476740062, 0.05187349353885797,0.021387215233611034,0.0,0.0
8,7.1068133,1.168874697406125,2.4160798253824103,0.05825324977096751,-1.0023313161417788, -0.731237342420634,0.48547952510089437,0.9743323266675836,0.0006523473035029246, 0.01958440042257983,0.020531939452365228,1.4484072288203274, 0.5738920878836637,0.5353228772654196,0.22258122408920333,0.00176239300441126, 0.05115548496073453,0.02160244483460117,0.0,0.0
9,6.76839362,1.1622933522657148,2.21901088041722,0.04970835882117542,-1.0040485145110505, -0.7171838725155929,0.49854630542959777,0.3996894159947379,0.000633620394516415, 0.022716507468720462,0.022816566301962143,1.4429495156794137, 0.6855968302723092,0.49049187465457783,0.8341644099970101,0.0011459955910578445, 0.04410530075382063,0.0191742407077473,0.0,0.0
10,6.44608916,1.1578432959810094,2.1366914944605595,0.05731700845680877,-1.0044638383499218, -0.7124229098877336,0.4969335820319136,0.9890397512693144,0.0005995154775922227, 0.019541019347594644,0.01952826926632931,1.4485838814253753, 0.6356543398977036,0.5081433818318593,0.3073176860453017,0.0010837846906687947, 0.04539896030605477,0.018333802229744702,0.0,0.0
11,6.13913254,1.133158272330588,1.8664597545179131,0.03000208911354392,-1.006932371975449, -0.7179567265551581,0.49920787615936496,0.0690235570559119,0.0005421883431385884, 0.01637036233709391,0.016264968486170237,1.4554906133846748, 0.6902623162227333,0.4807324180207925,0.06088948860925558,0.0017340573593978424, 0.04962374238408014,0.02144387374031136,0.0,0.0
12,5.84679289,1.133158272330588,1.807628159801341,0.022234908799254858,-1.0052973925875663, -0.7032258079217251,0.5096398506859556,0.49773439664307906,0.0005991037659164701, 0.022101187584355666,0.02107032545609517,1.464337143060375, 0.6572239475695106,0.4930217865005043,0.06712529905348819,0.0012314199498872232, 0.049358037815026075,0.020569237281721664,0.0,0.0
13,5.56837418,1.133158272330588,1.86451892661538,0.0370102794958134,-1.0038676234230943, -0.6932112110483425,0.5169789017972232,0.7447749823484567,0.000664827903002549, 0.024110124074497103,0.022593549281721484,1.4626381694047035, 0.5464300236914874,0.5425715004817483,0.7545892032007688,0.0016408767435801383, 0.04884036347356506,0.01958039344329538,0.0,0.0
14,5.30321351,1.133158272330588,1.717368109360026,0.024469886032391773,-1.0065691659115148, -0.7105528662127554,0.4937632275969153,0.6477213091994412,0.0006297845500700274, 0.025188591074770946,0.02545892726057774,1.458079292119006, 0.6150982827190089,0.5118348031280612,0.011467747117797134,0.001852117499105698, 0.05752848143931592,0.023669066732586796,0.0,0.0
15,5.05067953,1.133158272330588,1.938128119114815,0.03446104511092036,-1.0037608174611132, -0.7195926325741032,0.4939111252953281,0.20085539007769745,0.000580676018740245, 0.018964500045303475,0.01961297741609853,1.4580557925734494, 0.6099008730204865,0.517613791465563,0.5120354567303794,0.0014221719128755341, 0.05396915772020175,0.022139268248996126,0.0,0.0
16,4.81017098,1.133158272330588,1.811267434239244,0.04493819779824025,-1.0053396711649416, -0.7253364339955468,0.47371928260530893,0.49694556880657215,0.0008113396818271227, 0.023406913600103902,0.024225749964063,1.457170746693803, 0.7557749147908578,0.45000132595922226,0.28343386082334204,0.0016997044396613449, 0.04711188205104323,0.019565507154478277,0.0,0.0
17,4.58111522,1.133158272330588,1.7826986235257938,0.041825796526477055,-1.0062400753293728, -0.6909867637459703,0.5161840545654378,0.8259777690978463,0.0006107770508559915, 0.021496495335409885,0.021489015406270576,1.464344759890152, 0.6247798824891254,0.5060067579562788,0.7291176197108556,0.0016686792905625846, 0.05280226280742808,0.021860198096026254,0.0,0.0
18,4.36296688,1.133158272330588,1.6811822212505707,0.023584648386790554,-1.00422649481328, -0.675991284384203,0.5309281726595081,0.25292788577648684,0.0004149543394229606, 0.02230508955555231,0.021005752466444903,1.4679304129144328, 0.7033243579893026,0.4741747326081893,0.6285212226321651,0.001586389603321661, 0.05252531715927368,0.02239078291235712,0.0,0.0
19,4.15520655,1.1272365947450107,1.5678682982968692,0.014737405040031909,-1.0089351537154971, -0.7084088535624815,0.4990138349437344,0.8784825707884634,0.0007098149834158224, 0.02835531636090527,0.027380936045868807,1.4598842291606196, 0.6039847730692272,0.5152102559237879,0.049631344706576375,0.0018875452498540893, 0.0597662368397984,0.02401380789004459,0.0,0.0
20,3.95733957,1.1272365947450107,1.5370829330977436,0.01289629382367595,-1.009708624020969, -0.688512040380624,0.5265221884941398,0.15242716029336026,0.0005561358238518064, 0.023389744032706643,0.02193016242123567,1.4583479505171542, 0.6269371450174814,0.5167086387112099,0.13213172193481965,0.0018232254945115556, 0.051209383982762834,0.021698965334547248,0.0,0.0
21,3.76889483,1.1272365947450107,1.718031536592758,0.036884212715219786,-1.00798928031524, -0.6861683198974737,0.5317049882657175,0.7012057889320081,0.0006640155904159425, 0.023955390573951064,0.024002743756635993,1.4489963081706754, 0.6248146312181564,0.5121032029333834,0.18198462438567042,0.0013737859256677243, 0.05990698786407761,0.026080380833275612,0.0,0.0
