j,theta,chi2_min,chi2_avg,chi2_sigma,w_edge_R,w_n0_R,n0_R,eps_R,w_edge_R_sigma,w_n0_R_sigma,n0_R_sigma,w_edge_L,w_n0_L,n0_L,eps_L,w_edge_L_sigma,w_n0_L_sigma,n0_L_sigma
0,10.0,5682.301052303713,81876.4002528999,24098.679841420966,-1.1809050389641693, -0.7795300125752038,0.75,0.5,0.03785970230647299, 0.02629215083908397,0.0,0.9246582001064226, 0.3732597015862841,0.75,0.5,0.02571242493820642, 0.015184272917009821,0.0
1,10.0,2015.6472195501315,3736.6119388914535,182.67895263044454,-0.9210020857125307, -0.902365607382815,0.75,0.5,0.0016153723685295275, 0.0017033060330937724,0.0,1.2224196024932974, 0.25332753204096903,0.75,0.5,0.008352247592091615, 0.0037042962846354573,0.0
2,9.09090909,179.2022967914608,1054.6285392427249,84.83465670757676,-0.8988116985076726, -0.8758472767472434,0.75,0.5,0.0005629768669344281, 0.001097849299006609,0.0,1.3963280241971654, 0.15799657894877508,0.75,0.5,0.008518999554585708, 0.0055846535293921735,0.0
3,8.26446281,1.4200654301713995,21.007078546531833,5.358630354830081,-0.9718302559354257, -0.761889786725438,0.75,0.5,0.006252368419829209, 0.008448822811692064,0.0,1.5671647856027235, -0.022220833975915757,0.75,0.5,0.003779980786710227, 0.008362312172967463,0.0
4,7.51314801,1.2726923577603528,1.9149207673894588,0.022335284922415485,-1.0226003388877836, -0.6692227459927114,0.75,0.5,0.0009216990519255598, 0.0018946487899561978,0.0,1.6130512455946058, -0.1261054392249851,0.75,0.5,0.0018062138570160836, 0.0013637801914467673,0.0
5,6.83013455,1.2726923577603528,1.9959259328851877,0.02960373987990204,-1.0262545767318834, -0.6548968661011663,0.75,0.5,0.000814925313374791, 0.0009474279587399565,0.0,1.6142024039049248, -0.14788788550502813,0.75,0.5,0.0020652947943942037, 0.001344842381222369,0.0
6,6.20921323,1.2726923577603528,2.3693574847473027,0.045865830155519885,-1.0291350790416534, -0.646079801992572,0.75,0.5,0.0007709622932188215, 0.0011523450232830707,0.0,1.6321449632762675, -0.16780325114010022,0.75,0.5,0.001723701116559532, 0.0016365126308076564,0.0
7,5.6447393,1.2726923577603528,2.1138547374278773,0.020012226006996984,-1.024049190078802, -0.6495269716383815,0.75,0.5,0.0004962072623087034, 0.0006360533072466184,0.0,1.6382194787019226, -0.17762229046020103,0.75,0.5,0.0014039633804076154, 0.0011072815586141741,0.0
8,5.13158118,1.2726923577603528,2.095775115315223,0.04279639596352504,-1.024681343581275, -0.6514017065917992,0.75,0.5,0.001013739921742896, 0.001218779332369574,0.0,1.6278895594972405, -0.1688664895066922,0.75,0.5,0.0027662332858408574, 0.0004775504150203661,0.0
9,4.6650738,1.2483681802721536,1.8954074776890972,0.044405603389671214,-1.0349285774334391, -0.6485853420153277,0.75,0.5,0.0008454915535754723, 0.0010453036435038967,0.0,1.6077902530390322, -0.15059418052929457,0.75,0.5,0.001793731330400275, 0.000857962766127683,0.0
10,4.24097618,1.2483681802721536,1.7122408481007194,0.02070833182621865,-1.0263424206956981, -0.6527204981879027,0.75,0.5,0.0008233952277740067, 0.0009975109917330775,0.0,1.6013071558660872, -0.14587264670648914,0.75,0.5,0.0015009149115617854, 0.001066582714489815,0.0
11,3.85543289,1.2483681802721536,1.6525849147368898,0.018401339480065528,-1.0185389603810404, -0.6633272067781308,0.75,0.5,0.0006197380643957385, 0.0009599486057968809,0.0,1.6082835939573532, -0.14726099560765088,0.75,0.5,0.0022709471001033264, 0.0013584596390925857,0.0
12,3.50493899,1.2483681802721536,1.6504825922961184,0.010072324591973464,-1.0224075743085406, -0.6633661729484013,0.75,0.5,0.0013282612949093555, 0.0014525520815762577,0.0,1.620241602118755, -0.14918696982483742,0.75,0.5,0.0012547561836276754, 0.0009120416748956555,0.0
13,3.18630818,1.2483681802721536,1.5971967990215565,0.023754233503452238,-1.0231197501940918, -0.6559824056785167,0.75,0.5,0.0007935135452561008, 0.0009323326535308759,0.0,1.6127735280744524, -0.15311953386653906,0.75,0.5,0.0020153541748531125, 0.0005076755093841045,0.0
14,2.8966438,1.2483681802721536,1.5649924126048327,0.01582152383716567,-1.028850216916742, -0.6528771638502953,0.75,0.5,0.000605430122260238, 0.0005254376051641666,0.0,1.613282491452095, -0.15129055391447488,0.75,0.5,0.0013472034695377528, 0.00038746571714074477,0.0
15,2.63331254,1.2483681802721536,1.535446424024651,0.007691601500988797,-1.025418143482129, -0.6557210882055723,0.75,0.5,0.0005417304350690073, 0.0004969186955808425,0.0,1.6138421702777888, -0.1499005286209593,0.75,0.5,0.0012184041801836533, 0.00045861265125859773,0.0
16,2.39392049,1.2483681802721536,1.5554386517425363,0.008392767922883338,-1.0220789654115352, -0.6611192331550927,0.75,0.5,0.0009461672675323822, 0.0008244309414986231,0.0,1.613375485982332, -0.1574360616255225,0.75,0.5,0.0014172083189791635, 0.0004845010631523368,0.0
17,2.17629136,1.2483681802721536,1.6363014313017796,0.015709839597752635,-1.0178242528074093, -0.6574145997161664,0.75,0.5,0.000491242436847652, 0.0010035268368783876,0.0,1.623612429994115, -0.16878746920907958,0.75,0.5,0.0015339362654478161, 0.0004962459708205889,0.0
18,1.97844669,1.2483681802721536,1.7477466504105177,0.03044653643096787,-1.028274832023484, -0.6486300024809161,0.75,0.5,0.0007192809351522335, 0.000760577097772794,0.0,1.6200915791992223, -0.16986439725659844,0.75,0.5,0.0016256424953133633, 0.0004786116204677707,0.0
19,1.7985879,1.2483681802721536,1.4498310595070807,0.005915900232563391,-1.0253260980994572, -0.6492334897346944,0.75,0.5,0.000507414994898619, 0.0008477900882922191,0.0,1.6035441398572288, -0.17038673781657795,0.75,0.5,0.0011349390899508612, 0.00036408154461024014,0.0
20,1.63507991,1.2483681802721536,1.5326231908068482,0.011546231574554951,-1.0307567025485387, -0.6545655595646882,0.75,0.5,0.0004520002461438233, 0.000670156122644489,0.0,1.6194312031474005, -0.1670181271005512,0.75,0.5,0.001293196604911158, 0.0003881585238980283,0.0
21,1.48643628,1.2483681802721536,1.5494065013839717,0.01201263112235362,-1.0272193106993461, -0.6481413618731294,0.75,0.5,0.0005391650378115244, 0.0005390928419826964,0.0,1.6199228224038094, -0.17143706824829397,0.75,0.5,0.0009441887737788264, 0.00039395772082488135,0.0
22,1.35130571,1.2483681802721536,1.5675083842355364,0.014257791288357562,-1.0297872196770634, -0.6436483672016365,0.75,0.5,0.00042625643197730215, 0.0005187532419802526,0.0,1.6243795163456514, -0.17457745401085598,0.75,0.5,0.0008361586564926464, 0.00025928732790682883,0.0
23,1.22845974,1.2483681802721536,1.4580168760072159,0.009015014694613025,-1.0304888308538693, -0.642193339625863,0.75,0.5,0.0006002622539254996, 0.0004356201728530863,0.0,1.6095796481519287, -0.17529985721287172,0.75,0.5,0.0014241254238344923, 0.00031907140157452784,0.0
24,1.11678158,1.2483681802721536,1.4703486066166607,0.007502236392836693,-1.0278366498912979, -0.646656478509925,0.75,0.5,0.0004767844990334694, 0.0004721353087074588,0.0,1.6198530904435628, -0.1742823518872832,0.75,0.5,0.001037275755177163, 0.0003713301199715818,0.0
25,1.01525598,1.2483681802721536,1.4231576421582306,0.004279630083628693,-1.0259368437558964, -0.6437648545209609,0.75,0.5,0.00043810850309698366, 0.0003666284171473751,0.0,1.6171873454726733, -0.175635660501203,0.75,0.5,0.0011907180117396283, 0.00045509918560516566,0.0
26,0.92295998,1.2483681802721536,1.3873634067436282,0.006836670333077647,-1.0283473561439542, -0.6483018371096054,0.75,0.5,0.0005284702491511487, 0.0008456534618535958,0.0,1.6154491380861309, -0.16884364275507885,0.75,0.5,0.0008539575892754641, 0.0005283552576439028,0.0
27,0.83905453,1.2483681802721536,1.362205811314823,0.004123871109206608,-1.0289453764096859, -0.6552059264974088,0.75,0.5,0.00033795269940105506, 0.00020832674945991443,0.0,1.6161503682959482, -0.16502687341642647,0.75,0.5,0.0008433404524884674, 0.00039242248095885555,0.0
28,0.76277684,1.2483681802721536,1.3611231404209263,0.004546620040322186,-1.0309472347968525, -0.6556563127754635,0.75,0.5,0.0005122562052065754, 0.0005593008786863983,0.0,1.6185024045458267, -0.1649839829637076,0.75,0.5,0.0005897116825318294, 0.0002684270318444775,0.0
29,0.69343349,1.2483681802721536,1.3693451822151643,0.00810120978399048,-1.0317852411059527, -0.6515484178777335,0.75,0.5,0.0004732132692327005, 0.00022513656079393727,0.0,1.612269122458614, -0.17151024928456482,0.75,0.5,0.0016637882201424427, 0.0003734616466911059,0.0
30,0.63039409,1.2483681802721536,1.3247340576637638,0.0025289748553277815,-1.0303273589642443, -0.6498807982957484,0.75,0.5,0.00035673631632579755, 0.00037673220939577596,0.0,1.6028166234616148, -0.16963212611444828,0.75,0.5,0.0013004546144693527, 0.00028336377386839094,0.0
31,0.57308553,1.2481357569474676,1.3050645842103012,0.0026854267713406206,-1.0323757890012828, -0.6457724357322461,0.75,0.5,0.0004273227234068064, 0.0003894720404309601,0.0,1.5967208935855712, -0.17129113758329567,0.75,0.5,0.0011047943352212948, 0.00038650082718023643,0.0
32,0.52098685,1.2481357569474676,1.3330076619653226,0.0027144515740556087,-1.0274676696455909, -0.6500397761712049,0.75,0.5,0.00040427548469187675, 0.00045739210749611036,0.0,1.6060684114508117, -0.17159932516098805,0.75,0.5,0.0021398315508401843, 0.000178355969803883,0.0
33,0.47362441,1.2481357569474676,1.3495326690081195,0.002073027351057072,-1.0282741698131042, -0.6576607185915416,0.75,0.5,0.0003093858060917444, 0.0006171266307856575,0.0,1.612295368228025, -0.16870833478741926,0.75,0.5,0.0012865855188998342, 0.0004645959077836119,0.0
34,0.43056764,1.2481357569474676,1.360396303493473,0.00501021122887431,-1.0237627463649115, -0.6519278142496936,0.75,0.5,0.0003326806089998401, 0.0002954442006119342,0.0,1.6091050270059057, -0.1720014867217935,0.75,0.5,0.0017103587863497216, 0.0002408030964752309,0.0
35,0.39142513,1.2481357569474676,1.3159248941831756,0.0018421392093931088,-1.0252140224136244, -0.6497324664644869,0.75,0.5,0.00027427408358426345, 0.00042560468773622675,0.0,1.5939055793414973, -0.17364602609032936,0.75,0.5,0.0007966647747739457, 0.00018788686942303585,0.0
36,0.35584103,1.2481357569474676,1.32110489843495,0.002198362203636039,-1.0269188448662139, -0.652350311222711,0.75,0.5,0.00022140986805338343, 0.00032315000384795567,0.0,1.605781311415105, -0.17170383374330037,0.75,0.5,0.0009182490907303279, 0.00022925352215216087,0.0
37,0.32349184,1.2481357569474676,1.328361576063322,0.002751829928298738,-1.0267804678781096, -0.6463503835949481,0.75,0.5,0.0002569149442510816, 0.0004133809626215412,0.0,1.6163527776294402, -0.16920934097731286,0.75,0.5,0.0008797452918803492, 0.00017783571043092293,0.0
38,0.29408349,1.2481357569474676,1.3267005397148623,0.0017594521494526045,-1.0238281839421381, -0.6456843463321233,0.75,0.5,0.00033214873363047483, 0.00041389680779599516,0.0,1.6104966096070417, -0.17199800653406905,0.75,0.5,0.0006104399190651287, 0.00021595227591640655,0.0
39,0.26734863,1.2481357569474676,1.3396432865740089,0.0014577382726144801,-1.022107126640417, -0.6494607426284632,0.75,0.5,0.0003486348369787659, 0.00021340647201854783,0.0,1.6108001727256247, -0.17153662450492063,0.75,0.5,0.0005768488863166156, 0.00018317815630248854,0.0
40,0.24304421,1.2481357569474676,1.3352619720565668,0.0016754032141179432,-1.0248144419389658, -0.6494606028538858,0.75,0.5,0.0004452523924740345, 0.00019133342939042534,0.0,1.6177369569499807, -0.17204887500902882,0.75,0.5,0.0005512800523002214, 0.00017025165596644117,0.0
41,0.22094928,1.2481357569474676,1.3016061353373387,0.001305029981853231,-1.026881413956625, -0.6522720452528963,0.75,0.5,0.0005756186185773516, 0.000268005310901205,0.0,1.6046360956721177, -0.1761383268188568,0.75,0.5,0.0007972452659640246, 0.00021147398548542634,0.0
42,0.20086298,1.2481357569474676,1.313283579048587,0.0013577121962267138,-1.0230454802352458, -0.6538978830952541,0.75,0.5,0.00032943829649881567, 0.0003054194558614377,0.0,1.597115261407868, -0.1741504945842346,0.75,0.5,0.0007537549792264545, 0.00021218495424160048,0.0
43,0.18260271,1.2481357569474676,1.3240273982910857,0.0011691769147713442,-1.0248155774125327, -0.6564335791946678,0.75,0.5,0.0002120308191321788, 0.0003540146287357466,0.0,1.598148538957642, -0.1736069466815618,0.75,0.5,0.0006603512288581388, 0.00015758813595556924,0.0
44,0.16600247,1.2481357569474676,1.3125731655344914,0.0010236648185917526,-1.0256257629177061, -0.658277182290392,0.75,0.5,0.000338582293994221, 0.0003110745428327991,0.0,1.6008672126240593, -0.17753139945402102,0.75,0.5,0.0008055363665048002, 0.00012337076798035559,0.0
45,0.15091133,1.2481357569474676,1.3242505068271029,0.0018462018883649875,-1.0208700106029618, -0.6596551334678605,0.75,0.5,0.0001974756976918693, 0.000193492528973292,0.0,1.6012055311234341, -0.17642544564326226,0.75,0.5,0.00090218576409288, 0.00030338797694660647,0.0
46,0.13719212,1.2481357569474676,1.3261112194776465,0.0008314338520744074,-1.0238629090774647, -0.6593441513924416,0.75,0.5,0.0002224738266873838, 0.00028995891164625826,0.0,1.5932104495945754, -0.1738674314855064,0.75,0.5,0.0009689436985411427, 0.00034631764761784104,0.0
47,0.12472011,1.2481357569474676,1.3233961154794327,0.0008802198881998532,-1.0259590959321776, -0.6562068554415588,0.75,0.5,0.0003413685096325763, 0.00015483081519234414,0.0,1.6023893373641898, -0.17273012764255374,0.75,0.5,0.0006436172503732671, 0.00021201303126842938,0.0
48,0.11338192,1.2481357569474676,1.2885573108248571,0.0016818973119772124,-1.0312064441040527, -0.6533770677658112,0.75,0.5,0.00022624429319964955, 0.00024132380653410002,0.0,1.585885860326577, -0.17650255901565642,0.75,0.5,0.0011973000965653923, 0.00020685789565810613,0.0
49,0.10307447,1.2481357569474676,1.2797217500274747,0.0006252584657212079,-1.031813215623413, -0.6525683584444103,0.75,0.5,0.0002201391477532683, 0.0002575461783219392,0.0,1.5844538616438102, -0.17742826860009467,0.75,0.5,0.0007786342545787985, 0.00014513594313364826,0.0
50,0.09370406,1.2481357569474676,1.2720361468318788,0.0008240277465452788,-1.028954519181968, -0.6490296650172289,0.75,0.5,0.0002069752324874376, 0.00017157372773564725,0.0,1.572796108595592, -0.17732492897451801,0.75,0.5,0.0010434042447871295, 0.00012788617416766,0.0
