j,ar_cont_s,∆w_cont_s,ar_cont_amp_sw,ar_cont_amp,ar_edge_s,∆w_edge,ar_edge_m,n_clust,ar_edge_amp
0,0.0,6.839503657963141e-5,0.0,0.0,0.12070833333333338,0.00011590442348362922,0.5595238095238094,26.727272727272727,0.0
1,0.0,1.7840197799124144e-6,0.0,0.0,0.483772727272727,0.00020301623410356562,0.5443211334120425,29.727272727272727,0.0
2,0.0,4.653446703567627e-8,0.0,0.0,0.4901500000000002,0.00018816686066069213,0.540987012987013,29.506493506493506,0.0
3,0.0,1.2138075186592119e-9,0.0,0.0,0.4810555555555557,0.00017261256232147898,0.5425108225108227,29.441558441558442,0.0
4,0.0,3.1661020018217656e-11,0.0,0.0,0.5009375000000003,0.00015634799087564292,0.5237662337662338,29.87012987012987,0.0
5,0.0,8.258477338328415e-13,0.0,0.0,0.4872142857142857,0.00019404133831646915,0.5325417439703153,29.935064935064936,0.0
6,0.0,2.154145631076981e-14,0.0,0.0,0.5076666666666668,0.0001392415068098714,0.5481385281385284,28.714285714285715,0.0
7,0.0,5.61888494668591e-16,0.0,0.0,0.4922000000000001,0.00017955897381265526,0.5628051948051948,30.064935064935064,0.0
8,0.0,1.465632944617072e-17,0.0,0.0,0.48375,0.00015179981912531246,0.5225974025974027,29.038961038961038,0.0
9,0.0,3.822964785235316e-19,0.0,0.0,0.47300000000000003,0.00013662580360200696,0.5419913419913422,29.649350649350648,0.0
10,0.0,9.971841723964417e-21,0.0,0.0,0.52325,0.00014715249568847654,0.5407792207792208,28.194805194805195,0.0
11,0.0,2.601060510728109e-22,0.0,0.0,0.47524999999999995,0.0001329242430412958,0.5719480519480519,29.896103896103895,0.0
12,0.0,6.784620101029315e-24,0.0,0.0,0.5162499999999998,0.00013479838993980925,0.5296103896103898,29.506493506493506,0.0
13,0.0,1.7697039236663333e-25,0.0,0.0,0.4884999999999999,0.00013617449150578751,0.5503896103896104,28.727272727272727,0.0
14,0.0,4.6161051478252706e-27,0.0,0.0,0.5017500000000001,0.00014110137249638856,0.5576623376623377,29.662337662337663,0.0
15,0.0,1.2040673273546139e-28,0.0,0.0,0.47525000000000006,0.0001105994097166388,0.5638961038961041,28.233766233766232,0.0
16,0.0,3.140695634903155e-30,0.0,0.0,0.5057500000000001,8.545390716213527e-5,0.5488311688311688,27.506493506493506,0.0
17,0.0,8.192207235430342e-32,0.0,0.0,0.49574999999999997,0.00011032396409442358,0.5332467532467533,28.61038961038961,0.0
18,0.0,2.136859702112036e-33,0.0,0.0,0.4952500000000001,9.860581057379763e-5,0.5703896103896103,28.74025974025974,0.0
19,0.0,5.573796237431822e-35,0.0,0.0,0.48774999999999996,0.0001077089368113902,0.5766233766233766,28.246753246753247,0.0
20,0.0,1.453871981660884e-36,0.0,0.0,0.495,9.318119674043647e-5,0.5566233766233767,28.87012987012987,0.0
21,0.0,3.792287426769069e-38,0.0,0.0,0.51025,0.00010044137862721,0.5548051948051951,27.714285714285715,0.0
22,0.0,9.891822738616643e-40,0.0,0.0,0.5442499999999999,0.00013164921639994572,0.5174025974025974,25.064935064935064,0.0
