j,ar_cont_s,∆w_cont_s,ar_cont_d,∆w_cont_d,ar_cont_amp_sw,ar_cont_amp,ar_edge_s,∆w_edge,ar_edge_m,n_clust,ar_edge_amp
0,NaN,NaN,0.0,-0.0005231714211108675,0.0,0.0,0.005541666666666666,6.131450789671155e-5,0.4650216450216449,10.558441558441558,0.5750169825294947
1,NaN,NaN,0.0,-3.5595423976923216e-7,0.0,0.0,0.1519691780821918,2.023402905926977e-6,0.4637075253513609,11.324675324675324,0.4673893341278455
2,NaN,NaN,0.0,-2.4218337565278005e-10,0.0,0.0,0.3459507042253521,5.239075551835957e-7,0.4297146515456374,14.168831168831169,0.4771434782842162
3,NaN,NaN,0.0,-1.647762012347447e-13,0.0,0.0,0.42650000000000016,3.6355054896825106e-7,0.4988429752066116,15.402597402597403,0.4818449179920967
4,NaN,NaN,0.0,-1.1211007535166223e-16,0.0,0.0,0.45102996254681643,4.068687063766014e-7,0.4941874604795953,16.233766233766232,0.4699544415926173
5,NaN,NaN,0.0,-7.627721055087143e-20,0.0,0.0,0.4590250965250964,3.242341865612996e-7,0.4522388808103094,16.09090909090909,0.5768778399461502
6,NaN,NaN,0.0,-5.1897323511483186e-23,0.0,0.0,0.5265500000000001,3.9291092700243296e-7,0.4379740259740261,16.506493506493506,0.5300380514646285
7,NaN,NaN,0.0,-3.530978870627794e-26,0.0,0.0,0.48564049586776853,3.3500162557730583e-7,0.46710314478909515,17.155844155844157,0.5268512812017334
8,NaN,NaN,0.0,-2.4023997657723555e-29,0.0,0.0,0.5097222222222222,3.6869389427050997e-7,0.46137196137196135,17.207792207792206,0.5063647112037999
9,NaN,NaN,0.0,-1.6345395557569312e-32,0.0,0.0,0.4803888888888889,3.3766995112715766e-7,0.396075036075036,17.38961038961039,0.4954763652771549
10,NaN,NaN,0.0,-1.1121044871044293e-35,0.0,0.0,0.5100806451612904,4.037418977904201e-7,0.4359925788497217,17.77922077922078,0.5503736794281937
11,NaN,NaN,0.0,-7.566512452279404e-39,0.0,0.0,0.49383971291866036,3.3009926327796307e-7,0.4169514695830486,17.753246753246753,0.3847547341492929
12,NaN,NaN,0.0,-5.1480873743766445e-42,0.0,0.0,0.5098258706467662,2.991160453898242e-7,0.43251276087096985,18.558441558441558,0.5095314410172594
13,NaN,NaN,0.0,-3.5026445514184373e-45,0.0,0.0,0.48763020833333337,2.8802988168607245e-7,0.4387851731601731,19.7012987012987,0.445326698017851
14,NaN,NaN,0.0,-2.383121722961588e-48,0.0,0.0,0.48702445652173915,2.701765449292049e-7,0.41763128176171654,19.142857142857142,0.5299053717252852
15,NaN,NaN,0.0,-1.621423202691669e-51,0.0,0.0,0.4702142857142856,2.2977447483146628e-7,0.478961038961039,20.857142857142858,0.4488643540407044
16,NaN,NaN,0.0,-1.1031804111792258e-54,0.0,0.0,0.5243263473053892,2.6782081114758713e-7,0.43634808305467,18.558441558441558,0.482149702137923
17,NaN,NaN,0.0,-7.505795017545412e-58,0.0,0.0,0.4715408805031447,2.6858413931560905e-7,0.46467369108878565,20.246753246753247,0.5498417923169262
18,NaN,NaN,0.0,-5.10677657747649e-61,0.0,0.0,0.4635833333333335,2.2224791285090443e-7,0.47350649350649343,20.51948051948052,0.4697568445684514
19,NaN,NaN,0.0,-3.4745376007871634e-64,0.0,0.0,0.5014964788732394,2.090126353690092e-7,0.4357965977684288,19.883116883116884,0.5592865453987319
20,NaN,NaN,0.0,-2.363998376692131e-67,0.0,0.0,0.48777985074626856,2.159060872701116e-7,0.4276991665051366,21.25974025974026,0.5034243925037939
21,NaN,NaN,0.0,-1.608412101724543e-70,0.0,0.0,0.4878000000000001,2.275462356333392e-7,0.5003636363636365,20.584415584415584,0.5480645158653281
22,NaN,NaN,0.0,-1.0943279464488699e-73,0.0,0.0,0.4689102564102564,1.827016215687739e-7,0.49872349872349864,21.12987012987013,0.49232525331614574
23,NaN,NaN,0.0,-7.445564809509828e-77,0.0,0.0,0.49415137614678883,1.727444766389868e-7,0.4251161682354343,21.623376623376622,0.45471832394793177
