j,ar_cont_s,∆w_cont_s,ar_cont_amp_sw,ar_cont_amp,ar_edge_s,∆w_edge,ar_edge_m,n_clust,ar_edge_amp
0,NaN,NaN,0.0,0.0,0.5182083333333334,0.0005312407176495382,0.500909090909091,11.753246753246753,0.0
1,NaN,NaN,0.0,0.0,0.4814236111111111,0.0012384425465214867,0.48913239538239545,10.714285714285714,0.0
2,NaN,NaN,0.0,0.0,0.4893181818181819,0.0011874435428908287,0.5174025974025973,10.662337662337663,0.0
3,NaN,NaN,0.0,0.0,0.48949619771863107,0.00128670621803526,0.49182756407090994,10.597402597402597,0.0
4,NaN,NaN,0.0,0.0,0.48514999999999997,0.0013389986284350077,0.5080000000000001,10.233766233766234,0.0
5,NaN,NaN,0.0,0.0,0.49180672268907555,0.0010191289275394485,0.49978173087416783,10.207792207792208,0.0
6,NaN,NaN,0.0,0.0,0.48733333333333306,0.000994272794578774,0.4864069264069264,9.558441558441558,0.0
7,NaN,NaN,0.0,0.0,0.4863849765258216,0.0009759604642862211,0.49137247728797,9.155844155844155,0.0
8,NaN,NaN,0.0,0.0,0.49262500000000004,0.0009240397909142075,0.5011688311688312,9.480519480519481,0.0
9,NaN,NaN,0.0,0.0,0.49474734042553176,0.0009029580271986604,0.49212489638021534,9.376623376623376,0.0
10,NaN,NaN,0.0,0.0,0.48621428571428565,0.0007823457802325535,0.4899443413729129,9.155844155844155,0.0
11,NaN,NaN,0.0,0.0,0.48266871165644165,0.0010069596357920303,0.5017130109154648,9.090909090909092,0.0
12,NaN,NaN,0.0,0.0,0.4845833333333334,0.0011181322546098959,0.5064069264069264,8.571428571428571,0.0
13,NaN,NaN,0.0,0.0,0.4916666666666668,0.0010900332382836274,0.4881422924901186,8.493506493506494,0.0
14,NaN,NaN,0.0,0.0,0.483,0.0009364169719756444,0.5008831168831168,8.272727272727273,0.0
15,NaN,NaN,0.0,0.0,0.4964601769911504,0.0008466783816341885,0.4900586139524191,8.090909090909092,0.0
16,NaN,NaN,0.0,0.0,0.48099999999999987,0.0009308778737043687,0.4927272727272727,8.311688311688311,0.0
17,NaN,NaN,0.0,0.0,0.48650568181818177,0.0008202272544027802,0.491145218417946,7.857142857142857,0.0
18,NaN,NaN,0.0,0.0,0.49449999999999983,0.0007707511958708602,0.4974891774891775,7.714285714285714,0.0
19,NaN,NaN,0.0,0.0,0.4833333333333335,0.000764451793101317,0.4968047825190681,7.558441558441558,0.0
20,NaN,NaN,0.0,0.0,0.45375,0.0006062605020736086,0.5051948051948053,7.48051948051948,0.0
21,NaN,NaN,0.0,0.0,0.48525000000000007,0.0007752606573697433,0.5000000000000001,7.545454545454546,0.0
22,NaN,NaN,0.0,0.0,0.4804999999999998,0.0007131446243291517,0.485974025974026,7.597402597402597,0.0
23,NaN,NaN,0.0,0.0,0.4897500000000002,0.0007666649895942904,0.4955844155844156,7.181818181818182,0.0
24,NaN,NaN,0.0,0.0,0.4632500000000002,0.0007678507925668289,0.5153246753246754,7.103896103896104,0.0
25,NaN,NaN,0.0,0.0,0.46849999999999986,0.0007142301022294137,0.4864935064935064,6.909090909090909,0.0
26,NaN,NaN,0.0,0.0,0.4942499999999999,0.0007564851929948096,0.5044155844155843,6.48051948051948,0.0
27,NaN,NaN,0.0,0.0,0.49575,0.000738038881545682,0.4841558441558442,6.2727272727272725,0.0
28,NaN,NaN,0.0,0.0,0.47675,0.0006823665837363566,0.5231168831168831,6.311688311688312,0.0
29,NaN,NaN,0.0,0.0,0.4902499999999999,0.000667219858827581,0.508831168831169,6.1558441558441555,0.0
30,NaN,NaN,0.0,0.0,0.481,0.0008025716778612428,0.4955844155844158,5.922077922077922,0.0
31,NaN,NaN,0.0,0.0,0.47225,0.0006540017266257363,0.5033766233766233,6.090909090909091,0.0
32,NaN,NaN,0.0,0.0,0.49850000000000005,0.0006565820112245595,0.4994805194805194,5.662337662337662,0.0
33,NaN,NaN,0.0,0.0,0.4817499999999998,0.0006039573540949689,0.49506493506493504,5.857142857142857,0.0
34,NaN,NaN,0.0,0.0,0.5080000000000001,0.0006308418659891314,0.4836363636363636,5.571428571428571,0.0
35,NaN,NaN,0.0,0.0,0.48975,0.0005216455596333682,0.5171428571428571,5.701298701298701,0.0
36,NaN,NaN,0.0,0.0,0.48875000000000013,0.0005404737346961161,0.5098701298701299,6.012987012987013,0.0
37,NaN,NaN,0.0,0.0,0.48825000000000013,0.0006130495983822081,0.4950649350649351,5.454545454545454,0.0
38,NaN,NaN,0.0,0.0,0.48475,0.0004717262535244906,0.49142857142857127,5.597402597402597,0.0
39,NaN,NaN,0.0,0.0,0.49000000000000005,0.0004924922073260655,0.49142857142857155,5.584415584415584,0.0
40,NaN,NaN,0.0,0.0,0.4847500000000001,0.00044604342315284693,0.5005194805194805,5.233766233766234,0.0
41,NaN,NaN,0.0,0.0,0.47349999999999987,0.00044340702281388744,0.5072727272727274,5.246753246753247,0.0
42,NaN,NaN,0.0,0.0,0.5060000000000001,0.0004417825192227491,0.48000000000000004,4.909090909090909,0.0
43,NaN,NaN,0.0,0.0,0.47424999999999995,0.00045883536262009714,0.5241558441558443,4.961038961038961,0.0
44,NaN,NaN,0.0,0.0,0.4867500000000001,0.00043832746816681865,0.4787012987012988,4.857142857142857,0.0
45,NaN,NaN,0.0,0.0,0.48424999999999996,0.0004123823153942211,0.4838961038961039,4.857142857142857,0.0
46,NaN,NaN,0.0,0.0,0.49824999999999997,0.0004133884531370661,0.489090909090909,4.909090909090909,0.0
47,NaN,NaN,0.0,0.0,0.5032499999999999,0.00040194052074743545,0.498961038961039,4.545454545454546,0.0
48,NaN,NaN,0.0,0.0,0.48050000000000004,0.0003901298113073953,0.49584415584415575,4.571428571428571,0.0
49,NaN,NaN,0.0,0.0,0.4655000000000002,0.0004018678162125011,0.46285714285714274,4.5064935064935066,0.0
50,NaN,NaN,0.0,0.0,0.49399999999999994,0.00040541129401789374,0.49194805194805197,4.441558441558442,0.0
51,NaN,NaN,0.0,0.0,0.5002500000000001,0.0003907306032017219,0.4909090909090911,4.467532467532467,0.0
52,NaN,NaN,0.0,0.0,0.47750000000000004,0.00037049557875842376,0.47558441558441544,4.246753246753247,0.0
53,NaN,NaN,0.0,0.0,0.47024999999999995,0.00036018404046662164,0.5051948051948051,4.285714285714286,0.0
54,NaN,NaN,0.0,0.0,0.471,0.00037050304314541156,0.5010389610389612,4.285714285714286,0.0
55,NaN,NaN,0.0,0.0,0.4875000000000001,0.000366162810112032,0.518961038961039,4.181818181818182,0.0
56,NaN,NaN,0.0,0.0,0.4955,0.00037217134458166943,0.46259740259740256,3.935064935064935,0.0
57,NaN,NaN,0.0,0.0,0.47925000000000006,0.0003360665560919515,0.5249350649350649,3.8701298701298703,0.0
58,NaN,NaN,0.0,0.0,0.45550000000000007,0.0003245876070277963,0.5031168831168829,3.961038961038961,0.0
59,NaN,NaN,0.0,0.0,0.48100000000000015,0.0003180942276724492,0.47792207792207786,3.831168831168831,0.0
60,NaN,NaN,0.0,0.0,0.47275,0.00032308157023657234,0.47766233766233757,3.6493506493506493,0.0
