j,theta,chi2_min,chi2_avg,chi2_sigma,w_edge_R,w_n0_R,n0_R,eps_R,w_edge_R_sigma,w_n0_R_sigma,n0_R_sigma,w_edge_L,w_n0_L,n0_L,eps_L,w_edge_L_sigma,w_n0_L_sigma,n0_L_sigma
0,10.0,3.900887784854746,461444.08184575493,167631.37295990597,-1.1577322307843831, -0.6724909248272365,0.75,0.5,0.02188070927493597, 0.007619750391962874,0.0,1.3911968175899843, 0.17422035884522286,0.75,0.5,0.014261990342845188, 0.041231620312011864,0.0
1,10.0,1.2588426373206762,4.573999410921565,0.25169812087454535,-0.9990111512557357, -0.6797869085583568,0.75,0.5,0.0013287125179579113, 0.0027393139922819807,0.0,1.4757254099938883, -0.09385469523296482,0.75,0.5,0.002500084260764083, 0.004495902520237544,0.0
2,9.09090909,1.2588426373206762,2.6798735308056547,0.06460461516049813,-1.0068126321767292, -0.6638142612804158,0.75,0.5,0.0007710398313811924, 0.001073393424768294,0.0,1.4893956692111985, -0.11893448684580207,0.75,0.5,0.0020989717499796676, 0.0012570239209330476,0.0
3,8.26446281,1.1990994681926008,2.3506006907897716,0.062163312984639355,-1.0123882218717055, -0.654412023163431,0.75,0.5,0.0008279885310220274, 0.0012997813471621268,0.0,1.4851001044384304, -0.1327802256232165,0.75,0.5,0.002058984199359201, 0.0009339485282880107,0.0
4,7.51314801,1.1990994681926008,2.1163177837421525,0.05273204906990464,-1.0134577681697852, -0.6558005649960956,0.75,0.5,0.0006789614453541551, 0.0010585922267462092,0.0,1.49634568791962, -0.13670975567851198,0.75,0.5,0.002474009333423252, 0.0006701216758955973,0.0
5,6.83013455,1.1990994681926008,2.019590075870243,0.025457469059092075,-1.012075451937649, -0.6553523291656412,0.75,0.5,0.0008320692899226464, 0.0008692357628383432,0.0,1.4989706863292396, -0.1342167619748393,0.75,0.5,0.002138102358788213, 0.0011813267377671487,0.0
6,6.20921323,1.1990994681926008,1.8509526705196295,0.02530531505484654,-1.013593085863971, -0.6517366561564679,0.75,0.5,0.0007478127653968677, 0.0007929457932130388,0.0,1.4997487874981252, -0.13001480590204245,0.75,0.5,0.0021860697961108744, 0.0007839794534762882,0.0
7,5.6447393,1.1990994681926008,1.8462764323023102,0.023716209179019,-1.012757854169445, -0.6502625182542972,0.75,0.5,0.0005955216773496803, 0.0006953427130782983,0.0,1.4935379336173136, -0.13802658209688806,0.75,0.5,0.0032112527643198404, 0.0009346116664187053,0.0
8,5.13158118,1.178637839000987,1.6599568341353277,0.028233747479577173,-1.0169271638098638, -0.6463304153008997,0.75,0.5,0.0009281845175654711, 0.0006714125205245594,0.0,1.4941469689926854, -0.1402198715166987,0.75,0.5,0.002867438123726697, 0.0005529718902621938,0.0
9,4.6650738,1.178637839000987,1.6813788658050928,0.018842300431501653,-1.0154412620590807, -0.6513131413535368,0.75,0.5,0.0007232553716190684, 0.0008231113266077514,0.0,1.5002579102690707, -0.14228656898207426,0.75,0.5,0.0020928990161735365, 0.0010488199316254117,0.0
10,4.24097618,1.178637839000987,1.5421095056230238,0.010707208109293365,-1.0174141695999388, -0.6423070004664447,0.75,0.5,0.0005513465746251564, 0.0006259458446550429,0.0,1.4929069243553774, -0.13797421090239523,0.75,0.5,0.002078579599930746, 0.0005689504129707863,0.0
11,3.85543289,1.178637839000987,1.5164473692805696,0.015342074904478083,-1.0214945752350801, -0.6458812966964507,0.75,0.5,0.000437680992526243, 0.0008752886750717724,0.0,1.495231337443038, -0.13938277665626356,0.75,0.5,0.0020681343482578593, 0.0005409807019881424,0.0
12,3.50493899,1.178637839000987,1.5527707313210286,0.017776063076480563,-1.0135876013567187, -0.6501648076119613,0.75,0.5,0.0005006163278228713, 0.0009685069671252637,0.0,1.51147990621619, -0.14808939939604263,0.75,0.5,0.0027201390041403086, 0.0007464205554362418,0.0
13,3.18630818,1.178637839000987,1.6246694865803226,0.020015492738016786,-1.0136089956624161, -0.6552985806632391,0.75,0.5,0.0007301998274819472, 0.0009381918943907828,0.0,1.5080454153184317, -0.15366586338426652,0.75,0.5,0.0026425859309341104, 0.0005105234317531074,0.0
14,2.8966438,1.178637839000987,1.4592950376615015,0.007603279588462666,-1.010563570640329, -0.6445688478277722,0.75,0.5,0.0005528514519009357, 0.0007312053058320859,0.0,1.516504065586848, -0.15594127320364137,0.75,0.5,0.0028380041876519026, 0.0005346051545201808,0.0
15,2.63331254,1.178637839000987,1.4595206628642596,0.009520917899858202,-1.0130862534225946, -0.6472878655334775,0.75,0.5,0.0005039276832462276, 0.0007832680645531514,0.0,1.515726925616384, -0.15341223896979048,0.75,0.5,0.0018613937128336183, 0.0003704188370739522,0.0
16,2.39392049,1.178637839000987,1.4208224141266363,0.009070629452111421,-1.0169676323870616, -0.6467010355307213,0.75,0.5,0.0004802751165584125, 0.0011591794295587358,0.0,1.5140738613446802, -0.1501082389487584,0.75,0.5,0.001830982387677132, 0.0005627522337673997,0.0
17,2.17629136,1.178637839000987,1.3524422231543094,0.007478024187235444,-1.0212575214390065, -0.6403088941739551,0.75,0.5,0.0005556584022842674, 0.000431149470014034,0.0,1.5049515845633867, -0.15474884185309307,0.75,0.5,0.00243988512411664, 0.0003604601041606846,0.0
18,1.97844669,1.178637839000987,1.3529182196938576,0.008054929599697806,-1.0200496843984104, -0.6397887848852168,0.75,0.5,0.00041452785581506805, 0.0004895014202889919,0.0,1.505847054441324, -0.15041130812499567,0.75,0.5,0.002027138293993061, 0.00044520883681987235,0.0
19,1.7985879,1.178637839000987,1.3297777235446768,0.005907020330221859,-1.0151784073161085, -0.6340010995792075,0.75,0.5,0.00034786415668863866, 0.00040428894114125167,0.0,1.491335861283376, -0.1548699365824136,0.75,0.5,0.0019729168967365035, 0.0004150381960673947,0.0
20,1.63507991,1.1761706254184219,1.3010406688523686,0.005838226126718585,-1.0120572520930504, -0.6311549061536328,0.75,0.5,0.0006517514321684766, 0.0006032819857091605,0.0,1.4865990034512802, -0.1491957865735682,0.75,0.5,0.001150452095643412, 0.00047248266680886684,0.0
21,1.48643628,1.1761706254184219,1.309763252845314,0.005094989698509062,-1.0153162353724754, -0.6352750612271827,0.75,0.5,0.00041758234970965425, 0.00044194337952874625,0.0,1.5084381504660942, -0.14265119981441948,0.75,0.5,0.0016966981686254159, 0.00041364791320010896,0.0
22,1.35130571,1.1761706254184219,1.2908556490981382,0.0042015287407792465,-1.0193058023373807, -0.6401549597427517,0.75,0.5,0.0004277542375606321, 0.0004174445498902068,0.0,1.507478851477915, -0.13561082714739608,0.75,0.5,0.002474552680910468, 0.0005225988669807386,0.0
23,1.22845974,1.1761706254184219,1.3680659035617868,0.010229212208094831,-1.0144846306458835, -0.6457567305022878,0.75,0.5,0.00043606923039314643, 0.0003348309584703607,0.0,1.5332899349176585, -0.12796356865201575,0.75,0.5,0.0016120385032251353, 0.00036583676527541023,0.0
