i,theta,chi2_min,chi2_avg
1.0,1000.0,4056.4345002861073,5839.483135201345
2.0,810.0,3258.2617248930787,4271.941209572917
3.0,640.0,2556.675920989528,3477.957078132653
4.0,490.0,1988.5763948800761,2632.8675403623643
5.0,360.0,1521.989234956612,1978.6306313138223
6.0,250.0,1096.6336227137147,1417.6514732018065
7.0,160.0,686.738385922683,904.9927323879408
8.0,90.0,361.5944616923507,466.89733788831813
9.0,40.0,139.8366095316419,183.09536144916956
10.0,10.0,20.513174022583733,30.182971681730557
1.0,10.0,20.513174022583733,30.625038772138012
2.0,9.09090909090909,16.738424197668696,28.612711133613324
3.0,8.264462809917354,15.168490911479699,23.636561957271034
4.0,7.513148009015776,12.683878016336388,20.858004157210548
5.0,6.830134553650705,11.212707372729675,19.215154686529278
6.0,6.2092132305915495,10.182680858129627,15.682710573800643
7.0,5.644739300537772,7.981785055091753,13.646573321221794
8.0,5.131581182307065,7.588279360540331,12.446503709269559
9.0,4.665073802097331,6.911535300687211,10.79836153349135
10.0,4.240976183724846,4.662274707950237,9.739751519148312
11.0,3.855432894295314,4.662274707950237,8.918438646741292
12.0,3.5049389948139216,4.662274707950237,8.016137899157707
13.0,3.1863081771035646,4.1970673544962755,7.502660629901212
14.0,2.8966437973668766,4.1970673544962755,6.371791206741813
15.0,2.633312543060797,3.828594263657808,5.893828832440521
16.0,2.3939204936916334,3.6704807687965446,5.46346302712095
17.0,2.176291357901485,3.3218541576636396,5.092471724090783
18.0,1.9784466890013497,3.1615306717423484,4.683865436206808
19.0,1.798587899092136,2.80225231926425,3.9293966302484424
20.0,1.635079908265578,2.781438866532966,3.8859748496064546
21.0,1.4864362802414344,2.781438866532966,3.8360581094158754
22.0,1.3513057093103948,2.6998704953833994,3.4725210579602326
23.0,1.2284597357367224,2.4645439398423368,3.2000623929556022
24.0,1.1167815779424748,2.2362618854337626,3.3261927150581405
25.0,1.0152559799477043,2.2362618854337626,2.986989406019977
26.0,0.9229599817706402,2.2362618854337626,2.8801920057270523
27.0,0.8390545288824001,2.0919797904899915,2.6476151857438777
28.0,0.7627768444385454,2.0919797904899915,2.531590405969398
29.0,0.6934334949441322,2.0202381629978374,2.492949216707061
30.0,0.6303940863128474,2.0178882163899607,2.4009591568553934
31.0,0.5730855330116794,1.9382644924409278,2.2973960949847885
32.0,0.5209868481924358,1.8526797949883662,2.1986586740389367
33.0,0.47362440744766887,1.8526797949883662,2.175226364737315
34.0,0.4305676431342444,1.835614334642453,2.030833722035885
35.0,0.39142513012204033,1.719625779665821,1.9456660141861963
36.0,0.355841027383673,1.7108086200757588,1.9235986458950027
37.0,0.3234918430760664,1.7014284311929244,1.8780372147021274
38.0,0.29408349370551484,1.7014284311929244,1.9302811019970703
39.0,0.2673486306413771,1.7014284311929244,1.9191126857390954
40.0,0.24304420967397916,1.670845564907328,1.824539542062075
41.0,0.2209492815217992,1.6666848727359818,1.793830208248549
42.0,0.20086298320163562,1.6167426580410074,1.7423241835489542
43.0,0.18260271200148692,1.5335605976089166,1.654104835663772
44.0,0.1660024654558972,1.5335605976089166,1.6182924671136465
45.0,0.1509113322326338,1.5285341270438209,1.5959318193338266
46.0,0.13719212021148527,1.4903019693304838,1.5708622523279325
47.0,0.12472010928316841,1.477100909929848,1.5635806807835697
48.0,0.1133819175301531,1.4401768385300542,1.4807870841793926
49.0,0.10307447048195735,1.419305615253271,1.49633357438936
50.0,0.09370406407450667,1.395405436252028,1.4321957124174116
51.0,0.08518551279500605,1.3754098421839243,1.4427317319811253
52.0,0.07744137526818731,1.3754098421839243,1.4495603326678337
53.0,0.07040125024380664,1.3754098421839243,1.4183587650840725
54.0,0.06400113658527876,1.3754098421839243,1.4300680642221144
55.0,0.0581828514411625,1.370896233300689,1.4171777341451979
56.0,0.05289350131014772,1.3432959682093646,1.370445728049334
57.0,0.04808500119104338,1.3334918872184007,1.356792294665398
58.0,0.04371363744640307,1.3063854138702957,1.3253479139623112
59.0,0.039739670405820965,1.2992453487898394,1.3141658658296196
60.0,0.03612697309620087,1.2801362727136527,1.309139396669497
61.0,0.032842702814728064,1.2708159266059387,1.2855030288336338
62.0,0.02985700255884369,1.2699747652838826,1.283739751107324
63.0,0.027142729598948808,1.2527090403608825,1.2637575338616511
64.0,0.024675208726317097,1.2412078241833857,1.250784658267413
