omega,S
-2.1700000000000017,1.6552639118249325e-9
-2.165000000000001,1.1035092745499544e-9
-2.160000000000002,5.517546372749774e-10
-2.1450000000000014,1.3579016351845911e-9
-2.1400000000000023,7.29521362339449e-10
-2.1350000000000016,1.35063559860728e-9
-2.130000000000001,3.0312390256060654e-9
-2.1250000000000018,5.705657001074149e-10
-2.120000000000001,5.052515306560317e-9
-2.115000000000002,4.230754428891951e-9
-2.110000000000001,1.3511760526100998e-9
-2.105000000000002,1.4108604985821746e-8
-2.1000000000000014,2.980439877646527e-8
-2.0950000000000006,4.257982988855561e-9
-2.0900000000000016,1.6664723472174763e-8
-2.085000000000001,1.4081479359525356e-8
-2.080000000000002,1.2411998077497885e-8
-2.075000000000001,2.831591165575793e-8
-2.070000000000002,1.0511062586542189e-8
-2.0650000000000013,1.4610245314601014e-8
-2.0600000000000023,1.3051350475490772e-8
-2.0550000000000015,7.4468083681725085e-9
-2.0500000000000007,1.732991524728196e-8
-2.0450000000000017,1.6588885664962752e-8
-2.040000000000001,1.5699867061952392e-8
-2.035000000000002,2.9313906875134377e-8
-2.030000000000001,3.170302792975858e-8
-2.025000000000002,3.5587800564952384e-8
-2.0200000000000014,2.09203412766508e-8
-2.0150000000000023,3.984048844563527e-8
-2.0100000000000016,3.565273847333599e-8
-2.005000000000001,3.8918820018863544e-8
-2.0000000000000018,3.492878579442537e-8
-1.995000000000001,5.149734728723351e-8
-1.990000000000002,1.0336607028188713e-7
-1.9850000000000012,6.937480068610503e-8
-1.9800000000000022,6.3490156128866e-8
-1.9750000000000014,7.33400361680875e-8
-1.9700000000000006,7.667477305959062e-8
-1.9650000000000016,1.3590668629582882e-7
-1.9600000000000009,2.0421165460822018e-7
-1.9550000000000018,1.9201810484363203e-7
-1.950000000000001,1.853873703817818e-7
-1.945000000000002,2.0745660352855549e-7
-1.9400000000000013,2.9412877169204925e-7
-1.9350000000000023,2.590974776858065e-7
-1.9300000000000015,1.8133082525265764e-7
-1.9250000000000007,2.583486529025889e-7
-1.9200000000000017,2.584283842768547e-7
-1.915000000000001,3.164706235199758e-7
-1.910000000000002,3.8491468386453245e-7
-1.9050000000000011,4.001924855045994e-7
-1.9000000000000021,3.164945372637133e-7
-1.8950000000000014,4.7186519244128276e-7
-1.8900000000000023,4.121680463822181e-7
-1.8850000000000016,3.251987530149711e-7
-1.8800000000000008,6.032420262277655e-7
-1.8750000000000018,3.095658271714946e-7
-1.870000000000001,3.6156345027380047e-7
-1.865000000000002,5.664955818295458e-7
-1.8600000000000012,4.739447038647388e-7
-1.8550000000000022,4.0185359485257305e-7
-1.8500000000000014,5.069915053144477e-7
-1.8450000000000006,6.429205961873451e-7
-1.8400000000000016,5.894434891710088e-7
-1.8350000000000009,5.960595891593214e-7
-1.8300000000000018,7.503645585587617e-7
-1.825000000000001,6.651916752633567e-7
-1.820000000000002,8.162617061190901e-7
-1.8150000000000013,8.380633198076907e-7
-1.8100000000000023,9.216064664131377e-7
-1.8050000000000015,9.728897336859522e-7
-1.8000000000000007,9.101805391799695e-7
-1.7950000000000017,1.2765243136961274e-6
-1.790000000000001,1.2342098995372755e-6
-1.785000000000002,1.2048555293297576e-6
-1.7800000000000011,1.5418820550352455e-6
-1.7750000000000021,1.8752285242616044e-6
-1.7700000000000014,1.562576973936191e-6
-1.7650000000000023,2.074617998558425e-6
-1.7600000000000016,1.470472455100218e-6
-1.7550000000000008,2.0594565750392973e-6
-1.7500000000000018,1.9750548302697006e-6
-1.745000000000001,1.9790694969481777e-6
-1.740000000000002,2.7372746355326347e-6
-1.7350000000000012,2.6152942332626936e-6
-1.7300000000000022,2.974655523645131e-6
-1.7250000000000014,3.6435913935114547e-6
-1.7200000000000006,3.362650757635104e-6
-1.7150000000000016,3.7686133599775227e-6
-1.7100000000000009,3.7233546396270844e-6
-1.7050000000000018,3.7622541547580702e-6
-1.700000000000001,4.761889110228843e-6
-1.695000000000002,4.083408012247732e-6
-1.6900000000000013,4.983367179142286e-6
-1.6850000000000023,5.988595516246971e-6
-1.6800000000000015,5.7579271475959765e-6
-1.6750000000000007,6.73747348723087e-6
-1.6700000000000017,6.8283377411420795e-6
-1.665000000000001,6.503704166686474e-6
-1.660000000000002,7.908025942452504e-6
-1.6550000000000011,8.477005858981088e-6
-1.6500000000000021,9.696868350536453e-6
