j,ar_cont,∆w_cont,ar_cont_amp,ar_edge_s,∆w_edge,ar_edge_m,n_clust,ar_edge_amp
0,NaN,NaN,0.0,0.47913750000000005,0.01491184802035829,0.5156017316017315,10.532467532467532,0.5315031680187468
1,NaN,NaN,0.0,0.4935145547945206,0.014281180068918051,0.5039583703967264,10.480519480519481,0.5350455318034227
2,NaN,NaN,0.0,0.4936067019400351,0.014052294707952223,0.48606243844339075,10.363636363636363,0.45056447075703404
3,NaN,NaN,0.0,0.5028181818181819,0.015026724598585556,0.5042030696576151,10.194805194805195,0.47537389293584675
4,NaN,NaN,0.0,0.5029026217228464,0.014466975872170182,0.5019699401721873,9.909090909090908,0.5028528013666687
5,NaN,NaN,0.0,0.49015957446808506,0.012983063311838034,0.5155366876836895,9.753246753246753,0.5484420285123648
6,NaN,NaN,0.0,0.49482499999999996,0.013810068784687773,0.4928051948051948,9.688311688311689,0.5650781722149584
7,NaN,NaN,0.0,0.5017820247933884,0.012835776600628509,0.5072179886229474,9.2987012987013,0.5401846829839474
8,NaN,NaN,0.0,0.4987955032119914,0.01510301629416203,0.4838844239272505,9.103896103896103,0.5043240999576845
9,NaN,NaN,0.0,0.4961944444444445,0.012142069707689013,0.5114574314574315,9.194805194805195,0.5055433246508905
10,NaN,NaN,0.0,0.4997119815668203,0.014301957107487596,0.4988928122568675,9.12987012987013,0.5310658246479092
11,NaN,NaN,0.0,0.4934952038369304,0.01329437587184466,0.5038151297144103,8.844155844155845,0.5286106059566045
12,NaN,NaN,0.0,0.4925498753117207,0.011563572542200048,0.4986559575088254,8.636363636363637,0.5025437170497763
13,NaN,NaN,0.0,0.4959960937500002,0.012733387958068956,0.49005681818181807,8.636363636363637,0.49084809111854333
14,NaN,NaN,0.0,0.4989782016348775,0.00924325742031635,0.506635054318978,8.311688311688311,0.4644809150622681
15,NaN,NaN,0.0,0.4972142857142859,0.009245318567400861,0.49706864564007425,8.142857142857142,0.5243798135777699
16,NaN,NaN,0.0,0.4934505988023952,0.009790190307279893,0.4989112683723461,8.03896103896104,0.573277084159124
17,NaN,NaN,0.0,0.4982649842271293,0.011091870850209885,0.4990372403621615,8.0,0.43055921831692906
18,NaN,NaN,0.0,0.49691666666666673,0.010909733128010368,0.49826839826839825,7.779220779220779,0.4252155735166592
19,NaN,NaN,0.0,0.5043573943661973,0.00992585434722632,0.5006402048655569,7.571428571428571,0.4911031293267454
20,NaN,NaN,0.0,0.49798689138576774,0.010231195108859663,0.48630769979084587,7.701298701298701,0.41779801244191
21,NaN,NaN,0.0,0.49645,0.01090286910750043,0.4870129870129871,7.584415584415584,0.39820054362371887
22,NaN,NaN,0.0,0.49252136752136744,0.009611203852388927,0.49555999555999547,7.363636363636363,0.3439359740164156
23,NaN,NaN,0.0,0.4939516129032258,0.00945607328686095,0.4890178945478485,6.922077922077922,0.5095127306836009
24,NaN,NaN,0.0,0.4962064676616915,0.007220188460928747,0.49324804548685147,6.779220779220779,0.594402000587351
25,NaN,NaN,0.0,0.49395380434782615,0.007747580091111596,0.49301242236024845,6.6103896103896105,0.4481778150554836
26,NaN,NaN,0.0,0.4928892215568862,0.007249525155709126,0.49405085932032056,6.636363636363637,0.4767272452887514
27,NaN,NaN,0.0,0.47183333333333327,0.009059128323199075,0.49982683982683973,6.688311688311688,0.4106904799138382
28,NaN,NaN,0.0,0.49384328358208956,0.0086846405431546,0.4842023647993797,6.3896103896103895,0.4965219875568338
29,NaN,NaN,0.0,0.491880341880342,0.008121872915765877,0.481962481962482,6.428571428571429,0.6017629502126791
30,NaN,NaN,0.0,0.4736249999999999,0.007526927265294843,0.49818181818181817,6.233766233766234,0.4548514137554743
31,NaN,NaN,0.0,0.49549999999999994,0.007347769330122006,0.48116883116883113,5.818181818181818,0.585249436643494
32,NaN,NaN,0.0,0.49300000000000016,0.007658654456190459,0.5063636363636363,6.012987012987013,0.4947385751455643
33,NaN,NaN,0.0,0.49175,0.007306056821534633,0.49844155844155846,5.922077922077922,0.5247544652495247
34,NaN,NaN,0.0,0.4972499999999999,0.007260553631490636,0.4954545454545454,5.571428571428571,0.5740583460514348
35,NaN,NaN,0.0,0.4755000000000001,0.006778407911272691,0.49857142857142855,5.51948051948052,0.6040505638486942
36,NaN,NaN,0.0,0.512125,0.006405484344613558,0.4881818181818182,5.467532467532467,0.5353433846495248
37,NaN,NaN,0.0,0.49024999999999996,0.00682344448335042,0.47610389610389614,5.467532467532467,0.4952453345566143
38,NaN,NaN,0.0,0.4988750000000001,0.006649014058123175,0.4866233766233765,5.324675324675325,0.5240475550494651
39,NaN,NaN,0.0,0.48175,0.0069395728373744334,0.5075324675324675,5.012987012987013,0.49565054435752415
40,NaN,NaN,0.0,0.5018750000000001,0.006828913487932138,0.4980519480519481,5.142857142857143,0.6038615454434852
41,NaN,NaN,0.0,0.48312499999999997,0.005930348045391347,0.5164935064935066,4.896103896103896,0.4442475556424253
42,NaN,NaN,0.0,0.48562499999999986,0.005651853542864787,0.5106493506493508,4.9480519480519485,0.48455356444060466
43,NaN,NaN,0.0,0.487375,0.005949035015977608,0.5081818181818181,4.87012987012987,0.4457443260476843
44,NaN,NaN,0.0,0.48650000000000004,0.005257405834903191,0.5070129870129871,4.753246753246753,0.515150485836515
45,NaN,NaN,0.0,0.4924999999999999,0.00591406031223179,0.4937662337662338,4.6103896103896105,0.29604640467339366
46,NaN,NaN,0.0,0.485,0.005661475937095604,0.5044155844155845,4.675324675324675,0.5152464962412957
47,NaN,NaN,0.0,0.4903749999999999,0.00506645286711984,0.49714285714285716,4.3896103896103895,0.33555229565349465
48,NaN,NaN,0.0,0.49137499999999995,0.0059145445391581295,0.5022077922077923,4.441558441558442,0.48536350426353536
49,NaN,NaN,0.0,0.4803749999999999,0.005035431700381789,0.4987012987012987,4.1558441558441555,0.38574259454552456
50,NaN,NaN,0.0,0.49975,0.004745709770006355,0.48142857142857143,4.194805194805195,0.5343524956544252
51,NaN,NaN,0.0,0.477125,0.004259220896249568,0.5028571428571429,4.2727272727272725,0.5254446348424946
52,NaN,NaN,0.0,0.49412500000000004,0.004766876969066802,0.4776623376623378,3.948051948051948,0.4552654347525247
53,NaN,NaN,0.0,0.4992500000000001,0.004458836069611028,0.4977922077922077,4.012987012987013,0.5041465744665041
54,NaN,NaN,0.0,0.4862499999999999,0.004653931498999824,0.5109090909090909,3.9740259740259742,0.6454416043545338
55,NaN,NaN,0.0,0.492625,0.004595420634453516,0.4928571428571428,3.896103896103896,0.5943575338415552
56,NaN,NaN,0.0,0.49275000000000013,0.004163805138815041,0.5128571428571429,3.8051948051948052,0.5044374556435753
57,NaN,NaN,0.0,0.4861249999999998,0.003778911375670967,0.5009090909090909,3.6623376623376624,0.564346373859574
58,NaN,NaN,0.0,0.4931249999999999,0.00398966254480346,0.5080519480519481,3.5974025974025974,0.594454384958524
59,NaN,NaN,0.0,0.501625,0.003970129695706648,0.48350649350649355,3.5974025974025974,0.43463749593862494
60,NaN,NaN,0.0,0.49537499999999995,0.0035021425259814483,0.4903896103896104,3.5064935064935066,0.39544937574348515
61,NaN,NaN,0.0,0.49787500000000007,0.003454007681415982,0.5064935064935064,3.3376623376623376,0.5049603155444742
62,NaN,NaN,0.0,0.488625,0.0035181983620573404,0.5022077922077922,3.311688311688312,0.4950505449525447
63,NaN,NaN,0.0,0.49887499999999996,0.0034343774415108823,0.4781818181818182,3.0779220779220777,0.3854564648444163
64,NaN,NaN,0.0,0.4931249999999999,0.0035102064204032358,0.5158441558441559,3.2337662337662336,0.4161517144415353
65,NaN,NaN,0.0,0.5235,0.0034072098578240154,0.49532467532467545,3.012987012987013,0.41476142425851475
66,NaN,NaN,0.0,0.4916250000000001,0.00330554047995017,0.5268831168831168,3.1298701298701297,0.5443475140574348
67,NaN,NaN,0.0,0.4845,0.0031250129621542924,0.5023376623376624,3.116883116883117,0.5546414846604635
68,NaN,NaN,0.0,0.4963749999999999,0.0029476959774781034,0.5202597402597403,2.857142857142857,0.5642484848604448
69,NaN,NaN,0.0,0.4827500000000001,0.002663480369423605,0.49844155844155846,2.8701298701298703,0.4947404552584155
70,NaN,NaN,0.0,0.4965,0.0028447724233623684,0.49714285714285716,2.688311688311688,0.5747526143503849
71,NaN,NaN,0.0,0.48875,0.0028385598480499107,0.5272727272727273,2.675324675324675,0.4250334861393557
72,NaN,NaN,0.0,0.48387499999999994,0.0025381060555992674,0.5124675324675325,2.675324675324675,0.41513462454459427
73,NaN,NaN,0.0,0.50275,0.002594662167616134,0.5077922077922079,2.6103896103896105,0.45525443564048584
74,NaN,NaN,0.0,0.49250000000000005,0.002479291968948447,0.5114285714285715,2.6493506493506493,0.6550425056425248
75,NaN,NaN,0.0,0.49575,0.0024445903314958837,0.5231168831168832,2.5064935064935066,0.485249485464435
76,NaN,NaN,0.0,0.48987499999999995,0.0022387341046955257,0.48194805194805185,2.3506493506493507,0.46604253545048513
77,NaN,NaN,0.0,0.5,0.0022365993431989863,0.5209090909090909,2.3636363636363638,0.404349494566425
78,NaN,NaN,0.0,0.475,0.002070815390760057,0.534155844155844,2.2467532467532467,0.5262415252413455
79,NaN,NaN,0.0,0.49387499999999995,0.002164979818129415,0.4935064935064935,2.2857142857142856,0.5055444667514457
80,NaN,NaN,0.0,0.4883749999999999,0.0020995776077007227,0.5722077922077923,2.2337662337662336,0.5036553859495253
81,NaN,NaN,0.0,0.49650000000000016,0.001917648985202176,0.5484415584415584,2.272727272727273,0.4445495249494048
82,NaN,NaN,0.0,0.49750000000000016,0.001966930859107782,0.5257142857142858,2.1818181818181817,0.3842524861364549
83,NaN,NaN,0.0,0.5078750000000001,0.0020845237729857605,0.5393506493506494,2.1948051948051948,0.5241604155435942
84,NaN,NaN,0.0,0.49987499999999996,0.0018160951671275277,0.4955844155844156,2.168831168831169,0.49486243474842584
85,NaN,NaN,0.0,0.50275,0.0017514202857033805,0.5263636363636363,2.0259740259740258,0.5541544946514246
86,NaN,NaN,0.0,0.48925,0.0015694220558413036,0.5527272727272726,2.116883116883117,0.435052394959494
87,NaN,NaN,0.0,0.4942500000000001,0.0016415727936710644,0.5323376623376622,1.9350649350649352,0.3851515145392756
88,NaN,NaN,0.0,0.48337499999999994,0.0015355002618907742,0.4731168831168832,1.8181818181818181,0.5152434738554159
89,NaN,NaN,0.0,0.49350000000000005,0.0014112053506813397,0.5076623376623377,2.038961038961039,0.38584647395060534
90,NaN,NaN,0.0,0.48075,0.001458079103781171,0.5296103896103898,1.844155844155844,0.5653385048574346
91,NaN,NaN,0.0,0.48812500000000003,0.0013754879695470402,0.5174025974025973,1.844155844155844,0.48475350594251465
92,NaN,NaN,0.0,0.5057499999999998,0.0013601377877130066,0.4935064935064935,1.7272727272727273,0.49654844384549307
93,NaN,NaN,0.0,0.4879999999999999,0.0013527280719717082,0.492857142857143,1.7012987012987013,0.47634742465639457
94,NaN,NaN,0.0,0.4911250000000001,0.001287527570717851,0.532077922077922,1.8571428571428572,0.47375750496043445
95,NaN,NaN,0.0,0.4807500000000001,0.001170229541584497,0.48883116883116884,1.7792207792207793,0.5046435645485347
96,NaN,NaN,0.0,0.513375,0.001115682736212972,0.5066233766233766,1.7792207792207793,0.38554046496348404
97,NaN,NaN,0.0,0.4901250000000001,0.0011102471767422321,0.5051948051948053,1.7532467532467533,0.5065514446484951
1,NaN,NaN,0.0,0.5022688356164384,0.01650333215798884,0.48558975271304033,10.467532467532468,0.5077567832418686
2,NaN,NaN,0.0,0.49594356261022937,0.012173018404089183,0.5180146132527085,10.480519480519481,0.491175354641872
3,NaN,NaN,0.0,0.497090909090909,0.015691451223491852,0.515159386068477,10.363636363636363,0.5226198554909729
4,NaN,NaN,0.0,0.49768258426966294,0.014717166513949715,0.5015564959385184,9.727272727272727,0.5309287406971639
5,NaN,NaN,0.0,0.4955029013539652,0.013026695838122248,0.5098093395965737,9.909090909090908,0.44195438097328993
6,NaN,NaN,0.0,0.49147500000000005,0.01428381154713588,0.49387012987012974,9.636363636363637,0.49504613151281696
7,NaN,NaN,0.0,0.4935175619834711,0.01250291661316758,0.49849737039819675,9.454545454545455,0.4989004539409312
