j,ar_cont,∆w_cont,ar_cont_amp,ar_edge_s,∆w_edge,ar_edge_m,n_clust,ar_edge_amp
0,NaN,NaN,0.0,0.4161541666666667,0.0009020896478520819,0.500025974025974,8.571428571428571,0.5035044993892778
1,NaN,NaN,0.0,0.49936224489795916,0.0008529724019244288,0.47705185970492087,8.454545454545455,0.5075995165644609
2,NaN,NaN,0.0,0.5095652173913042,0.0007755940634057941,0.4881084133258046,8.35064935064935,0.4616607699871152
3,NaN,NaN,0.0,0.5041296625222025,0.0009163509727366835,0.5100920393993219,8.337662337662337,0.5035712598503694
4,NaN,NaN,0.0,0.4973863636363636,0.0008128897596464035,0.49735537190082646,8.012987012987013,0.5355090757355523
5,NaN,NaN,0.0,0.500278810408922,0.0008073689790526302,0.5119490175252257,8.064935064935066,0.4507349052489888
6,NaN,NaN,0.0,0.5004285714285714,0.0008401644411460297,0.48974644403215833,8.35064935064935,0.3782112275077554
7,NaN,NaN,0.0,0.5028265107212476,0.0008683862489526793,0.48510164299637987,7.9480519480519485,0.5098873090431448
8,NaN,NaN,0.0,0.49850000000000005,0.0007707595695533536,0.49038961038961043,7.909090909090909,0.5230260919443686
9,NaN,NaN,0.0,0.4952868852459017,0.0007884750230211221,0.49137747498403234,7.818181818181818,0.4682271684430528
10,NaN,NaN,0.0,0.49892105263157893,0.0008268422189317547,0.49405331510594674,7.753246753246753,0.5040065173320639
11,NaN,NaN,0.0,0.49738120950323966,0.0008004990072925487,0.5007152674539284,7.974025974025974,0.5172553338752779
12,NaN,NaN,0.0,0.4896388888888888,0.000751886240009406,0.48903318903318915,7.662337662337662,0.4811037313462386
13,NaN,NaN,0.0,0.4970605022831049,0.0007638746583266114,0.5169305580264485,7.688311688311688,0.45767652047395346
14,NaN,NaN,0.0,0.49355882352941177,0.0007883818402308277,0.5122383498854087,7.636363636363637,0.4389507866457722
15,NaN,NaN,0.0,0.5060532687651331,0.0006964675934125614,0.4891670073268136,7.35064935064935,0.4517259693139809
16,NaN,NaN,0.0,0.5027187499999999,0.0007567144006769807,0.5033766233766234,7.2727272727272725,0.4414220394324752
17,NaN,NaN,0.0,0.4978414948453609,0.0008032428021845398,0.49728879368054624,7.285714285714286,0.5425291546484844
18,NaN,NaN,0.0,0.4968333333333333,0.0007561727414780678,0.4904242424242424,7.1558441558441555,0.4334889067982739
19,NaN,NaN,0.0,0.5023071625344353,0.0007000425961217466,0.4878895209473722,7.246753246753247,0.45578592793530875
20,NaN,NaN,0.0,0.49435714285714294,0.0007386136061804808,0.48797773654916515,7.246753246753247,0.5414653638640039
21,NaN,NaN,0.0,0.4914571005917159,0.0007007447530973079,0.48931837393375854,7.194805194805195,0.507348631419222
22,NaN,NaN,0.0,0.49588461538461537,0.0006460026785434555,0.49266733266733265,7.0,0.44474824674069885
23,NaN,NaN,0.0,0.49452875399361024,0.0007264454816972508,0.4991494128874321,7.0,0.4903238946440465
24,NaN,NaN,0.0,0.4937083333333333,0.0006886896213818692,0.513939393939394,7.259740259740259,0.5282825359906866
25,NaN,NaN,0.0,0.4928385416666668,0.0006301291815412295,0.49283008658008653,7.0519480519480515,0.4116456464729572
26,NaN,NaN,0.0,0.49509090909090914,0.0007424054417893442,0.4806611570247933,7.077922077922078,0.5288801036641366
27,NaN,NaN,0.0,0.5024714828897338,0.0007231038948935899,0.4965186904350402,6.701298701298701,0.48477680050388094
28,NaN,NaN,0.0,0.49725,0.0006418807142670087,0.493090909090909,6.64935064935065,0.5817997781591675
29,NaN,NaN,0.0,0.4891806722689074,0.0006143685182990039,0.5021826912583215,6.6103896103896105,0.43052327807953067
30,NaN,NaN,0.0,0.4897222222222223,0.0006794254665174265,0.5124386724386726,6.818181818181818,0.5088288367645076
31,NaN,NaN,0.0,0.4956572769953051,0.0005905271815449219,0.5188098286689836,6.6103896103896105,0.551599932998504
32,NaN,NaN,0.0,0.49862499999999993,0.0006439762125309942,0.512922077922078,6.584415584415584,0.36280944845755597
33,NaN,NaN,0.0,0.4976728723404256,0.000680289401036774,0.5089113014644931,6.3896103896103895,0.4864070811713372
34,NaN,NaN,0.0,0.49471428571428583,0.000616714455070772,0.5047124304267161,6.233766233766234,0.4547409794893375
35,NaN,NaN,0.0,0.513573619631902,0.0006476956453427147,0.4840251772767111,6.0,0.5251399736701439
36,NaN,NaN,0.0,0.491,0.0006423085032039087,0.5003463203463203,6.246753246753247,0.4573056482568255
37,NaN,NaN,0.0,0.49402173913043484,0.0006340012259862009,0.5119518162996424,5.987012987012987,0.37368783379666454
38,NaN,NaN,0.0,0.5033999999999998,0.0006214600209945319,0.49433766233766235,5.987012987012987,0.3400623988254694
39,NaN,NaN,0.0,0.49889380530973443,0.0006096378848697157,0.4972991610159751,5.987012987012987,0.5272562952858862
40,NaN,NaN,0.0,0.48737499999999995,0.0005679859376308986,0.5067532467532468,6.012987012987013,0.5041565054534944
41,NaN,NaN,0.0,0.4911250000000001,0.0005934447800816569,0.5162337662337663,6.012987012987013,0.5238514556376436
42,NaN,NaN,0.0,0.49612500000000004,0.0005852091381839759,0.5016883116883116,5.8311688311688314,0.5051525053494446
43,NaN,NaN,0.0,0.49612500000000004,0.000620398176292813,0.4802597402597402,5.623376623376624,0.40604846475152456
44,NaN,NaN,0.0,0.48824999999999996,0.0006069914096581099,0.5093506493506493,5.714285714285714,0.5843644847434255
45,NaN,NaN,0.0,0.5047499999999999,0.0005994968172175981,0.5012987012987014,5.701298701298701,0.5040455047594237
46,NaN,NaN,0.0,0.48612500000000003,0.0005874854073857681,0.5367532467532466,5.64935064935065,0.4546554848504833
47,NaN,NaN,0.0,0.49712499999999993,0.0006016280424432854,0.5,5.584415584415584,0.5335515449564263
48,NaN,NaN,0.0,0.49325,0.0005328233280632291,0.4938961038961039,5.428571428571429,0.5252513837564651
49,NaN,NaN,0.0,0.4953750000000001,0.0005666314972514009,0.5263636363636363,5.441558441558442,0.5049434256455146
50,NaN,NaN,0.0,0.5018750000000001,0.0005498653194271598,0.514025974025974,5.285714285714286,0.464947345743565
51,NaN,NaN,0.0,0.4946249999999999,0.0004800016328026079,0.5016883116883117,5.246753246753247,0.5648503665525448
52,NaN,NaN,0.0,0.49399999999999994,0.0004922763636529243,0.49597402597402596,5.376623376623376,0.6145484735603858
53,NaN,NaN,0.0,0.500875,0.0005520466752534655,0.5055844155844156,5.142857142857143,0.49574155446254425
