j,theta,chi2_min,chi2_avg,chi2_sigma,edge_R,wn0_R,n0_R,eps_R,edge_R_sigma,wn0_R_sigma,n0_R_sigma,edge_L,wn0_L,n0_L,eps_L,edge_L_sigma,wn0_L_sigma,n0_L_sigma,wc0,w_cf
0,10.0,0.7785336561378218,1861.7251678070793,828.9743198409224,1.5649935472592298, 1.7322625563799015,0.5373500769552371,0.6335374998348123,0.006127205949555098, 0.02172202296581519,0.029611671152451058,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
1,10.0,0.7327146800276402,1.96326816085467,0.09217767951875627,1.575807523331193, 1.6942574616165385,0.4939785503203004,0.11098354867987364,0.000969219916692733, 0.0031630505204255192,0.006882518011658058,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
2,9.52380952,0.7327146800276402,2.1686598097147463,0.11376801317607241,1.581065765742737, 1.6990513159143057,0.5061848571956211,0.5099601487302734,0.0009172227895921434, 0.0035673678640925533,0.008131466823012275,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
3,9.07029478,0.7327146800276402,1.7687624782253155,0.04871170586377238,1.5762116148074052, 1.6944049536304469,0.4957423034971657,0.682577361824687,0.0007300770410334511, 0.0028708075441031622,0.006876679986750851,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
4,8.63837599,0.7327146800276402,2.1948654243471353,0.1294714594339622,1.576574972524039, 1.701115482532293,0.510335635962057,0.09204345877965986,0.0006515023420269358, 0.003577839621697303,0.007585012103545525,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
5,8.22702475,0.7327146800276402,1.89572449703271,0.05796280725502679,1.5799347202462566, 1.6977730054142488,0.5028340191284129,0.09390964735369516,0.0007378138740166942, 0.0045542111216793305,0.009219078905071058,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
6,7.83526166,0.7327146800276402,1.6661879646325892,0.045409940777995025,1.5751150961952436, 1.7056416494429147,0.5157935205377998,0.3231757754276545,0.0008149270093770902, 0.0038113197806749614,0.008172183483512879,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
7,7.46215397,0.7327146800276402,1.677562153147057,0.04861328106099903,1.5774972843905883, 1.7007931955264985,0.5101301544187367,0.29740743366605193,0.0004943983380847275, 0.003209041556663334,0.0075454940812294535,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
8,7.1068133,0.7327146800276402,1.7337739752696315,0.08363155315618391,1.575435947840613, 1.699261881640868,0.507429884556079,0.8514224775616012,0.0006399927397571677, 0.0046809347456991295,0.010840509985490639,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
9,6.76839362,0.7327146800276402,1.6427509114184051,0.033042370793640134,1.5804474424830541, 1.6982961503300877,0.5010471056149414,0.1451323383626513,0.0005855583843409881, 0.0030847742216584197,0.007446511274606861,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
