j,theta,chi2_min,chi2_avg,chi2_sigma,edge_R,wn0_R,n0_R,eps_R,edge_R_sigma,wn0_R_sigma,n0_R_sigma,edge_L,wn0_L,n0_L,eps_L,edge_L_sigma,wn0_L_sigma,n0_L_sigma,wc0,w_cf
0,10.0,0.9393456528880136,74572.6228936634,20419.49053948336,-0.9976426218260146, -0.35137610188282015,0.5328524963670234,0.6242987333830221,0.0012459573006906107, 0.021804057752640913,0.010847269744918371,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
1,10.0,0.9307977112683039,1.9049759305207157,0.03766292527107711,-0.9995429989450729, -0.4227480912659544,0.5009791424934776,0.33537946986279693,0.00033164627554404077, 0.01004247016607935,0.004900556967964426,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
2,9.52380952,0.9279589945997799,1.7559151559772315,0.019331237095298992,-1.000059582468662, -0.4148517403883032,0.5055942252067346,0.40948709880053114,0.0001943117126126112, 0.011021598784010283,0.005724883219533641,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
3,9.07029478,0.9279589945997799,1.7549198979076,0.01826399477110183,-0.9990303695950529, -0.45566751757000545,0.4839953315943227,0.10814077435538369,0.00020819855618343496, 0.01184129646072566,0.005871796645655742,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
4,8.63837599,0.9279589945997799,1.743273080010389,0.020434847987032465,-0.9963312867521059, -0.4443898188023027,0.48903732849218073,0.4859953124864085,0.00014564793390206272, 0.012109616590044664,0.006031559679928492,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
5,8.22702475,0.9279589945997799,1.7333656119701044,0.02065955473929287,-0.9989321788187058, -0.414123124712527,0.5057657858147743,0.5883881445793874,0.0002243403585843977, 0.012924178458257017,0.006667044352339962,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
6,7.83526166,0.9279589945997799,1.7183565094321736,0.01770745564451405,-0.9987417084518448, -0.415697394124306,0.5046189989390029,0.21473288196650991,0.00022913787164998897, 0.014003247779548984,0.007032301641274365,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
7,7.46215397,0.9279589945997799,1.700283476318318,0.02640884082647892,-0.9987561596937823, -0.428998917205411,0.4971400236043322,0.3434596447642889,0.00025385740887704547, 0.012485103385744406,0.006746047689469776,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
8,7.1068133,0.9279589945997799,1.6775569587101553,0.03419314631285046,-0.9982334624427193, -0.4233978961864113,0.49967792765304486,0.35597726392948525,0.00022860616313233223, 0.012824905393303622,0.006623177061025267,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
9,6.76839362,0.9258180922251859,1.574148165672698,0.014258152103192135,-0.9990815726201593, -0.42718652589164446,0.4985751437339223,0.2813057003359656,0.00020343971208552602, 0.012027502797713537,0.006261734304881344,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
