j,theta,chi2_min,chi2_avg,chi2_sigma,edge_R,wn0_R,n0_R,eps_R,edge_R_sigma,wn0_R_sigma,n0_R_sigma,edge_L,wn0_L,n0_L,eps_L,edge_L_sigma,wn0_L_sigma,n0_L_sigma,wc0,w_cf
0,10.0,0.8610367572301331,10323.027297325993,4959.628103791768,0.6729250355898649, 2.0089577309899482,0.5302902726537038,0.8338798479230403,0.012953650812933284, 0.11713212328120103,0.024614150141440798,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
1,10.0,0.8470177887482728,2.734961571449121,0.06694375674542838,0.6486976401612977, 1.8502201611978677,0.49889207040613615,0.4695940259958258,0.0005624009915270465, 0.03548076417496558,0.009131905031563511,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
2,9.52380952,0.8470177887482728,2.5183373934340585,0.04586189043791482,0.6465788386770754, 1.7741135205962988,0.48187820341639,0.40331355128678786,0.0006434522224720362, 0.03512263313879015,0.008588138607368234,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
3,9.07029478,0.8470177887482728,2.645714807631204,0.09227362839883585,0.6470344254693207, 1.817388281835584,0.4925394399454081,0.6849802907675273,0.0005412473305968794, 0.034158035383075366,0.008419275440361508,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
4,8.63837599,0.8438686019484922,3.2527641259967197,0.21252736197982,0.6490202977447626, 1.8468718264167,0.5019329504255443,0.25542839421777097,0.000768597560720146, 0.03923656811408401,0.00981142177793053,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
5,8.22702475,0.8386767091939901,2.4031597189665406,0.08035081828670526,0.6456869961032796, 1.807580494033648,0.49174658597436266,0.14798172131427467,0.000714491585138236, 0.03553940704697528,0.008510344579783748,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
6,7.83526166,0.8386767091939901,2.3043043795432223,0.06332766564513484,0.646580224508631, 1.816414490292452,0.49271517381215413,0.28030944837900007,0.0007182426142359005, 0.036348759120241596,0.009501371428794063,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
7,7.46215397,0.8376398135075944,2.1616851939185255,0.042721769611328585,0.6461149634912364, 1.8439302702948588,0.49944581894981555,0.9547003177092386,0.0006446338264564374, 0.04261791126695345,0.01057290425997307,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
8,7.1068133,0.8376398135075944,2.157894383622841,0.06158855194012796,0.6457368638547034, 1.8625995206189976,0.5056415694087697,0.6051918874677383,0.0008972721826561892, 0.034105122070975734,0.007906923399875426,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
9,6.76839362,0.8376398135075944,2.049168339070539,0.024421006465971094,0.6450328704723516, 1.9102490386931485,0.518009270807325,0.5835246518986599,0.0008578950183514147, 0.03954922865748588,0.009113276402847443,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
