j,theta,chi2_min,chi2_avg,chi2_sigma,edge_R,wn0_R,n0_R,eps_R,edge_R_sigma,wn0_R_sigma,n0_R_sigma,edge_L,wn0_L,n0_L,eps_L,edge_L_sigma,wn0_L_sigma,n0_L_sigma,wc0,w_cf
0,10.0,1.0909746824055944,340.29249104759583,337.3627508243531,-1.000016454848921, -0.2932256918252749,0.5165516275470726,0.4508785609091518,0.0019049374802170642, 0.03592268411512262,0.017168676568347117,2.029540932368569, 1.2574319020132645,0.5411423851920996,0.7816149732980453,0.03656196330012495, 0.05380015819746267,0.02740394404029253,0.0,0.0
1,10.0,1.0909746824055944,1.7365086173803352,0.011613336757121897,-0.9991735909642582, -0.32590738577161055,0.4839724877988704,0.21603518043630834,0.000552237169890559, 0.022266536729759465,0.009174944676712649,1.9939233548712394, 1.2673715819611746,0.5086630938725288,0.489409356528096,0.004557292288177464, 0.02394089759232731,0.009340610966497432,0.0,0.0
2,9.52380952,1.0909746824055944,1.6777358286725264,0.008803818356825827,-0.9978045375399898, -0.3126013407007998,0.4960308749158173,0.5011538536344763,0.0003270885126971402, 0.0200308349690229,0.008418141309098985,1.9869095366483354, 1.3136587617059683,0.4935800334351934,0.6872430286103937,0.0030109899460643635, 0.014654309275678656,0.0067351172255816355,0.0,0.0
3,9.07029478,1.0909746824055944,1.6846642283345066,0.007835030589770302,-0.9986108793002682, -0.3125486428223204,0.49031500305895637,0.7820254611566724,0.0005087678055162873, 0.01365509069026997,0.0063324537998344695,1.9898327833745362, 1.2929365164358035,0.4988302873044522,0.6460791975559741,0.002633715341257612, 0.018457139690505713,0.007810147089785485,0.0,0.0
4,8.63837599,1.0909746824055944,1.6208868306477542,0.007074448575819935,-0.9973658464610751, -0.27054299604362575,0.5126826694156715,0.33671422070403245,0.0005529395330470872, 0.017809649670489227,0.007426621846106997,1.9937190322094924, 1.2975866937214966,0.4959604051405617,0.10625108968377706,0.003508351798585714, 0.020162525337545003,0.008370759613421165,0.0,0.0
5,8.22702475,1.0909746824055944,1.6042840674010599,0.0072492592224305515,-0.9972852054758619, -0.30336189770924316,0.49053034962648906,0.9355192181250948,0.00039953075028103293, 0.02819454353136084,0.011870428988105305,1.999551972223054, 1.2650064657209321,0.5087350671586998,0.0169779528316244,0.003357541211832304, 0.019093521835748944,0.007869732308256393,0.0,0.0
6,7.83526166,1.0909746824055944,1.5841123630271743,0.01273429331752827,-0.9968481268793644, -0.27378184485665363,0.5063623491678875,0.8670014996343176,0.00046991954465590524, 0.017779337852794917,0.008065804151146407,1.98869856466196, 1.3109914007919428,0.49197932378221837,0.4878610077928233,0.0029851667860159472, 0.01748739308654368,0.007115157548771316,0.0,0.0
7,7.46215397,1.0909746824055944,1.5885652043683502,0.012731228061646685,-0.9981001000745762, -0.306255713784698,0.49745271059748825,0.9324169775729324,0.0007032343241769946, 0.02167300982350514,0.009887665745349846,1.9879970763154442, 1.3045624392410062,0.4975143746709053,0.8265063075335355,0.004008817406959758, 0.012879913224443262,0.005505045228521775,0.0,0.0
8,7.1068133,1.0909746824055944,1.5390769990360393,0.008398613903751309,-0.997392462944011, -0.23995319884642682,0.5220803870479476,0.19295113619726342,0.0004564751942480677, 0.018753502521169665,0.007867736011056456,1.985424157286582, 1.3230832674422142,0.4882228944395213,0.37911739692629953,0.003012060704490639, 0.02124632701503739,0.008700702688514948,0.0,0.0
9,6.76839362,1.0909746824055944,1.5221699631466794,0.010751397164131362,-0.9972501361963262, -0.2935892621108613,0.5015786741674599,0.6127782608267589,0.0007302765347341576, 0.018715892300519586,0.008161769195161669,1.989741429027506, 1.2831881269998042,0.5031965809326798,0.6241224367597238,0.003040330011870199, 0.022484945288204022,0.01028835508505122,0.0,0.0
10,6.44608916,1.08862434625964,1.4716611137287212,0.00617115396654318,-0.9952712086555356, -0.32607909432355525,0.4879277688779967,0.50776576158486,0.0005101545091164032, 0.020773444878181432,0.009253555857669968,1.98795588101255, 1.2768171521254157,0.5065851282518384,0.6546438994799003,0.003255793043949598, 0.02162988262112015,0.008981256677025862,0.0,0.0
11,6.13913254,1.08862434625964,1.485368691380766,0.008539710239095746,-0.9982640332935787, -0.2986246683966145,0.5005071616004695,0.7086886134666647,0.0005274388012453364, 0.027097789518881477,0.011245529092103159,1.9940465709163484, 1.2859881227830008,0.5056006336954723,0.5908713993264041,0.004656863817287121, 0.02010434943627435,0.0082085539672751,0.0,0.0
12,5.84679289,1.08862434625964,1.4781726756778322,0.009732248114845122,-0.9971751128915715, -0.2827991840905428,0.4994741850673793,0.31793569086788737,0.00069145020238295, 0.023204649863741097,0.009543284736261703,1.9979139871010148, 1.2804222542979087,0.5019539822802159,0.9064073652647513,0.0025390154994235424, 0.025394559542621462,0.011146787560623282,0.0,0.0
13,5.56837418,1.08862434625964,1.4503134528892057,0.0075607823610898735,-0.9983764538383847, -0.3066363743856477,0.49859999778622105,0.6891788069424482,0.0006932519880680019, 0.019396070665835378,0.007873903383171338,1.9949251536048742, 1.3035005513305622,0.4969997405221668,0.43615248866133544,0.004205141710447769, 0.022033260030459075,0.009964196014381536,0.0,0.0
14,5.30321351,1.08862434625964,1.4328554210874809,0.006321742586867374,-0.9972618980414015, -0.28333931204976376,0.501966366014073,0.32599183405676746,0.0003286669665083496, 0.025329784178568113,0.009442855931489365,1.9911773219815552, 1.2580148334841463,0.5144130447395054,0.6595749682476586,0.002897966399097056, 0.02339036121038883,0.00962460907255741,0.0,0.0
