j,ar_cont,∆w_cont,ar_cont_amp,ar_edge_s,∆w_edge,ar_edge_m,n_clust,ar_edge_amp
0,NaN,NaN,0.0,0.04206666666666666,0.001668381893725297,0.5600995670995671,15.922077922077921,0.5288381691670679
1,NaN,NaN,0.0,0.29921343537414963,0.00014449192791796917,0.5947300998321408,15.077922077922079,0.5195939352316306
2,NaN,NaN,0.0,0.47178260869565225,0.00014963919771600917,0.48079051383399213,17.233766233766232,0.48436601027348486
3,NaN,NaN,0.0,0.4977575488454707,0.00024449639773651036,0.5113146178865541,18.272727272727273,0.5088526175985629
4,NaN,NaN,0.0,0.5080000000000001,0.00029386167971003557,0.5203541912632822,17.5974025974026,0.4808248507453162
5,NaN,NaN,0.0,0.4974907063197026,0.00030765003945598446,0.5445855259981655,18.064935064935064,0.4767606006435448
6,NaN,NaN,0.0,0.49054761904761895,0.0002987656916716503,0.5256153370439086,18.07792207792208,0.5285278914592668
7,NaN,NaN,0.0,0.504751461988304,0.00030340085186471186,0.4802156907420066,17.83116883116883,0.5038643848838434
8,NaN,NaN,0.0,0.5005500000000002,0.0003607391135203719,0.5142597402597403,17.948051948051948,0.5349419558315994
9,NaN,NaN,0.0,0.5039190573770492,0.000356944954692768,0.5003193527783693,17.68831168831169,0.5358206220959254
10,NaN,NaN,0.0,0.48900000000000005,0.00037620839620997146,0.5149145591250855,18.584415584415584,0.531614246023971
11,NaN,NaN,0.0,0.5093142548596113,0.00040668098325941234,0.4958626686488458,17.61038961038961,0.512949623565239
12,NaN,NaN,0.0,0.4987777777777779,0.00043287339239911707,0.5170562770562771,17.623376623376622,0.5210495419233524
13,NaN,NaN,0.0,0.4963755707762557,0.000393219207785275,0.4946628713752001,17.961038961038962,0.5102505340718791
14,NaN,NaN,0.0,0.5005,0.00042932100157968775,0.4967150496562261,17.064935064935064,0.504634040240446
15,NaN,NaN,0.0,0.5091707021791768,0.0005681477139043975,0.519040281752146,16.428571428571427,0.5918807201534412
16,NaN,NaN,0.0,0.5016875,0.0005958240748485807,0.5027922077922078,15.558441558441558,0.5012593043172366
