j,theta,chi2_min,chi2_avg,chi2_sigma,edge_R,wn0_R,n0_R,eps_R,edge_R_sigma,wn0_R_sigma,n0_R_sigma,edge_L,wn0_L,n0_L,eps_L,edge_L_sigma,wn0_L_sigma,n0_L_sigma,wc0,w_cf
0,10.0,1.2106994577003216,155724.63474212209,155719.6811139403,-1.4735277187033509, -1.0702563112360213,0.541913099487966,0.7523030852188666,0.006477187509696976, 0.025089317427655883,0.020908590517903638,2.8242414875218276, 2.1945216130880314,0.5239639843402506,0.7616203377021169,0.02457086059562326, 0.03158799262667837,0.017521124142927124,0.0,0.0
1,10.0,1.2106994577003216,2.3008483174766727,0.04180641429500842,-1.4660566551593504, -1.1255814820865377,0.49788639029206694,0.09407582632269562,0.0010239680033557283, 0.011179429194922076,0.007224846343448703,2.806918738788538, 2.2435638438657404,0.4896744379423888,0.8244221073984017,0.004107651614523714, 0.01845492296618953,0.008579163667923027,0.0,0.0
2,9.52380952,1.2106994577003216,2.417175775001289,0.06463457293593165,-1.4673063241391637, -1.1094417242705878,0.5031819185192081,0.46947369561094027,0.0008278709812162466, 0.009539411144223915,0.006153686486523453,2.8200969349376814, 2.1758820913696186,0.5155327906262606,0.6150060646811202,0.004328294221039151, 0.016729959808902618,0.006660583536146344,0.0,0.0
3,9.07029478,1.2106994577003216,2.367571592106691,0.05009414999019259,-1.4654443444734455, -1.1288842136390271,0.49097312780868096,0.2073187302674262,0.0007550931954297616, 0.013367967131342823,0.009420559828039276,2.8093885703656936, 2.2034519512119326,0.5045465081249769,0.2481741609663181,0.003249660114185536, 0.01644070927142728,0.00732451264315553,0.0,0.0
4,8.63837599,1.2106994577003216,2.4307633569215445,0.05716655208240131,-1.4694033392433563, -1.1134144728721815,0.49224113960936744,0.2844586890497006,0.0012476493560349964, 0.012053579204974069,0.0075595625323692335,2.798993808553031, 2.249840380636166,0.4875703094884452,0.1498471150855173,0.0029755223847688344, 0.015715270952879685,0.007694460789950517,0.0,0.0
5,8.22702475,1.2106994577003216,2.180165610379783,0.028585945106937977,-1.4669134026294892, -1.1270897734237824,0.4918538632886045,0.20877363836030813,0.0013133183728126624, 0.011514984366134575,0.00822808335257841,2.803529545317301, 2.20576381060953,0.5120754441137716,0.036563520903706126,0.002793421082050524, 0.020212643453195508,0.0073043188224909735,0.0,0.0
6,7.83526166,1.2106994577003216,2.33987598293407,0.0454021816701347,-1.469445015903736, -1.0999406580720614,0.504123385294952,0.07236457567153398,0.0008126696936670019, 0.017870108335131245,0.010099454023815782,2.815189537133197, 2.2248851941904073,0.49718873194303753,0.5469594765717585,0.0026063699663741407, 0.018994207862759332,0.008725059244429659,0.0,0.0
7,7.46215397,1.2106994577003216,2.232954174801086,0.04106572267840688,-1.4679978068506536, -1.0920027564809551,0.5125712829626424,0.21274586410250218,0.0007436565378239669, 0.012105560350215497,0.007014857454602992,2.8070863565351742, 2.2286529976725804,0.49311448564370897,0.13136109700440501,0.005930774879677741, 0.01730083639840177,0.007238761712105657,0.0,0.0
8,7.1068133,1.2106994577003216,1.9514275823069454,0.030253998992428876,-1.465251650277279, -1.0928595900989275,0.5144852655799563,0.7424715717107052,0.0008019674698658205, 0.012731360208705298,0.007427378038293567,2.801359753374393, 2.210741170728079,0.4980923695048517,0.29224415082994315,0.002835267823172963, 0.01575929341645462,0.006881766895029749,0.0,0.0
9,6.76839362,1.2106994577003216,1.9677201880483999,0.03121258011268611,-1.4653914561887529, -1.084774789762741,0.516761194108173,0.2350839716583778,0.000754753822234643, 0.016217856457815424,0.01005357850283274,2.816239330564501, 2.2231800722300146,0.49269976816646927,0.5975205883006198,0.0032101061315339186, 0.01910203149722918,0.008562090004560796,0.0,0.0
