j,theta,chi2_min,chi2_avg,chi2_sigma,edge_R,wn0_R,n0_R,eps_R,edge_R_sigma,wn0_R_sigma,n0_R_sigma,edge_L,wn0_L,n0_L,eps_L,edge_L_sigma,wn0_L_sigma,n0_L_sigma,wc0,w_cf
0,10.0,0.3860553358558355,3536.4699142253767,3522.329591108011,1.338525273235801, 2.9760557714059397,0.5186316071005133,0.2027453301129746,0.009481283972886683, 0.11973115336161294,0.025394313639508396,-1.3427198599966184, -2.7353386997534916,0.4691376188372396,0.5946358695581345,0.011698609278598041, 0.12374616582072918,0.02390621158259147,0.0,0.0
1,10.0,0.3860553358558355,6.982671488273929,0.1897700945092615,1.3294780986254182, 2.8689819519750093,0.49846225157647817,0.9299604435003221,0.001734811878122427, 0.04352642210488478,0.008458295698085736,-1.3377812681792325, -2.871223301402046,0.4988543549814609,0.9811926557692099,0.0014629354701002353, 0.03043612999120015,0.006171370688886887,0.0,0.0
2,9.09090909,0.342837934730847,6.5804711565284455,0.1472701318733509,1.3264689832981549, 2.883238762784936,0.5043056777455446,0.3032090837653951,0.0020195950326166974, 0.041586425646135794,0.00897257817611218,-1.3379886322538395, -2.8422091388010737,0.4911797121859645,0.5910241978134825,0.002748047055516618, 0.04158799809889741,0.008390076770062076,0.0,0.0
3,8.26446281,0.342837934730847,6.082718694568893,0.15052427345308048,1.3249941621864283, 2.867600832990587,0.49832747028311986,0.33660219464290325,0.0014571045683082278, 0.05916838055272228,0.011485500222051855,-1.3367061474721427, -2.8360941303463645,0.4888998061101783,0.5998297397152876,0.0013554783090420446, 0.03334698284413228,0.007025425631974205,0.0,0.0
4,7.51314801,0.342837934730847,5.355494647870037,0.15557873853515256,1.3302610059067854, 2.8434544330269,0.4926306135263334,0.335359127344824,0.0019148915210186745, 0.03747076800749272,0.0077577679032397,-1.3415396648407971, -2.908807875768499,0.504499951166195,0.8095912590039278,0.0017904278922018433, 0.04770172838202081,0.009133272827381095,0.0,0.0
5,6.83013455,0.342837934730847,5.169557369833786,0.1141895335847264,1.328142625583169, 2.940801416330952,0.5123027349246312,0.5795491294560449,0.0020120055993901836, 0.05855765132746132,0.011769616765735978,-1.3336853293683713, -2.9773725801688964,0.518862543875488,0.15479851779513704,0.0020712758047723, 0.04819549292715306,0.009393592383722692,0.0,0.0
6,6.20921323,0.3074339457983005,4.595612515638971,0.12686444844891626,1.3299696618316046, 2.854839551986852,0.4955913549904333,0.5237484732358024,0.002513414780138482, 0.04654843155341545,0.00991991288978963,-1.3385793530240293, -3.0019053627409726,0.5223323011016907,0.5734257804454199,0.002695229625404382, 0.06243215438063385,0.012270051536258651,0.0,0.0
7,5.6447393,0.3074339457983005,4.3349349404926985,0.1408482380165343,1.329718287803586, 2.855300546423637,0.4965628602549638,0.9236128244435914,0.0025423848191359734, 0.029882839707483948,0.006338648728439878,-1.3350782305280378, -2.85061150885982,0.49256939197912886,0.6675695481393259,0.001968125661180546, 0.05496166399139297,0.011200852660526298,0.0,0.0
8,5.13158118,0.3074339457983005,4.084220074612755,0.1508327264733411,1.3275930657506194, 2.8490420806510075,0.496168397124295,0.7281656139015745,0.002331950243508878, 0.03606112038634472,0.007975731681691117,-1.3319727301591613, -2.8738156230183187,0.4947696059947725,0.3667842437561102,0.0021913158774229647, 0.050028176411378245,0.010078418197047231,0.0,0.0
9,4.6650738,0.25143288481435666,3.3969267850975204,0.10656200836847292,1.3319705290591488, 2.8487776217062337,0.49360403500501776,0.31920548776709406,0.002241957509610463, 0.05422448460899593,0.011217529139232383,-1.3341390789565835, -2.865446400973904,0.4962838448317199,0.09044338311704658,0.0025843885464356597, 0.05141990247377103,0.009653987343190115,0.0,0.0
