j,theta,chi2_min,chi2_avg,chi2_sigma,edge_R,wn0_R,n0_R,eps_R,edge_R_sigma,wn0_R_sigma,n0_R_sigma,edge_L,wn0_L,n0_L,eps_L,edge_L_sigma,wn0_L_sigma,n0_L_sigma,wc0,w_cf
0,10.0,0.6449142810052899,3352.438142078482,3348.2198422656493,1.3440828057615513, 2.6754005089309008,0.4557367646314786,0.7294467654860215,0.009290778297111436, 0.10253703335642719,0.022763769572785836,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
1,10.0,0.640995104904795,4.351167859451937,0.10530298010614167,1.3370403850010475, 2.9033709252286886,0.5014059947962235,0.39827418215686206,0.0010586158648263943, 0.03681657045231734,0.0075261341644303715,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
2,9.09090909,0.640995104904795,3.741697695859968,0.07384864062728227,1.3370778358523312, 2.897873385245876,0.5036758433122976,0.2683043875480418,0.0006716634581509357, 0.026615449491753936,0.005362007417922587,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
3,8.26446281,0.640995104904795,3.5305323350806037,0.06875823293076921,1.3383620319766016, 2.8986748207599837,0.5000516263543158,0.9951800887244612,0.0008257152311407239, 0.050399167020036856,0.010088256039862478,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
4,7.51314801,0.640995104904795,3.2476089992337736,0.08612165186233758,1.339000170386568, 2.9011038100580793,0.5033435576364607,0.07741455710318279,0.0007475166020330712, 0.03572754381432615,0.006962687969395799,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
5,6.83013455,0.640995104904795,3.0678213261928344,0.08663031258932147,1.338370792120706, 2.8780619159555334,0.4972272740804738,0.22052838842703704,0.0010049507035859355, 0.03352975946239236,0.006481516808127874,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
6,6.20921323,0.640995104904795,2.7452276309807084,0.05676803253798357,1.337658209883425, 2.918965068793761,0.5043179433535044,0.054811275287133754,0.0007238305619534924, 0.04260482349971816,0.008262861205192588,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
7,5.6447393,0.640995104904795,2.4386902922709637,0.04426409369059924,1.338518291361949, 2.890297754399268,0.5015115465961412,0.3508095956506465,0.0011188854893320866, 0.04061235374363936,0.008262729741921446,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
8,5.13158118,0.640995104904795,2.374735861977638,0.05334923892951941,1.3390491923763146, 2.8818497015897293,0.49770348484125615,0.2007027209537705,0.0007670536327109214, 0.044874323075471546,0.008758993801599346,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
9,4.6650738,0.640995104904795,2.131946712143493,0.03462046480288704,1.3393938057169734, 2.8956463509126595,0.5002697528474714,0.4097512054769153,0.0010456766916903456, 0.0494653365548454,0.009660015331291322,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
10,4.24097618,0.640995104904795,2.093029882350519,0.050591122159877454,1.3399716949837717, 2.84410826907904,0.4906425151154896,0.5322585487532526,0.0011308878956609138, 0.04459249226540544,0.008975767120240676,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
11,3.85543289,0.640995104904795,1.9570904082950509,0.04001916604210852,1.340484850869925, 2.8884265224458385,0.4991131230240081,0.08734007734384741,0.0011360015637306722, 0.03938576296997318,0.008424921786802339,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
12,3.50493899,0.640995104904795,1.8370715445170516,0.035078452888350674,1.3407416722440142, 2.8399160762645117,0.4893676447271883,0.5380239346925397,0.0011887762668910487, 0.05746475058487863,0.011868363154794212,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
13,3.18630818,0.640995104904795,1.7056963808482513,0.027239986221011977,1.3390721738768996, 2.9606441903172134,0.5137928994162576,0.48735542047032815,0.0009362508376897046, 0.05054172156438115,0.010222957277399303,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
14,2.8966438,0.640995104904795,1.6464610788950405,0.03100917280308407,1.3425710231675656, 2.8870677420541058,0.49942985229599585,0.4364645086800458,0.0013385587065868041, 0.04564202844918643,0.009506998575065366,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
15,2.63331254,0.640995104904795,1.533499316322086,0.025451855247206105,1.3397314814385721, 2.9202982081062574,0.5062730596656543,0.6495160302397236,0.0016967740746063364, 0.0393534324987492,0.007488232463668407,-0.0, -0.0,0.0,0.5,0.0, 0.0,0.0,0.0,0.0
