j,theta,chi2_min,chi2_avg,chi2_sigma,edge_R,wn0_R,n0_R,eps_R,edge_R_sigma,wn0_R_sigma,n0_R_sigma,edge_L,wn0_L,n0_L,eps_L,edge_L_sigma,wn0_L_sigma,n0_L_sigma,wc0,w_cf
0,10.0,1.0917554553732614e6,1.2863306676238095e6,55196.94086191688,0.8934463967531443, 1.9686294688942425,0.5002207279036235,0.14926101891959997,0.016534131083824975, 0.11392212625849467,0.02560204068838591,-0.9071460652712593, -2.0318257738806644,0.5294539750232188,0.08094812791901057,0.016182094643578948, 0.11751461815206576,0.02423628469777759,0.0,0.0
1,10.0,968750.4223006679,1.0482350976024953e6,8237.750393777706,0.9508813043143254, 1.9115402837957163,0.4974024710265804,0.1664160883004015,0.0006095541489111833, 0.04549300528272693,0.010226006677855726,-1.0096648408363251, -1.8433238411783992,0.499482582904662,0.29732749871062786,0.008722948554341697, 0.027840765090412396,0.006932884484557954,0.0,0.0
2,9.52380952,770074.627426806,860648.6406671123,13601.468544829184,0.9775528383157536, 1.9051367430742232,0.4967924591253766,0.03163068981856959,0.002834341251458992, 0.031992632361653,0.007730031405297955,-1.170034031379344, -1.8346970050700508,0.5128774924504886,0.636183631763872,0.008977000261706156, 0.03404164883194525,0.01050592444888346,0.0,0.0
3,9.07029478,661292.9014297214,713070.4459657497,6629.494301935778,1.0159325569824018, 1.933053196882947,0.5094098357338674,0.6525605683899366,0.0021257580037222484, 0.036202464009989915,0.009630842879759264,-1.2322230889785581, -1.773468200745843,0.5013115957048505,0.27690355029001007,0.0012379747058689414, 0.023041763867351503,0.0069408534137576985,0.0,0.0
4,8.63837599,579929.7560071754,620293.9594338243,5680.09087586842,1.0472403597761295, 1.8971630102922252,0.5106691174903157,0.03215807434454343,0.002052325896605734, 0.02856193400177891,0.006566142839657201,-1.250216196289962, -1.754674481080648,0.4922347696280923,0.4609180540441785,0.001121429292114335, 0.03253404335952704,0.010556493349851107,0.0,0.0
5,8.22702475,524434.2140714036,550511.6942368591,3814.225809411221,1.0735890119921252, 1.8292308666717936,0.4933658712824007,0.7567606528859226,0.001521872949889373, 0.0370424254501754,0.008213762777304909,-1.268973155368346, -1.8266200055308377,0.5082217883998712,0.9398189933332983,0.001196679018597839, 0.028472741448002874,0.009296134608483672,0.0,0.0
6,7.83526166,483230.3836485817,501536.0682850716,2643.8696245552374,1.0938385029661775, 1.8852568589647956,0.5135510537522425,0.5069328555812469,0.0011552329437909013, 0.024368111698736664,0.006310349052259446,-1.2862054515668087, -1.7645429822473822,0.5005359113732194,0.30993645585564317,0.001070906122361142, 0.01628379078525007,0.006537802489647847,0.0,0.0
7,7.46215397,470936.43687797576,475907.5326731659,763.3193942126192,1.1046493508111477, 1.9077498614002966,0.5152255790199172,0.5807016432592327,0.00028063724217344707, 0.037768029005754,0.00864123939279069,-1.305860928132349, -1.7905967961102427,0.5031126124624784,0.22591514341407948,0.0012494319069839967, 0.020481488099294128,0.006990066005439728,0.0,0.0
8,7.1068133,464771.1919578527,467754.9568109559,404.7607643239335,1.107508177864701, 1.8073098233510045,0.49537822842675466,0.09091932651249232,0.00015783634452234846, 0.03958220418275882,0.011210528953358128,-1.321618925335925, -1.7372879838130424,0.47867914181836746,0.6684768324360247,0.0008525128267469353, 0.018823714724279517,0.006861360674773562,0.0,0.0
9,6.76839362,459739.7128549416,462356.5051108909,329.52505731200944,1.1094302971130519, 1.8721028178209842,0.5081714469275965,0.9628691377480313,0.00013447683298647625, 0.03365552738040157,0.008572777175588919,-1.333928427491791, -1.7916439824766122,0.508477279263486,0.340154025502511,0.0007159220534914295, 0.016675835420091167,0.0068440551571417145,0.0,0.0
