i,theta,chi2_min,chi2_avg
1.0,1000.0,5278.945644864065,10791.214180791492
2.0,810.0,4304.622576642019,7874.301290022466
3.0,640.0,2835.352523142892,5538.6349056723275
4.0,490.0,1776.4408040213732,3888.763872328384
5.0,360.0,1192.3315625502412,2609.4248536690166
6.0,250.0,817.5209587339167,1683.1840728514444
7.0,160.0,539.2327921158158,1100.5606125216145
8.0,90.0,347.277304363384,632.8104790276502
9.0,40.0,214.4787845438728,339.4327776982085
10.0,10.0,72.0367155753459,104.46344399103432
1.0,10.0,59.373119313363006,98.11322144501983
2.0,9.09090909090909,54.17882523923754,87.09207533238815
3.0,8.264462809917354,50.44307173162503,78.84115251951802
4.0,7.513148009015776,50.44307173162503,76.87335302260341
5.0,6.830134553650705,39.70360664118222,66.35792291217462
6.0,6.2092132305915495,39.70360664118222,64.13321778980628
7.0,5.644739300537772,35.14707617307307,56.41484322843198
8.0,5.131581182307065,34.55501373754614,51.220524311495915
9.0,4.665073802097331,30.83303936110904,48.182491453076835
10.0,4.240976183724846,27.57532511034729,41.971673730214675
11.0,3.855432894295314,23.443674819740213,37.57465185529665
12.0,3.5049389948139216,17.331001503644124,32.16120240020082
13.0,3.1863081771035646,17.331001503644124,31.067471453713196
14.0,2.8966437973668766,12.41957983737463,26.649078887037717
15.0,2.633312543060797,12.41957983737463,23.132806450534158
16.0,2.3939204936916334,12.41957983737463,20.813525445808963
17.0,2.176291357901485,10.548695990643255,17.699896489649298
18.0,1.9784466890013497,9.580589655811009,17.114446152036034
19.0,1.798587899092136,9.580589655811009,15.336731836193653
20.0,1.635079908265578,7.786486391745092,13.182084277223806
21.0,1.4864362802414344,6.899323258827459,11.600510508381241
22.0,1.3513057093103948,5.810719115567016,11.392512584975634
23.0,1.2284597357367224,4.494382695334545,8.44353729722182
24.0,1.1167815779424748,3.756926027026961,7.614064571752166
25.0,1.0152559799477043,3.7002587199576453,6.974789462933724
26.0,0.9229599817706402,3.4882094078808406,6.222526722477219
27.0,0.8390545288824001,2.837553058885425,5.407562473876859
28.0,0.7627768444385454,2.5397033700826555,5.3006209100826815
29.0,0.6934334949441322,1.7187244535248118,3.536904739511829
30.0,0.6303940863128474,1.7187244535248118,3.3815591058234094
31.0,0.5730855330116794,1.571174744849216,3.270282697929418
