i,theta,chi2_min,chi2_avg
1.0,1000.0,6936.249965407297,13105.903524693093
2.0,810.0,5446.95932544882,9956.227487619404
3.0,640.0,4121.67843515731,7475.936076417106
4.0,490.0,3136.92894203419,5614.176327686362
5.0,360.0,2256.646446125399,4148.586180162941
6.0,250.0,1736.1356205620416,2953.389460966707
7.0,160.0,1197.593965675313,1995.5613503256018
8.0,90.0,780.4464067751471,1220.9078262659373
9.0,40.0,350.0480966477943,572.4618645166538
10.0,10.0,61.88559130646127,114.16778655082234
1.0,10.0,61.88559130646127,114.7047484541236
2.0,9.09090909090909,56.8625219480706,102.35548016154553
3.0,8.264462809917354,43.726525636633156,88.27094026821776
4.0,7.513148009015776,39.18815372368481,78.66419480954534
5.0,6.830134553650705,35.74967848668591,69.62489441466104
6.0,6.2092132305915495,28.575430864922534,59.77348029199882
7.0,5.644739300537772,22.34289330753097,52.51697057712756
8.0,5.131581182307065,22.34289330753097,45.603610139572574
9.0,4.665073802097331,17.637216885378542,39.878624354107835
10.0,4.240976183724846,16.34110944397947,34.286389039765865
11.0,3.855432894295314,11.258930148907181,29.84840101649325
12.0,3.5049389948139216,10.089993627239373,26.549971129109316
13.0,3.1863081771035646,10.089993627239373,23.744822589804862
14.0,2.8966437973668766,8.378235616235177,20.05361658202309
15.0,2.633312543060797,7.656859064168826,17.431738538021342
16.0,2.3939204936916334,5.182472120999109,15.253966232019739
17.0,2.176291357901485,5.08727134738819,13.260496525111428
18.0,1.9784466890013497,4.346767634306419,11.657273249618024
19.0,1.798587899092136,3.9183552199676726,10.233624562158436
20.0,1.635079908265578,3.6488169790024947,9.191853608575927
21.0,1.4864362802414344,2.8959486598712454,7.947784399395898
22.0,1.3513057093103948,2.8204525106698872,7.275959900312911
23.0,1.2284597357367224,2.331365560921344,6.4188558804599944
24.0,1.1167815779424748,2.265636287167865,5.643262095311065
25.0,1.0152559799477043,2.265636287167865,5.078375258228448
26.0,0.9229599817706402,2.042727294536667,4.551042631908111
27.0,0.8390545288824001,1.9289403853488798,4.205933028538849
28.0,0.7627768444385454,1.7986853738321367,3.768810819723996
29.0,0.6934334949441322,1.7458885581147614,3.4924363811807426
30.0,0.6303940863128474,1.6921801043982705,3.17663227333837
31.0,0.5730855330116794,1.617330564727087,2.9697108038656532
32.0,0.5209868481924358,1.583054113764862,2.745957819115129
33.0,0.47362440744766887,1.3970742534910854,2.5697969219038868
34.0,0.4305676431342444,1.3970742534910854,2.4159971827307576
35.0,0.39142513012204033,1.395301477365143,2.292823687436125
36.0,0.355841027383673,1.3162055873633514,2.2374843674895635
37.0,0.3234918430760664,1.3162055873633514,2.031198234999242
38.0,0.29408349370551484,1.2454666649890365,1.9209606301684585
39.0,0.2673486306413771,1.1544971859175592,1.7525191922872652
40.0,0.24304420967397916,1.1544971859175592,1.7548622637125781
41.0,0.2209492815217992,1.1544971859175592,1.6501436975758468
42.0,0.20086298320163562,1.1431719849352657,1.5713808851914552
43.0,0.18260271200148692,0.9764678540039863,1.4513931629954047
44.0,0.1660024654558972,0.9764678540039863,1.4976540125692621
45.0,0.1509113322326338,0.9764678540039863,1.4283028159077902
46.0,0.13719212021148527,0.9764678540039863,1.3474276834380314
47.0,0.12472010928316841,0.9455454072804843,1.3028934550557938
48.0,0.1133819175301531,0.9455454072804843,1.2840758629452236
49.0,0.10307447048195735,0.9455454072804843,1.214373953481046
50.0,0.09370406407450667,0.8640261186960807,1.1649565036048237
51.0,0.08518551279500605,0.8640261186960807,1.1604739176606087
52.0,0.07744137526818731,0.8640261186960807,1.120016779577261
53.0,0.07040125024380664,0.8460926710784064,1.0553806306592894
54.0,0.06400113658527876,0.8460926710784064,1.0512607953005657
55.0,0.0581828514411625,0.8428534577684285,1.0018749684586348
56.0,0.05289350131014772,0.7977762369622885,0.9472291097813239
57.0,0.04808500119104338,0.7632277699969332,0.9039535836352208
58.0,0.04371363744640307,0.7632277699969332,0.9037881971487207
59.0,0.039739670405820965,0.7509273218596797,0.8507624973219455
60.0,0.03612697309620087,0.7128955975938934,0.8232768207814628
61.0,0.032842702814728064,0.7128955975938934,0.8373847157488742
62.0,0.02985700255884369,0.7045270030819358,0.7803249422110868
63.0,0.027142729598948808,0.6934663601350883,0.7654087157391207
64.0,0.024675208726317097,0.6737357653851513,0.7584893801971369
65.0,0.02243200793301554,0.6669979411759223,0.7504170341398093
66.0,0.02039273448455958,0.6602840077187045,0.7117410858077933
67.0,0.018538849531417798,0.6393735179250541,0.6886355621868492
68.0,0.01685349957401618,0.6393735179250541,0.7003115452408177
69.0,0.015321363249105616,0.6347769288564926,0.6735786567148299
70.0,0.013928512044641468,0.6280997626249322,0.6722862453443503
71.0,0.012662283676946788,0.6116896042562989,0.6540174580147872
72.0,0.011511166979042534,0.6116896042562989,0.6580438881660275
73.0,0.010464697253675031,0.6037244894026601,0.636332377049794
74.0,0.009513361139704572,0.6036957503404877,0.6260907078218451
75.0,0.008648510127004155,0.5871890237564935,0.6074935185994663
76.0,0.007862281933640141,0.5871890237564935,0.612322336942501
77.0,0.007147529030581946,0.5560640085002952,0.5844664340981122
78.0,0.006497753664165405,0.5560640085002952,0.5880140855128129
79.0,0.005907048785604913,0.5560640085002952,0.5844722004444999
80.0,0.005370044350549921,0.5560640085002952,0.5759290316624097
81.0,0.004881858500499927,0.5381462397395279,0.5615587507137463
82.0,0.0044380531822726605,0.531936084711864,0.5506392165480309
83.0,0.004034593802066055,0.5212383298548161,0.5348091413674663
84.0,0.0036678125473327767,0.5175430818750846,0.5344424028053238
85.0,0.003334375043029797,0.5121973183158682,0.5261697792535066
86.0,0.0030312500391179967,0.5061546856659631,0.5160677530206372
87.0,0.002755681853743633,0.4970983251649597,0.5074396224003063
88.0,0.0025051653215851207,0.48387898563826215,0.49668198942654657
89.0,0.002277423019622837,0.4803743607123929,0.4910584833040621
90.0,0.002070384563293488,0.47708671593388924,0.4866042358378853
91.0,0.0018821677848122617,0.4698897087569076,0.4756253866441942
92.0,0.0017110616225566014,0.4599782796177473,0.4669265317362302
93.0,0.0015555105659605466,0.45287414265874193,0.4618380563762118
94.0,0.0014141005145095877,0.4453572661070741,0.45188555325952406
95.0,0.0012855459222814432,0.4434887994580975,0.4491236071957475
96.0,0.0011686781111649482,0.4399230743805179,0.4479632404330769
97.0,0.001062434646513589,0.433809265871848,0.438206088157436
98.0,0.0009658496786487173,0.42815805968086423,0.43196944165389073
99.0,0.0008780451624079247,0.4257437129100212,0.4309448876528723
100.0,0.0007982228749162951,0.4204749441954112,0.42410496980771245
