omega,S
-12.0,6.737941787005759e-6
-11.997729999999999,6.769275061368393e-6
-11.99546,6.800747171388679e-6
-11.99319,6.8323586988466915e-6
-11.99092,6.864110227804245e-6
-11.98865,6.896002344612968e-6
-11.98638,6.928035637922822e-6
-11.98411,6.960210698690234e-6
-11.98184,6.9925281201864395e-6
-11.979569999999999,7.02498849800592e-6
-11.9773,7.057592430074679e-6
-11.97503,7.090340516658732e-6
-11.97276,7.123233360372562e-6
-11.97049,7.156271566187404e-6
-11.96822,7.1894557414399995e-6
-11.96595,7.222786495840937e-6
-11.96368,7.256264441483169e-6
-11.961409999999999,7.289890192850782e-6
-11.95914,7.3236643668273746e-6
-11.95687,7.357587582704815e-6
-11.9546,7.3916604621919316e-6
-11.95233,7.425883629423003e-6
-11.95006,7.460257710966687e-6
-11.94779,7.494783335834711e-6
-11.94552,7.529461135490486e-6
-11.943249999999999,7.564291743858128e-6
-11.94098,7.5992757973311065e-6
-11.93871,7.634413934781213e-6
-11.93644,7.669706797567399e-6
-11.93417,7.705155029544625e-6
-11.9319,7.74075927707295e-6
-11.92963,7.776520189026379e-6
-11.92736,7.812438416801805e-6
-11.925089999999999,7.848514614328283e-6
-11.92282,7.884749438075743e-6
-11.92055,7.921143547064396e-6
-11.91828,7.95769760287365e-6
-11.91601,7.994412269651272e-6
-11.913739999999999,8.031288214122663e-6
-11.91147,8.068326105599885e-6
-11.9092,8.105526615991074e-6
-11.90693,8.142890419809631e-6
-11.90466,8.180418194183423e-6
-11.90239,8.218110618864227e-6
-11.90012,8.255968376237032e-6
-11.89785,8.29399215132938e-6
-11.895579999999999,8.332182631820819e-6
-11.89331,8.3705405080523e-6
-11.89104,8.409066473035745e-6
-11.88877,8.44776122246345e-6
-11.8865,8.486625454717548e-6
-11.88423,8.525659870879742e-6
-11.88196,8.564865174740848e-6
-11.87969,8.604242072810237e-6
-11.877419999999999,8.643791274325742e-6
-11.87515,8.68351349126313e-6
-11.87288,8.72340943834601e-6
-11.87061,8.763479833055366e-6
-11.86834,8.803725395639452e-6
