omega,S
-1.0,0.0
-0.9991,33.333333333333115
-0.9982,23.57022603955143
-0.9973,19.2450089729874
-0.9964,16.666666666666558
-0.9955,14.907119849998683
-0.9946,13.608276348795483
-0.9937,12.598815766974269
-0.9928,11.785113019775805
-0.9919,11.111111111111114
-0.991,10.540925533894594
-0.9901,10.05037815259211
-0.9892,9.622504486493748
-0.9883,9.245003270420469
-0.9874,8.908708063747499
-0.9865,8.606629658238719
-0.9856,8.333333333333343
-0.9847,8.084520834544438
-0.9838,7.8567420131838634
-0.9829,7.647191129018725
-0.982,7.453559924999296
-0.9811,7.273929674533074
-0.9802,7.106690545187007
-0.9793,6.95048046856915
-0.9784,6.804138174397725
-0.9775,6.666666666666672
-0.9766,6.537204504606137
-0.9757,6.415002990995843
-0.9748,6.29940788348712
-0.9739,6.189844605901727
-0.973,6.085806194501843
-0.9721,5.986843400892493
-0.9712,5.892556509887891
-0.9703,5.8025885318566
-0.9694,5.716619504750298
-0.9685,5.634361698190113
-0.9676,5.555555555555557
-0.9667,5.47996624351191
-0.9658,5.407380704358751
-0.9649,5.337605126836237
-0.964,5.270462766947297
-0.9631,5.205792062953533
-0.9621999999999999,5.143444998736393
-0.9613,5.083285677753492
-0.9604,5.025189076296062
-0.9595,4.969039949999534
-0.9586,4.914731871829905
-0.9577,4.862166383263151
-0.9568,4.81125224324688
-0.9559,4.76190476190476
-0.955,4.714045207910314
-0.9541,4.667600280093364
-0.9532,4.622501635210245
-0.9523,4.578685464956303
-0.9514,4.536092116265146
-0.9505,4.494665749754947
-0.9496,4.45435403187374
-0.9487,4.415107856883479
-0.9478,4.376881095324085
-0.9469,4.33963036602746
-0.946,4.30331482911935
-0.9451,4.267895997763201
-0.9442,4.233337566673018
-0.9433,4.199605255658081
-0.9424,4.166666666666667
-0.9415,4.134491152973616
-0.9406,4.103049699311091
-0.9397,4.07231481187684
-0.9388,4.042260417272215
-0.9379,4.012861769525639
-0.937,3.9840953644479806
-0.9361,3.955938860646179
-0.9352,3.9283710065919317
-0.9343,3.9013715732043526
-0.9334,3.874921291460643
-0.9325,3.849001794597505
-0.9316,3.8235955645093624
-0.9307,3.798685881987931
-0.9298,3.7742567804819847
-0.9289000000000001,3.750293003086748
-0.928,3.7267799624996507
-0.9271,3.7037037037037046
-0.9262,3.681050869161552
-0.9253,3.658808666323012
-0.9244,3.6369648372665395
-0.9235,3.615507630310936
-0.9226,3.594425773447947
-0.9217,3.5737084494593154
-0.9208000000000001,3.553345272593509
-0.9198999999999999,3.5333262666878653
-0.919,3.5136418446315334
-0.9181,3.4942827890730617
-0.9172,3.4752402342845796
-0.9163,3.4565056491014174
-0.9154,3.4380708208626447
-0.9145,3.4199278402838464
-0.9136,3.402069087198858
-0.9127,3.3844872171120626
-0.9117999999999999,3.367175148507368
-0.9109,3.350126050864041
-0.91,3.333333333333334
-0.9091,3.3167906340332975
-0.9082,3.300491809922248
-0.9073,3.2844309272143106
-0.9064,3.268602252303067
-0.9055,3.2530002431617766
-0.9046,3.23761954119088
-0.9037,3.2224549634855446
-0.9028,3.2075014954979215
-0.9019,3.192754284070505
-0.901,3.1782086308186415
-0.9001,3.1638599858416634
-0.8992,3.14970394174356
-0.8983,3.135736227945324
-0.8974,3.121952705272313
-0.8965,3.1083493608010455
-0.8956,3.0949223029508635
-0.8947,3.081667756806829
-0.8938,3.0685820596610784
-0.8929,3.0556616567607047
-0.892,3.0429030972509232
-0.8911,3.0303030303030303
-0.8902,3.017858201417284
-0.8893,3.0055654488914407
-0.8884,2.993421700446248
-0.8875,2.981423969999719
-0.8866,2.969569354582494
-0.8857,2.9578550313870466
-0.8848,2.9462782549439486
-0.8839,2.934836354418746
-0.883,2.923526731023431
-0.8821,2.9123468555367933
-0.8812,2.901294265928297
-0.8803,2.8903665650803996
-0.8794,2.879561418604533
-0.8785000000000001,2.868876552746235
-0.8776,2.8583097523751477
-0.8767,2.8478588590558704
