i,ar_1,ar_2,ar_3,ar_4,ar_5,ar_6,omega_range_1,omega_range_2,omega_range_4
1.0,0.456072,0.49388,0.83557958,0.0,0.0,0.0,0.28925833,0.86372073,0.0
2.0,0.506542,0.496168,0.83293694,0.0,0.0,0.0,0.2410486,0.86372073,0.0
3.0,0.49272,0.488608,0.82921321,0.0,0.0,0.0,0.2410486,0.86372073,0.0
4.0,0.479254,0.482152,0.83001201,0.0,0.0,0.0,0.2410486,0.86372073,0.0
5.0,0.462722,0.480512,0.82297297,0.0,0.0,0.0,0.2410486,0.86372073,0.0
6.0,0.515982,0.478568,0.81926727,0.0,0.0,0.0,0.20087384,0.86372073,0.0
7.0,0.499046,0.470064,0.81621622,0.0,0.0,0.0,0.20087384,0.86372073,0.0
8.0,0.48534,0.46636,0.81387988,0.0,0.0,0.0,0.20087384,0.86372073,0.0
9.0,0.470152,0.4602,0.81157357,0.0,0.0,0.0,0.20087384,0.86372073,0.0
10.0,0.520442,0.543072,0.80747748,0.0,0.0,0.0,0.16739486,0.71976728,0.0
11.0,0.504028,0.534376,0.80455255,0.0,0.0,0.0,0.16739486,0.71976728,0.0
12.0,0.491192,0.532696,0.80345946,0.0,0.0,0.0,0.16739486,0.71976728,0.0
13.0,0.474518,0.527,0.80053453,0.0,0.0,0.0,0.16739486,0.71976728,0.0
14.0,0.458826,0.520752,0.79703303,0.0,0.0,0.0,0.16739486,0.71976728,0.0
15.0,0.510212,0.508888,0.79102703,0.0,0.0,0.0,0.13949572,0.71976728,0.0
16.0,0.492804,0.50308,0.79115916,0.0,0.0,0.0,0.13949572,0.71976728,0.0
17.0,0.476536,0.50052,0.78534535,0.0,0.0,0.0,0.13949572,0.71976728,0.0
18.0,0.46115,0.4934,0.78100901,0.0,0.0,0.0,0.13949572,0.71976728,0.0
19.0,0.51049,0.485296,0.77877477,0.0,0.0,0.0,0.11624643,0.71976728,0.0
20.0,0.494398,0.478112,0.77251051,0.0,0.0,0.0,0.11624643,0.71976728,0.0
21.0,0.4788,0.469712,0.77297297,0.0,0.0,0.0,0.11624643,0.71976728,0.0
22.0,0.46305,0.463664,0.76682883,0.0,0.0,0.0,0.11624643,0.71976728,0.0
23.0,0.511566,0.455336,0.76253453,0.0,0.0,0.0,0.09687203,0.71976728,0.0
24.0,0.4955,0.530248,0.75882883,0.0,0.0,0.0,0.09687203,0.59980606,0.0
25.0,0.478748,0.52116,0.75552553,0.0,0.0,0.0,0.09687203,0.59980606,0.0
26.0,0.46218,0.515616,0.75224625,0.0,0.0,0.0,0.09687203,0.59980606,0.0
27.0,0.510494,0.508712,0.7508048,0.0,0.0,0.0,0.08072669,0.59980606,0.0
28.0,0.494378,0.501072,0.74624625,0.0,0.0,0.0,0.08072669,0.59980606,0.0
29.0,0.47754,0.493608,0.74262462,0.0,0.0,0.0,0.08072669,0.59980606,0.0
30.0,0.461322,0.477096,0.73802402,0.0,0.0,0.0,0.08072669,0.59980606,0.0
31.0,0.511148,0.474128,0.73322523,0.0,0.0,0.0,0.06727224,0.59980606,0.0
32.0,0.4943,0.463192,0.72874474,0.0,0.0,0.0,0.06727224,0.59980606,0.0
33.0,0.477384,0.537416,0.72637237,0.0,0.0,0.0,0.06727224,0.49983839,0.0
34.0,0.460546,0.525832,0.72342342,0.0,0.0,0.0,0.06727224,0.49983839,0.0
35.0,0.508926,0.520632,0.72007207,0.0,0.0,0.0,0.0560602,0.49983839,0.0
36.0,0.49284,0.508392,0.71618018,0.0,0.0,0.0,0.0560602,0.49983839,0.0
37.0,0.475456,0.498528,0.71111712,0.0,0.0,0.0,0.0560602,0.49983839,0.0
38.0,0.458552,0.4872,0.70559159,0.0,0.0,0.0,0.0560602,0.49983839,0.0
39.0,0.50694,0.477832,0.70637237,0.0,0.0,0.0,0.04671683,0.49983839,0.0
40.0,0.489656,0.46936,0.69976577,0.0,0.0,0.0,0.04671683,0.49983839,0.0
41.0,0.474202,0.546288,0.69835435,0.0,0.0,0.0,0.04671683,0.41653199,0.0
42.0,0.456302,0.53212,0.69437838,0.0,0.0,0.0,0.04671683,0.41653199,0.0
43.0,0.505702,0.523864,0.69175375,0.0,0.0,0.0,0.0389307,0.41653199,0.0
44.0,0.487548,0.509344,0.68798799,0.0,0.0,0.0,0.0389307,0.41653199,0.0
45.0,0.470612,0.499336,0.68344745,0.0,0.0,0.0,0.0389307,0.41653199,0.0
46.0,0.455518,0.490544,0.67983784,0.0,0.0,0.0,0.0389307,0.41653199,0.0
47.0,0.503472,0.476856,0.67855856,0.0,0.0,0.0,0.03244225,0.41653199,0.0
48.0,0.48771,0.46608,0.67418619,0.0,0.0,0.0,0.03244225,0.41653199,0.0
49.0,0.470012,0.459944,0.67061261,0.0,0.0,0.0,0.03244225,0.41653199,0.0
50.0,0.51869,0.52936,0.66899099,0.0,0.0,0.0,0.02703521,0.34710999,0.0
51.0,0.500652,0.522528,0.66561562,0.0,0.0,0.0,0.02703521,0.34710999,0.0
52.0,0.483624,0.511592,0.66172973,0.0,0.0,0.0,0.02703521,0.34710999,0.0
53.0,0.466664,0.495928,0.65720721,0.0,0.0,0.0,0.02703521,0.34710999,0.0
54.0,0.515958,0.489312,0.65913514,0.0,0.0,0.0,0.02252934,0.34710999,0.0
55.0,0.498376,0.480984,0.6526967,0.0,0.0,0.0,0.02252934,0.34710999,0.0
56.0,0.48164,0.46636,0.6526006,0.0,0.0,0.0,0.02252934,0.34710999,0.0
57.0,0.465722,0.540208,0.64818018,0.0,0.0,0.0,0.02252934,0.28925833,0.0
58.0,0.512208,0.531176,0.64513514,0.0,0.0,0.0,0.01877445,0.28925833,0.0
59.0,0.496712,0.517328,0.6432012,0.0,0.0,0.0,0.01877445,0.28925833,0.0
60.0,0.478848,0.509824,0.64153153,0.0,0.0,0.0,0.01877445,0.28925833,0.0
61.0,0.46055,0.497072,0.63635435,0.0,0.0,0.0,0.01877445,0.28925833,0.0
62.0,0.510568,0.489864,0.63733333,0.0,0.0,0.0,0.01564537,0.28925833,0.0
63.0,0.49255,0.47816,0.63493093,0.0,0.0,0.0,0.01564537,0.28925833,0.0
64.0,0.476822,0.467464,0.63154354,0.0,0.0,0.0,0.01564537,0.28925833,0.0
65.0,0.458514,0.45548,0.62901502,0.0,0.0,0.0,0.01564537,0.28925833,0.0
66.0,0.506082,0.528576,0.62543544,0.0,0.0,0.0,0.01303781,0.2410486,0.0
67.0,0.489584,0.521872,0.62608408,0.0,0.0,0.0,0.01303781,0.2410486,0.0
68.0,0.47278,0.504848,0.62469069,0.0,0.0,0.0,0.01303781,0.2410486,0.0
69.0,0.455482,0.495672,0.62383784,0.0,0.0,0.0,0.01303781,0.2410486,0.0
70.0,0.50351,0.487248,0.6161021,0.0,0.0,0.0,0.01086484,0.2410486,0.0
71.0,0.487892,0.471808,0.61311712,0.0,0.0,0.0,0.01086484,0.2410486,0.0
72.0,0.47053,0.460008,0.61010811,0.0,0.0,0.0,0.01086484,0.2410486,0.0
73.0,0.517852,0.53456,0.61248649,0.0,0.0,0.0,0.00905404,0.20087384,0.0
74.0,0.502246,0.523512,0.60706907,0.0,0.0,0.0,0.00905404,0.20087384,0.0
75.0,0.48466,0.506696,0.60347748,0.0,0.0,0.0,0.00905404,0.20087384,0.0
76.0,0.466766,0.498408,0.60288288,0.0,0.0,0.0,0.00905404,0.20087384,0.0
77.0,0.514882,0.482672,0.59903303,0.0,0.0,0.0,0.00754503,0.20087384,0.0
78.0,0.497598,0.473304,0.59527928,0.0,0.0,0.0,0.00754503,0.20087384,0.0
79.0,0.482062,0.463832,0.59091291,0.0,0.0,0.0,0.00754503,0.20087384,0.0
80.0,0.465,0.523776,0.58728529,0.0,0.0,0.0,0.00754503,0.16739486,0.0
81.0,0.51207,0.514768,0.58313514,0.0,0.0,0.0,0.00628752,0.16739486,0.0
82.0,0.494818,0.504232,0.58717718,0.0,0.0,0.0,0.00628752,0.16739486,0.0
83.0,0.47835,0.494648,0.5833994,0.0,0.0,0.0,0.00628752,0.16739486,0.0
84.0,0.461572,0.480712,0.57739339,0.0,0.0,0.0,0.00628752,0.16739486,0.0
85.0,0.50895,0.468968,0.57361562,0.0,0.0,0.0,0.0052396,0.16739486,0.0
86.0,0.492146,0.537096,0.57523724,0.0,0.0,0.0,0.0052396,0.13949572,0.0
