i,theta,chi2_min,chi2_avg
1.0,10.0,33.3611,55.7442
2.0,9.09090909,30.1996,52.8058
3.0,8.26446281,28.9756,46.8837
4.0,7.51314801,26.0356,42.4797
5.0,6.83013455,25.4633,40.6632
6.0,6.20921323,20.8069,36.0558
7.0,5.6447393,20.8069,33.9974
8.0,5.13158118,16.6946,30.6646
9.0,4.6650738,16.1189,27.7084
10.0,4.24097618,16.1189,26.0257
11.0,3.85543289,14.0891,23.4151
12.0,3.50493899,13.5952,21.9884
13.0,3.18630818,12.0609,20.2486
14.0,2.8966438,11.793,18.558
15.0,2.63331254,10.4203,16.9106
16.0,2.39392049,9.295,15.7258
17.0,2.17629136,9.1553,14.3555
18.0,1.97844669,8.8479,13.6262
19.0,1.7985879,8.4014,12.2611
20.0,1.63507991,7.9012,11.4721
21.0,1.48643628,6.6516,10.5227
22.0,1.35130571,6.5465,9.905
23.0,1.22845974,6.1026,9.201
24.0,1.11678158,5.6998,8.3316
25.0,1.01525598,5.2841,7.6847
26.0,0.92295998,4.8649,7.1332
27.0,0.83905453,4.4141,6.6063
28.0,0.76277684,4.2014,6.1795
29.0,0.69343349,4.0667,5.6599
30.0,0.63039409,3.7244,5.3072
31.0,0.57308553,3.4612,4.8496
32.0,0.52098685,3.1997,4.517
33.0,0.47362441,2.9279,4.1873
34.0,0.43056764,2.8343,3.8471
35.0,0.39142513,2.4164,3.6613
36.0,0.35584103,2.3231,3.3607
37.0,0.32349184,2.3231,3.2167
38.0,0.29408349,2.0644,2.9182
39.0,0.26734863,2.0545,2.7249
40.0,0.24304421,1.9569,2.5144
41.0,0.22094928,1.761,2.3215
42.0,0.20086298,1.6944,2.1778
43.0,0.18260271,1.6344,2.0576
44.0,0.16600247,1.5075,1.9189
45.0,0.15091133,1.4069,1.8309
46.0,0.13719212,1.3692,1.728
47.0,0.12472011,1.2858,1.6218
48.0,0.11338192,1.2465,1.5385
49.0,0.10307447,1.1942,1.4332
50.0,0.09370406,1.1304,1.3651
51.0,0.08518551,1.0574,1.3041
52.0,0.07744138,1.0574,1.2352
53.0,0.07040125,1.0248,1.1985
54.0,0.06400114,0.9713,1.1403
55.0,0.05818285,0.9399,1.0882
56.0,0.0528935,0.9238,1.0618
57.0,0.048085,0.9068,1.0216
58.0,0.04371364,0.8932,1.0007
59.0,0.03973967,0.865,0.9612
60.0,0.03612697,0.8494,0.9437
61.0,0.0328427,0.8481,0.9184
62.0,0.029857,0.8311,0.8936
63.0,0.02714273,0.819,0.8758
64.0,0.02467521,0.8139,0.8661
65.0,0.02243201,0.7975,0.8548
66.0,0.02039273,0.7933,0.8383
67.0,0.01853885,0.7916,0.8271
68.0,0.0168535,0.7863,0.8184
69.0,0.01532136,0.778,0.8116
70.0,0.01392851,0.7779,0.8066
71.0,0.01266228,0.7702,0.7975
72.0,0.01151117,0.7702,0.7923
73.0,0.0104647,0.7665,0.786
74.0,0.00951336,0.7653,0.7834
75.0,0.00864851,0.7618,0.778
76.0,0.00786228,0.7573,0.7719
77.0,0.00714753,0.7573,0.7718
78.0,0.00649775,0.7551,0.7685
79.0,0.00590705,0.7472,0.7605
80.0,0.00537004,0.7452,0.7557
81.0,0.00488186,0.74,0.7528
82.0,0.00443805,0.7389,0.748
83.0,0.00403459,0.7346,0.7468
84.0,0.00366781,0.7288,0.7367
85.0,0.00333438,0.7248,0.7322
86.0,0.00303125,0.7225,0.7288
87.0,0.00275568,0.718,0.7224
88.0,0.00250517,0.7144,0.7191
89.0,0.00227742,0.7096,0.7139
90.0,0.00207038,0.7096,0.7129
91.0,0.00188217,0.7078,0.7113
92.0,0.00171106,0.7075,0.7106
93.0,0.00155551,0.7072,0.7109
94.0,0.0014141,0.7058,0.7083
95.0,0.00128555,0.705,0.7069
96.0,0.00116868,0.7044,0.7066
97.0,0.00106243,0.7044,0.7061
98.0,0.00096585,0.7025,0.7043
99.0,0.00087805,0.7023,0.7037
100.0,0.00079822,0.7023,0.7038
101.0,0.00072566,0.7023,0.7036
102.0,0.00065969,0.7021,0.703
