omega,S
-2.3850000000000002,1.0486331291986715e-137
-2.38,7.954850715724341e-137
-2.375,0.0
-2.37,5.0068781166506565e-136
-2.365,0.0
-2.36,1.2862811953878423e-135
-2.355,2.4394076924625255e-135
-2.35,1.4804128145870496e-134
-2.345,2.1056809472567456e-134
-2.34,1.963413630074753e-133
-2.335,2.1457897942121538e-133
-2.33,2.8725524581630593e-133
-2.325,5.2207516112188284e-133
-2.32,1.2914420356014068e-132
-2.315,3.7554325284480054e-132
-2.31,8.360733111325114e-132
-2.305,2.2022181225832857e-131
-2.3000000000000003,3.675288814153433e-131
-2.295,5.280390122701252e-131
-2.29,6.208778519843581e-131
-2.285,2.8487491322715694e-130
-2.2800000000000002,2.0169700168014243e-130
-2.275,5.054655986672563e-130
-2.27,1.2695050353493127e-129
-2.265,4.323838740070898e-129
-2.2600000000000002,5.870510025361005e-129
-2.255,1.5728009386080054e-128
-2.25,3.686590559241813e-128
-2.245,7.309346164765793e-128
-2.24,2.2661414134255943e-127
-2.235,3.680471869778886e-127
-2.23,7.3267740696120895e-127
-2.225,1.4388403625746339e-126
-2.22,3.243294360496866e-126
-2.215,5.6777037605909096e-126
-2.21,1.3010918416217984e-125
-2.205,3.3608994515271463e-125
-2.2,5.748595699113856e-125
-2.195,1.1934932525551114e-124
-2.19,2.190891071093476e-124
-2.185,4.870410565691746e-124
-2.18,9.993314452463982e-124
-2.1750000000000003,2.0783014380134185e-123
-2.17,5.0300523597685424e-123
-2.165,9.984332736112414e-123
-2.16,1.954263931788501e-122
-2.1550000000000002,3.725427413844136e-122
-2.15,8.509804986552469e-122
-2.145,1.653006275964667e-121
-2.14,3.5060174386875203e-121
-2.1350000000000002,7.236997584773307e-121
-2.13,1.3222316694839354e-120
-2.125,2.900700493027118e-120
-2.12,5.461587229879837e-120
-2.115,1.1236119693874968e-119
-2.11,2.2832614719243726e-119
-2.105,5.447374268395804e-119
-2.1,8.964598360510593e-119
-2.095,1.8511482488583896e-118
-2.09,3.9232232165174887e-118
-2.085,7.744309367103746e-118
-2.08,1.3845791019862753e-117
-2.075,3.167124716642601e-117
-2.07,6.519671100532081e-117
-2.065,1.2841474301553627e-116
-2.06,2.4084644897447083e-116
-2.055,5.193624036223372e-116
-2.05,1.0658683677628526e-115
-2.045,2.036409367778484e-115
-2.04,3.890478343135194e-115
-2.035,8.134035221160544e-115
-2.0300000000000002,1.6307692914401797e-114
-2.025,2.8834488979198517e-114
-2.02,5.957350318875453e-114
-2.015,1.1332919243300411e-113
-2.0100000000000002,2.1897353647120574e-113
-2.005,4.288147685143517e-113
-2.0,8.494947021463795e-113
-1.995,1.6772992636413707e-112
-1.99,3.2809065652971624e-112
-1.985,6.7510706016366485e-112
-1.98,1.2984713114177327e-111
-1.975,2.4897936370519333e-111
-1.97,4.54700844180676e-111
-1.965,9.461595079672487e-111
-1.96,1.6256527168773168e-110
-1.955,3.3727609600912295e-110
-1.95,6.925160798486677e-110
-1.945,1.3604643841341038e-109
-1.94,2.411105363335597e-109
-1.935,4.573701609486509e-109
-1.93,9.13338850418446e-109
-1.925,1.8016805528071837e-108
-1.92,3.2441945790165373e-108
-1.915,6.478590514843868e-108
-1.9100000000000001,1.1844101599367582e-107
-1.905,2.480233677827775e-107
-1.9000000000000001,4.9606132028997405e-107
-1.895,8.745987172140816e-107
-1.8900000000000001,1.7276125500919723e-106
-1.885,3.216231036293728e-106
-1.8800000000000001,5.878802087187894e-106
-1.875,1.1405362454147798e-105
-1.87,2.2629048023410247e-105
-1.865,3.885574859434176e-105
-1.86,7.64481175847505e-105
-1.855,1.5699834905713027e-104
-1.85,2.988981913942997e-104
-1.845,5.926755329295788e-104
-1.84,1.0812539446750485e-103
-1.835,1.9545611405678062e-103
-1.83,3.7500722464987597e-103
-1.825,6.933611061895445e-103
-1.82,1.3938589498299566e-102
-1.815,2.5711436555343714e-102
-1.81,4.788275373610936e-102
-1.805,9.229169200569991e-102
-1.8,1.7350169762942335e-101
-1.795,3.4254150012530924e-101
-1.79,5.861845952982342e-101
-1.7850000000000001,1.1133456984426614e-100
-1.78,2.1213200574536074e-100
-1.7750000000000001,3.993229990630057e-100
-1.77,7.579545999941385e-100
-1.7650000000000001,1.4420418231699376e-99
-1.76,2.7028493037622766e-99
-1.7550000000000001,4.9275653164975635e-99
-1.75,9.286522461661295e-99
-1.745,1.796442209323992e-98
-1.74,3.227290355936603e-98
-1.735,6.089136539110278e-98
-1.73,1.1426288486110264e-97
-1.725,2.1977327949529288e-97
-1.72,3.934622563634481e-97
-1.715,7.447185905304533e-97
-1.71,1.460599964854255e-96
-1.705,2.725568497069838e-96
-1.7,4.877211084633698e-96
-1.695,9.695557041562558e-96
-1.69,1.7953196452469132e-95
-1.685,3.439961051045503e-95
-1.68,6.113844615611497e-95
-1.675,1.2326020144526766e-94
-1.67,2.2041958386348097e-94
-1.665,3.899462816942236e-94
-1.6600000000000001,7.393152159463505e-94
-1.655,1.4448026639264954e-93
-1.6500000000000001,2.809677018118262e-93
-1.645,4.963887028403712e-93
-1.6400000000000001,9.462919295349139e-93
-1.635,1.7770706856091825e-92
-1.6300000000000001,3.187082445172359e-92
-1.625,6.298637540394681e-92
-1.62,1.1325445178618746e-91
-1.615,2.0343122277121123e-91
-1.61,3.726308844753098e-91
-1.605,6.684945234337244e-91
-1.6,1.2841867707741852e-90
-1.595,2.6272294539178302e-90
-1.59,4.636779974505864e-90
-1.585,8.691024764401164e-90
-1.58,1.570450321613431e-89
-1.575,3.036442743557021e-89
-1.57,6.212118688290871e-89
-1.565,1.101745867624028e-88
-1.56,2.1405134771326286e-88
-1.555,4.0247467882742815e-88
-1.55,7.583504970281909e-88
-1.545,1.3997205022809663e-87
-1.54,2.511560717424908e-87
-1.5350000000000001,4.847281062930012e-87
-1.53,8.90550160707439e-87
-1.5250000000000001,1.7783678272697903e-86
-1.52,3.2616648884552484e-86
-1.5150000000000001,6.214714513390404e-86
-1.51,1.192830939546848e-85
-1.5050000000000001,2.137761110293761e-85
-1.5,4.1746782122875747e-85
-1.495,7.920326733892535e-85
-1.49,1.467653509286997e-84
-1.485,2.7417330886288824e-84
-1.48,5.159088860189051e-84
-1.475,1.0549192992563175e-83
-1.47,1.9691584531234636e-83
-1.465,3.537920230740297e-83
-1.46,6.977429762615607e-83
-1.455,1.3279690370189068e-82
-1.45,2.5045646731280946e-82
-1.445,5.503206993517686e-82
-1.44,9.075880525503063e-82
-1.435,1.8939553690281423e-81
-1.43,3.4094314310316524e-81
-1.425,6.439122295682758e-81
-1.42,1.2562821422541694e-80
-1.415,2.528848278170982e-80
-1.41,4.795912406214588e-80
-1.405,8.881051180654887e-80
-1.4000000000000001,1.773329336866478e-79
-1.395,3.4582989162175716e-79
-1.3900000000000001,6.97993017294527e-79
-1.385,1.3098693597614135e-78
-1.3800000000000001,2.4941931906735896e-78
-1.375,4.548372112568738e-78
-1.37,8.926222239353856e-78
-1.365,1.682293684309753e-77
-1.36,3.523483507639961e-77
-1.355,6.6803223596273e-77
-1.35,1.3946085958240293e-76
-1.345,2.683051145849938e-76
-1.34,5.2216124007813815e-76
-1.335,1.0305076789975065e-75
-1.33,1.954338109195669e-75
-1.325,3.971105202628535e-75
-1.32,7.862494590299038e-75
-1.315,1.5561724013889555e-74
-1.31,3.0144536060195807e-74
-1.305,5.9794088038494416e-74
-1.3,1.2361675219765962e-73
-1.295,2.3049531242778764e-73
-1.29,4.570632032186949e-73
-1.285,9.133270705201704e-73
-1.28,1.9261817601947993e-72
-1.2750000000000001,3.7156377261434e-72
-1.27,7.398161906888986e-72
-1.2650000000000001,1.501804977110343e-71
-1.26,3.0390592176333742e-71
-1.2550000000000001,6.000543994322016e-71
-1.25,1.1989694959923695e-70
-1.245,2.415658655728492e-70
-1.24,4.7841638563352624e-70
-1.235,9.59565028560933e-70
-1.23,1.9182278942358092e-69
-1.225,3.841176898841174e-69
-1.22,7.932141310724102e-69
-1.215,1.5904241266324634e-68
-1.21,3.179076380202586e-68
-1.205,6.5223478562439885e-68
-1.2,1.3300318571466916e-67
-1.195,2.662768330189693e-67
-1.19,5.392565315116184e-67
-1.185,1.1181122129075649e-66
-1.18,2.1937173069984755e-66
-1.175,4.501042424423098e-66
-1.17,8.900250336798893e-66
-1.165,1.8345312755093023e-65
-1.16,3.6990773472189576e-65
-1.155,7.494275813764823e-65
-1.1500000000000001,1.5294458399165443e-64
-1.145,3.066953224299074e-64
-1.1400000000000001,6.217011938195573e-64
-1.135,1.2668949220106058e-63
