i,ar_1,ar_2,ar_3,ar_4,ar_5,ar_6,omega_range_1,omega_range_2,omega_range_4
1.0,0.46051,0.47326,0.22580931,0.0,0.0,0.0,0.13188275,0.68048604,0.0
2.0,0.509803,0.467166,0.22432883,0.0,0.0,0.0,0.10990229,0.68048604,0.0
3.0,0.4928175,0.456628,0.22499099,0.0,0.0,0.0,0.10990229,0.68048604,0.0
4.0,0.4750675,0.517924,0.22360961,0.0,0.0,0.0,0.10990229,0.5670717,0.0
5.0,0.458507,0.508666,0.22253604,0.0,0.0,0.0,0.10990229,0.5670717,0.0
6.0,0.5067235,0.498496,0.22216066,0.0,0.0,0.0,0.09158525,0.5670717,0.0
7.0,0.489724,0.488462,0.22002102,0.0,0.0,0.0,0.09158525,0.5670717,0.0
8.0,0.473236,0.480788,0.21964565,0.0,0.0,0.0,0.09158525,0.5670717,0.0
9.0,0.4562565,0.469482,0.21874024,0.0,0.0,0.0,0.09158525,0.5670717,0.0
10.0,0.504165,0.460738,0.21755255,0.0,0.0,0.0,0.07632104,0.5670717,0.0
11.0,0.487501,0.515796,0.21663514,0.0,0.0,0.0,0.07632104,0.47255975,0.0
12.0,0.470615,0.505282,0.2157012,0.0,0.0,0.0,0.07632104,0.47255975,0.0
13.0,0.4544735,0.493936,0.21477477,0.0,0.0,0.0,0.07632104,0.47255975,0.0
14.0,0.5015235,0.484632,0.21452853,0.0,0.0,0.0,0.06360087,0.47255975,0.0
15.0,0.485523,0.472966,0.21205255,0.0,0.0,0.0,0.06360087,0.47255975,0.0
16.0,0.467967,0.463496,0.21071171,0.0,0.0,0.0,0.06360087,0.47255975,0.0
17.0,0.516043,0.453372,0.21051051,0.0,0.0,0.0,0.05300072,0.47255975,0.0
18.0,0.4996035,0.503642,0.20910961,0.0,0.0,0.0,0.05300072,0.39379979,0.0
19.0,0.4823245,0.492294,0.20789189,0.0,0.0,0.0,0.05300072,0.39379979,0.0
20.0,0.4650215,0.48118,0.20621171,0.0,0.0,0.0,0.05300072,0.39379979,0.0
21.0,0.512824,0.469826,0.20456156,0.0,0.0,0.0,0.04416727,0.39379979,0.0
22.0,0.497377,0.458034,0.20328979,0.0,0.0,0.0,0.04416727,0.39379979,0.0
23.0,0.479329,0.505938,0.20301201,0.0,0.0,0.0,0.04416727,0.32816649,0.0
24.0,0.4621825,0.494562,0.20038589,0.0,0.0,0.0,0.04416727,0.32816649,0.0
25.0,0.5102695,0.48248,0.20095195,0.0,0.0,0.0,0.03680606,0.32816649,0.0
26.0,0.494187,0.471148,0.19837838,0.0,0.0,0.0,0.03680606,0.32816649,0.0
27.0,0.477022,0.459562,0.19706757,0.0,0.0,0.0,0.03680606,0.32816649,0.0
28.0,0.45991,0.503182,0.19555255,0.0,0.0,0.0,0.03680606,0.27347208,0.0
29.0,0.507718,0.493448,0.19413363,0.0,0.0,0.0,0.03067171,0.27347208,0.0
30.0,0.4909425,0.479836,0.19309309,0.0,0.0,0.0,0.03067171,0.27347208,0.0
31.0,0.473135,0.466958,0.19161862,0.0,0.0,0.0,0.03067171,0.27347208,0.0
32.0,0.456592,0.511508,0.19026426,0.0,0.0,0.0,0.03067171,0.2278934,0.0
33.0,0.5045845,0.497568,0.18898949,0.0,0.0,0.0,0.02555976,0.2278934,0.0
