i,theta,chi2_min,chi2_avg
1.0,10.0,0.8589,5.1051
2.0,9.09090909,0.7662,4.3927
3.0,8.26446281,0.7662,4.2803
4.0,7.51314801,0.7662,3.6516
5.0,6.83013455,0.7662,3.2733
6.0,6.20921323,0.7598,3.1206
7.0,5.6447393,0.7598,2.8975
8.0,5.13158118,0.7444,2.5226
9.0,4.6650738,0.7444,2.4801
10.0,4.24097618,0.7444,2.345
11.0,3.85543289,0.7444,2.2072
12.0,3.50493899,0.7351,1.9965
13.0,3.18630818,0.727,1.87
14.0,2.8966438,0.702,1.6521
15.0,2.63331254,0.702,1.632
16.0,2.39392049,0.702,1.4642
17.0,2.17629136,0.702,1.4432
18.0,1.97844669,0.702,1.4232
19.0,1.7985879,0.702,1.3469
20.0,1.63507991,0.702,1.2573
21.0,1.48643628,0.702,1.2426
22.0,1.35130571,0.6993,1.2032
23.0,1.22845974,0.6993,1.1291
24.0,1.11678158,0.6993,1.0995
25.0,1.01525598,0.6993,1.0724
26.0,0.92295998,0.6993,1.1737
27.0,0.83905453,0.6993,1.0018
28.0,0.76277684,0.6993,1.0084
29.0,0.69343349,0.6993,0.9751
30.0,0.63039409,0.6993,0.9328
31.0,0.57308553,0.6993,0.9202
32.0,0.52098685,0.6993,0.8797
33.0,0.47362441,0.6991,0.8645
34.0,0.43056764,0.6991,0.8653
35.0,0.39142513,0.6991,0.8454
36.0,0.35584103,0.6954,0.849
37.0,0.32349184,0.6952,0.8204
38.0,0.29408349,0.6902,0.8009
39.0,0.26734863,0.6781,0.8059
40.0,0.24304421,0.6781,0.7728
41.0,0.22094928,0.6781,0.7631
42.0,0.20086298,0.6781,0.779
43.0,0.18260271,0.6781,0.7799
44.0,0.16600247,0.6781,0.7579
45.0,0.15091133,0.6781,0.7549
46.0,0.13719212,0.6781,0.7558
47.0,0.12472011,0.6781,0.746
48.0,0.11338192,0.6781,0.7459
49.0,0.10307447,0.6781,0.7326
50.0,0.09370406,0.6781,0.7311
51.0,0.08518551,0.6774,0.7122
52.0,0.07744138,0.675,0.7151
53.0,0.07040125,0.675,0.7139
54.0,0.06400114,0.6718,0.7022
55.0,0.05818285,0.6718,0.709
56.0,0.0528935,0.6718,0.7141
57.0,0.048085,0.6718,0.6963
58.0,0.04371364,0.6714,0.69
59.0,0.03973967,0.6705,0.6893
60.0,0.03612697,0.6677,0.6923
61.0,0.0328427,0.6677,0.6956
62.0,0.029857,0.6677,0.6901
63.0,0.02714273,0.6677,0.6825
64.0,0.02467521,0.6677,0.6821
65.0,0.02243201,0.6677,0.682
66.0,0.02039273,0.6677,0.6811
67.0,0.01853885,0.6677,0.6828
68.0,0.0168535,0.6677,0.6836
69.0,0.01532136,0.6675,0.6763
70.0,0.01392851,0.666,0.6728
71.0,0.01266228,0.6647,0.67
72.0,0.01151117,0.6647,0.6712
73.0,0.0104647,0.6647,0.6722
74.0,0.00951336,0.6647,0.6702
75.0,0.00864851,0.6647,0.6721
76.0,0.00786228,0.6647,0.6686
77.0,0.00714753,0.6647,0.6681
78.0,0.00649775,0.6647,0.6676
79.0,0.00590705,0.6647,0.6686
80.0,0.00537004,0.6647,0.6679
81.0,0.00488186,0.6642,0.6666
82.0,0.00443805,0.6635,0.6653
83.0,0.00403459,0.6635,0.6661
84.0,0.00366781,0.6635,0.6661
85.0,0.00333438,0.6635,0.6659
86.0,0.00303125,0.6635,0.6663
87.0,0.00275568,0.6635,0.6653
88.0,0.00250517,0.6635,0.6652
89.0,0.00227742,0.663,0.6641
90.0,0.00207038,0.663,0.6645
91.0,0.00188217,0.663,0.6642
92.0,0.00171106,0.6626,0.6635
