omega,S
-15.000000000000002,0.0
-14.995000000000001,0.0
-14.990000000000002,0.0
-14.985000000000001,0.0
-14.980000000000002,0.0
-14.975000000000001,0.0
-14.970000000000002,0.0
-14.965000000000002,0.0
-14.960000000000003,0.0
-14.955000000000002,0.0
-14.950000000000001,0.0
-14.945000000000002,0.0
-14.940000000000001,0.0
-14.935000000000002,0.0
-14.930000000000001,0.0
-14.925000000000002,0.0
-14.920000000000002,0.0
-14.915000000000001,0.0
-14.910000000000002,0.0
-14.905000000000001,0.0
-14.900000000000002,0.0
-14.895000000000001,0.0
-14.890000000000002,0.0
-14.885000000000002,0.0
-14.880000000000003,0.0
-14.875000000000002,0.0
-14.870000000000001,0.0
-14.865000000000002,0.0
-14.860000000000001,0.0
-14.855000000000002,0.0
-14.850000000000001,0.0
-14.845000000000002,0.0
-14.840000000000002,0.0
-14.835000000000003,0.0
-14.830000000000002,0.0
-14.825000000000001,0.0
-14.820000000000002,0.0
-14.815000000000001,0.0
-14.810000000000002,0.0
-14.805000000000001,0.0
-14.800000000000002,0.0
-14.795000000000002,0.0
-14.790000000000001,0.0
-14.785000000000002,0.0
-14.780000000000001,0.0
-14.775000000000002,0.0
-14.770000000000001,0.0
-14.765000000000002,0.0
-14.760000000000002,0.0
-14.755000000000003,0.0
-14.750000000000002,0.0
-14.745000000000001,0.0
-14.740000000000002,0.0
-14.735000000000001,0.0
-14.730000000000002,0.0
-14.725000000000001,0.0
-14.720000000000002,0.0
-14.715000000000002,0.0
-14.710000000000003,0.0
-14.705000000000002,0.0
-14.700000000000001,0.0
-14.695000000000002,0.0
-14.690000000000001,0.0
-14.685000000000002,0.0
-14.680000000000001,0.0
-14.675000000000002,0.0
-14.670000000000002,0.0
-14.665000000000001,0.0
-14.660000000000002,0.0
-14.655000000000001,0.0
-14.650000000000002,0.0
-14.645000000000001,0.0
-14.640000000000002,0.0
-14.635000000000002,0.0
-14.630000000000003,0.0
-14.625000000000002,0.0
-14.620000000000001,0.0
-14.615000000000002,0.0
-14.610000000000001,0.0
-14.605000000000002,0.0
-14.600000000000001,0.0
-14.595000000000002,0.0
-14.590000000000002,0.0
-14.585,0.0
-14.580000000000002,0.0
-14.575000000000001,0.0
-14.570000000000002,0.0
-14.565000000000001,0.0
-14.560000000000002,0.0
-14.555000000000001,0.0
-14.550000000000002,0.0
-14.545000000000002,0.0
-14.540000000000001,0.0
-14.535000000000002,0.0
-14.530000000000001,0.0
-14.525000000000002,0.0
-14.520000000000001,0.0
-14.515000000000002,0.0
-14.510000000000002,0.0
-14.505000000000003,0.0
-14.500000000000002,0.0
-14.495000000000001,0.0
-14.490000000000002,0.0
-14.485000000000001,0.0
-14.480000000000002,0.0
-14.475000000000001,0.0
-14.470000000000002,0.0
-14.465000000000002,0.0
-14.46,0.0
-14.455000000000002,0.0
-14.450000000000001,0.0
-14.445000000000002,0.0
-14.440000000000001,0.0
-14.435000000000002,0.0
-14.430000000000001,0.0
-14.425000000000002,0.0
-14.420000000000002,0.0
-14.415000000000003,0.0
-14.410000000000002,0.0
-14.405000000000001,0.0
-14.400000000000002,0.0
-14.395000000000001,0.0
-14.390000000000002,0.0
-14.385000000000002,0.0
-14.380000000000003,0.0
-14.375000000000002,0.0
-14.370000000000001,0.0
-14.365000000000002,0.0
-14.360000000000001,0.0
-14.355000000000002,0.0
-14.350000000000001,0.0
-14.345000000000002,0.0
-14.340000000000002,0.0
-14.335,0.0
-14.330000000000002,0.0
-14.325000000000001,0.0
-14.320000000000002,0.0
-14.315000000000001,0.0
-14.310000000000002,0.0
-14.305000000000001,0.0
-14.300000000000002,0.0
-14.295000000000002,0.0
-14.290000000000003,0.0
-14.285000000000002,0.0
-14.280000000000001,0.0
-14.275000000000002,0.0
-14.270000000000001,0.0
-14.265000000000002,0.0
-14.260000000000002,0.0
-14.255000000000003,0.0
-14.250000000000002,0.0
-14.245000000000001,0.0
-14.240000000000002,0.0
-14.235000000000001,0.0
-14.230000000000002,0.0
-14.225000000000001,0.0
-14.220000000000002,0.0
-14.215000000000002,0.0
-14.21,0.0
-14.205000000000002,0.0
-14.200000000000001,0.0
-14.195000000000002,0.0
-14.190000000000001,0.0
-14.185000000000002,0.0
-14.180000000000001,0.0
-14.175000000000002,0.0
-14.170000000000002,0.0
-14.165000000000003,0.0
-14.160000000000002,0.0
-14.155000000000001,0.0
-14.150000000000002,0.0
-14.145000000000001,0.0
-14.140000000000002,0.0
-14.135000000000002,0.0
-14.130000000000003,0.0
-14.125000000000002,0.0
-14.120000000000001,0.0
-14.115000000000002,0.0
-14.110000000000001,0.0
-14.105000000000002,0.0
-14.100000000000001,0.0
-14.095000000000002,0.0
-14.090000000000002,0.0
-14.085,0.0
-14.080000000000002,0.0
-14.075000000000001,0.0
-14.070000000000002,0.0
-14.065000000000001,0.0
-14.060000000000002,0.0
-14.055000000000001,0.0
-14.050000000000002,0.0
-14.045000000000002,0.0
-14.040000000000003,0.0
-14.035000000000002,0.0
-14.030000000000001,0.0
-14.025000000000002,0.0
-14.020000000000001,0.0
-14.015000000000002,0.0
-14.010000000000002,0.0
-14.005000000000003,0.0
-14.000000000000002,0.0
-13.995000000000001,0.0
-13.990000000000002,0.0
-13.985000000000001,0.0
-13.980000000000002,0.0
-13.975000000000001,0.0
-13.970000000000002,0.0
-13.965000000000002,0.0
-13.96,0.0
-13.955000000000002,0.0
-13.950000000000001,0.0
-13.945000000000002,0.0
-13.940000000000001,0.0
-13.935000000000002,0.0
-13.930000000000001,0.0
-13.925000000000002,0.0
-13.920000000000002,0.0
-13.915000000000003,0.0
-13.910000000000002,0.0
-13.905000000000001,0.0
-13.900000000000002,0.0
-13.895000000000001,0.0
-13.890000000000002,0.0
-13.885000000000002,0.0
-13.880000000000003,0.0
-13.875000000000002,0.0
-13.870000000000001,0.0
-13.865000000000002,0.0
-13.860000000000001,0.0
-13.855000000000002,0.0
-13.850000000000001,0.0
-13.845000000000002,0.0
-13.840000000000002,0.0
-13.835,0.0
-13.830000000000002,0.0
-13.825000000000001,0.0
-13.820000000000002,0.0
-13.815000000000001,0.0
-13.810000000000002,0.0
-13.805000000000001,0.0
-13.800000000000002,0.0
-13.795000000000002,0.0
-13.790000000000003,0.0
-13.785000000000002,0.0
-13.780000000000001,0.0
-13.775000000000002,0.0
-13.770000000000001,0.0
-13.765000000000002,0.0
-13.760000000000002,0.0
-13.755000000000003,0.0
-13.750000000000002,0.0
-13.745000000000001,0.0
-13.740000000000002,0.0
-13.735000000000001,0.0
-13.730000000000002,0.0
-13.725000000000001,0.0
-13.720000000000002,0.0
-13.715000000000002,0.0
-13.71,0.0
-13.705000000000002,0.0
-13.700000000000001,0.0
-13.695000000000002,0.0
-13.690000000000001,0.0
-13.685000000000002,0.0
-13.680000000000001,0.0
-13.675000000000002,0.0
-13.670000000000002,0.0
-13.665000000000003,0.0
-13.660000000000002,0.0
-13.655000000000001,0.0
-13.650000000000002,0.0
-13.645000000000001,0.0
-13.640000000000002,0.0
-13.635000000000002,0.0
-13.630000000000003,0.0
-13.625000000000002,0.0
-13.620000000000001,0.0
-13.615000000000002,0.0
-13.610000000000001,0.0
-13.605000000000002,0.0
-13.600000000000001,0.0
-13.595000000000002,0.0
-13.590000000000002,0.0
-13.585,0.0
-13.580000000000002,0.0
-13.575000000000001,0.0
-13.570000000000002,0.0
-13.565000000000001,0.0
-13.560000000000002,0.0
-13.555000000000001,0.0
-13.550000000000002,0.0
-13.545000000000002,0.0
-13.540000000000003,0.0
-13.535000000000002,0.0
-13.530000000000001,0.0
-13.525000000000002,0.0
-13.520000000000001,0.0
-13.515000000000002,0.0
-13.510000000000002,0.0
-13.505000000000003,0.0
-13.500000000000002,0.0
-13.495000000000001,0.0
-13.490000000000002,0.0
-13.485000000000001,0.0
-13.480000000000002,0.0
-13.475000000000001,0.0
-13.470000000000002,0.0
-13.465000000000002,0.0
-13.46,0.0
-13.455000000000002,0.0
-13.450000000000001,0.0
-13.445000000000002,0.0
-13.440000000000001,0.0
-13.435000000000002,0.0
-13.430000000000001,0.0
-13.425000000000002,0.0
-13.420000000000002,0.0
-13.415000000000003,0.0
-13.410000000000002,0.0
-13.405000000000001,0.0
-13.400000000000002,0.0
-13.395000000000001,0.0
-13.390000000000002,0.0
-13.385000000000002,0.0
-13.380000000000003,0.0
-13.375000000000002,0.0
-13.370000000000001,0.0
-13.365000000000002,0.0
-13.360000000000001,0.0
-13.355000000000002,0.0
-13.350000000000001,0.0
-13.345000000000002,0.0
-13.340000000000002,0.0
-13.335,0.0
-13.330000000000002,0.0
-13.325000000000001,0.0
-13.320000000000002,0.0
-13.315000000000001,0.0
-13.310000000000002,0.0
