i,ar_1,ar_2,ar_3,ar_4,ar_5,ar_6,omega_range_1,omega_range_2,omega_range_4
1.0,0.47714,0.495352,0.12048498,0.477682,0.3967985,0.0,1.68739252,2.26041737,1.40616044
2.0,0.4723095,0.48675,0.11928529,0.472126,0.39194,0.0,1.68739252,2.26041737,1.40616044
3.0,0.466,0.478792,0.11665616,0.46348,0.386626,0.0,1.68739252,2.26041737,1.40616044
4.0,0.4608425,0.469614,0.11474474,0.524018,0.380292,0.0,1.68739252,2.26041737,1.17180036
5.0,0.453376,0.460382,0.11210961,0.515812,0.3752255,0.0,1.68739252,2.26041737,1.17180036
6.0,0.4892695,0.522986,0.10971772,0.506772,0.369492,0.0,1.40616044,1.88368114,1.17180036
7.0,0.4808125,0.509094,0.10695345,0.496486,0.3643425,0.0,1.40616044,1.88368114,1.17180036
8.0,0.4771825,0.504156,0.10715916,0.490324,0.359203,0.0,1.40616044,1.88368114,1.17180036
9.0,0.470965,0.4898,0.10307808,0.480858,0.353402,0.0,1.40616044,1.88368114,1.17180036
10.0,0.4642295,0.48074,0.10276126,0.475738,0.349156,0.0,1.40616044,1.88368114,1.17180036
11.0,0.460274,0.474476,0.10029279,0.46766,0.343268,0.0,1.40616044,1.88368114,1.17180036
12.0,0.4920185,0.465404,0.099503,0.458536,0.337209,0.0,1.17180036,1.88368114,1.17180036
13.0,0.4828995,0.521328,0.09729129,0.516922,0.334026,0.0,1.17180036,1.56973428,0.9765003
14.0,0.478182,0.51151,0.09493393,0.506354,0.3282025,0.0,1.17180036,1.56973428,0.9765003
15.0,0.4703055,0.498458,0.09228228,0.497456,0.3225565,0.0,1.17180036,1.56973428,0.9765003
16.0,0.4642295,0.490568,0.09027628,0.486174,0.3165425,0.0,1.17180036,1.56973428,0.9765003
17.0,0.458012,0.480752,0.08792492,0.479374,0.3109695,0.0,1.17180036,1.56973428,0.9765003
18.0,0.4887315,0.46748,0.08677327,0.468376,0.306958,0.0,0.9765003,1.56973428,0.9765003
19.0,0.4809375,0.455718,0.08427628,0.458724,0.299816,0.0,0.9765003,1.56973428,0.9765003
20.0,0.474616,0.512576,0.08144745,0.516436,0.2946955,0.0,0.9765003,1.3081119,0.81375025
21.0,0.468023,0.502734,0.08104655,0.50694,0.289711,0.0,0.9765003,1.3081119,0.81375025
22.0,0.4603865,0.489732,0.07970721,0.496458,0.284604,0.0,0.9765003,1.3081119,0.81375025
23.0,0.490835,0.478902,0.07731832,0.484894,0.278342,0.0,0.81375025,1.3081119,0.81375025
24.0,0.4810525,0.466432,0.0765015,0.47412,0.273674,0.0,0.81375025,1.3081119,0.81375025
25.0,0.4742245,0.52129,0.07393393,0.466312,0.268877,0.0,0.81375025,1.09009325,0.81375025
26.0,0.467535,0.508958,0.07197598,0.518678,0.262859,0.0,0.81375025,1.09009325,0.67812521
27.0,0.4590725,0.495766,0.06996246,0.505092,0.256701,0.0,0.81375025,1.09009325,0.67812521
28.0,0.485181,0.479758,0.06706156,0.495934,0.2523295,0.0,0.67812521,1.09009325,0.67812521
29.0,0.4807185,0.471088,0.06576877,0.484974,0.2459255,0.0,0.67812521,1.09009325,0.67812521
30.0,0.4729985,0.52412,0.0643003,0.475246,0.2410925,0.0,0.67812521,0.90841104,0.67812521
31.0,0.462138,0.50556,0.06145495,0.459066,0.235287,0.0,0.67812521,0.90841104,0.67812521
32.0,0.456757,0.49521,0.05919069,0.512106,0.229908,0.0,0.67812521,0.90841104,0.56510434
33.0,0.4837045,0.480808,0.05765315,0.49972,0.2246755,0.0,0.56510434,0.90841104,0.56510434
34.0,0.474857,0.467208,0.05679279,0.489282,0.2188375,0.0,0.56510434,0.90841104,0.56510434
35.0,0.468273,0.519664,0.05470721,0.477932,0.2142835,0.0,0.56510434,0.7570092,0.56510434
36.0,0.4583855,0.504072,0.05261562,0.467692,0.210012,0.0,0.56510434,0.7570092,0.56510434
37.0,0.486603,0.492114,0.05280631,0.456946,0.2053875,0.0,0.47092028,0.7570092,0.56510434
38.0,0.477432,0.477464,0.0504985,0.507336,0.200659,0.0,0.47092028,0.7570092,0.47092028
39.0,0.4675275,0.462158,0.04858258,0.4951,0.1953965,0.0,0.47092028,0.7570092,0.47092028
40.0,0.4577505,0.51061,0.0474985,0.481788,0.1912455,0.0,0.47092028,0.630841,0.47092028
41.0,0.4847865,0.492462,0.04515916,0.466084,0.185797,0.0,0.39243357,0.630841,0.47092028
42.0,0.475818,0.478656,0.04334384,0.515264,0.179859,0.0,0.39243357,0.630841,0.39243357
43.0,0.4700885,0.46812,0.04233333,0.507398,0.1759635,0.0,0.39243357,0.630841,0.39243357
44.0,0.4581775,0.514166,0.04188739,0.494298,0.171876,0.0,0.39243357,0.52570084,0.39243357
45.0,0.4851625,0.498506,0.04047147,0.48199,0.1681195,0.0,0.32702798,0.52570084,0.39243357
