i,theta,chi2_min,chi2_avg
1.0,10.0,41.1831,73.2
2.0,9.09090909,33.118,64.2117
3.0,8.26446281,32.9441,56.8065
4.0,7.51314801,28.8487,49.69
5.0,6.83013455,24.8074,43.8296
6.0,6.20921323,20.6532,38.7226
7.0,5.6447393,16.3139,33.7848
8.0,5.13158118,15.0721,29.4474
9.0,4.6650738,13.2798,26.0453
10.0,4.24097618,11.6209,22.6097
11.0,3.85543289,10.2675,20.0588
12.0,3.50493899,8.8193,17.6312
13.0,3.18630818,7.8521,15.3737
14.0,2.8966438,6.5767,13.4983
15.0,2.63331254,6.0994,12.0161
16.0,2.39392049,5.4133,10.6157
17.0,2.17629136,4.4045,9.4899
18.0,1.97844669,4.4045,8.1896
19.0,1.7985879,3.9055,7.3771
20.0,1.63507991,3.3264,6.6537
21.0,1.48643628,3.0485,5.9023
22.0,1.35130571,2.6242,5.2764
23.0,1.22845974,2.5356,4.7714
24.0,1.11678158,2.2979,4.2155
25.0,1.01525598,2.1347,3.7487
26.0,0.92295998,1.9685,3.5492
27.0,0.83905453,1.7424,3.2632
28.0,0.76277684,1.6062,2.8322
29.0,0.69343349,1.5762,2.6963
30.0,0.63039409,1.4909,2.4683
31.0,0.57308553,1.335,2.222
32.0,0.52098685,1.299,2.153
33.0,0.47362441,1.299,1.9943
34.0,0.43056764,1.2096,1.8903
35.0,0.39142513,1.1813,1.733
36.0,0.35584103,1.1087,1.6211
37.0,0.32349184,1.106,1.5636
38.0,0.29408349,1.0795,1.45
39.0,0.26734863,0.9937,1.3936
40.0,0.24304421,0.9937,1.3138
41.0,0.22094928,0.9474,1.2665
42.0,0.20086298,0.9474,1.2569
43.0,0.18260271,0.9474,1.2184
44.0,0.16600247,0.941,1.1416
45.0,0.15091133,0.894,1.1008
46.0,0.13719212,0.894,1.1055
47.0,0.12472011,0.894,1.0593
48.0,0.11338192,0.8859,1.0243
49.0,0.10307447,0.8423,0.9924
50.0,0.09370406,0.8423,0.9791
51.0,0.08518551,0.8423,0.9598
52.0,0.07744138,0.8109,0.9153
53.0,0.07040125,0.8098,0.9002
54.0,0.06400114,0.8098,0.8822
55.0,0.05818285,0.7756,0.8611
56.0,0.0528935,0.7756,0.8472
57.0,0.048085,0.7648,0.8414
58.0,0.04371364,0.7648,0.8276
59.0,0.03973967,0.7622,0.8129
60.0,0.03612697,0.7602,0.8013
61.0,0.0328427,0.7388,0.7898
62.0,0.029857,0.7388,0.78
63.0,0.02714273,0.7282,0.7645
64.0,0.02467521,0.7121,0.7587
65.0,0.02243201,0.7121,0.7632
66.0,0.02039273,0.7121,0.7572
67.0,0.01853885,0.7121,0.7442
68.0,0.0168535,0.7121,0.7394
69.0,0.01532136,0.7121,0.7357
70.0,0.01392851,0.7058,0.7258
71.0,0.01266228,0.7031,0.7195
72.0,0.01151117,0.7018,0.7203
73.0,0.0104647,0.6982,0.7137
74.0,0.00951336,0.6938,0.7099
75.0,0.00864851,0.6912,0.7021
76.0,0.00786228,0.6882,0.701
77.0,0.00714753,0.685,0.6966
78.0,0.00649775,0.685,0.6957
79.0,0.00590705,0.6817,0.6903
80.0,0.00537004,0.68,0.6868
81.0,0.00488186,0.679,0.6855
82.0,0.00443805,0.6786,0.6836
83.0,0.00403459,0.6719,0.6801
84.0,0.00366781,0.6702,0.6754
85.0,0.00333438,0.6698,0.6743
86.0,0.00303125,0.6681,0.6727
87.0,0.00275568,0.6677,0.6711
88.0,0.00250517,0.6642,0.6682
89.0,0.00227742,0.6642,0.6687
90.0,0.00207038,0.6617,0.6648
91.0,0.00188217,0.6605,0.6635
92.0,0.00171106,0.6586,0.6616
93.0,0.00155551,0.6573,0.6595
94.0,0.0014141,0.6549,0.6576
95.0,0.00128555,0.6549,0.6569
96.0,0.00116868,0.6529,0.6545
97.0,0.00106243,0.6511,0.6531
98.0,0.00096585,0.6503,0.6523
99.0,0.00087805,0.6498,0.6514
100.0,0.00079822,0.6484,0.6496
101.0,0.00072566,0.6469,0.648
102.0,0.00065969,0.6455,0.6467
103.0,0.00059972,0.6453,0.6461
