omega,S
-15.000000000000002,0.0
-14.995000000000001,0.0
-14.990000000000002,0.0
-14.985000000000001,0.0
-14.980000000000002,0.0
-14.975000000000001,3.9780411665715205e-9
-14.970000000000002,1.904226609496164e-8
-14.965000000000002,2.3695837775877952e-9
-14.960000000000003,0.0
-14.955000000000002,0.0
-14.950000000000001,0.0
-14.945000000000002,3.887918563141811e-9
-14.940000000000001,1.9599292774741924e-8
-14.935000000000002,0.0
-14.930000000000001,1.1847918887938976e-9
-14.925000000000002,0.0
-14.920000000000002,3.9780411665715205e-9
-14.915000000000001,1.0439031744317548e-8
-14.910000000000002,5.204217733621167e-9
-14.905000000000001,3.9780411665715205e-9
-14.900000000000002,0.0
-14.895000000000001,0.0
-14.890000000000002,0.0
-14.885000000000002,5.162833055365418e-9
-14.880000000000003,0.0
-14.875000000000002,2.3647814967016142e-9
-14.870000000000001,0.0
-14.865000000000002,1.1460680441870445e-8
-14.860000000000001,0.0
-14.855000000000002,3.708128701784984e-8
-14.850000000000001,3.887918563141811e-9
-14.845000000000002,3.374987868912522e-10
-14.840000000000002,5.914354882197127e-9
-14.835000000000003,0.0
-14.830000000000002,0.0
-14.825000000000001,0.0
-14.820000000000002,0.0
-14.815000000000001,0.0
-14.810000000000002,1.1847918887938976e-9
-14.805000000000001,0.0
-14.800000000000002,5.751266132242456e-9
-14.795000000000002,5.219515872158775e-9
-14.790000000000001,0.0
-14.785000000000002,0.0
-14.780000000000001,1.6874939344562615e-9
-14.775000000000002,0.0
-14.770000000000001,5.751266132242456e-9
-14.765000000000002,2.095952275929997e-8
-14.760000000000002,1.0267196130919958e-8
-14.755000000000003,1.1847918887938974e-9
-14.750000000000002,5.204217733621168e-9
-14.745000000000001,5.751266132242456e-9
-14.740000000000002,0.0
-14.735000000000001,0.0
-14.730000000000002,0.0
-14.725000000000001,0.0
-14.720000000000002,3.38991564741261e-9
-14.715000000000002,2.55879915837031e-9
-14.710000000000003,2.0884526314962467e-8
-14.705000000000002,0.0
-14.700000000000001,5.219515872158773e-9
-14.695000000000002,3.374987868912523e-10
-14.690000000000001,1.0408435467242334e-8
-14.685000000000002,0.0
-14.680000000000001,0.0
-14.675000000000002,0.0
-14.670000000000002,0.0
-14.665000000000001,0.0
-14.660000000000002,0.0
-14.655000000000001,0.0
-14.650000000000002,0.0
-14.645000000000001,4.729562993403229e-9
-14.640000000000002,6.77983129482522e-9
-14.635000000000002,0.0
-14.630000000000003,0.0
-14.625000000000002,0.0
-14.620000000000001,0.0
-14.615000000000002,1.317515512398855e-8
-14.610000000000001,1.2761963248677676e-9
-14.605000000000002,8.769432259226418e-9
-14.600000000000001,1.0251897992382352e-8
-14.595000000000002,0.0
-14.590000000000002,0.0
-14.585,6.485331641777645e-9
-14.580000000000002,7.568999230322781e-9
-14.575000000000001,1.0927074423653821e-10
-14.570000000000002,0.0
-14.565000000000001,9.890545427727865e-9
-14.560000000000002,1.0927074423653821e-10
-14.555000000000001,3.278122327096146e-10
-14.550000000000002,0.0
-14.545000000000002,6.798754116786566e-9
-14.540000000000001,1.1449557825037776e-8
-14.535000000000002,0.0
-14.530000000000001,9.141181779655067e-9
-14.525000000000002,5.204217733621166e-9
-14.520000000000001,1.0927074423653821e-10
-14.515000000000002,0.0
-14.510000000000002,8.03958965554134e-9
-14.505000000000003,0.0
-14.500000000000002,6.230330834157912e-9
-14.495000000000001,7.568999230322781e-9
-14.490000000000002,0.0
-14.485000000000001,0.0
-14.480000000000002,1.0927074423653823e-10
-14.475000000000001,2.29813354071314e-8
-14.470000000000002,1.0927074423653823e-10
-14.465000000000002,1.2178268318585581e-8
-14.46,0.0
-14.455000000000002,9.047559458090604e-9
-14.450000000000001,0.0
-14.445000000000002,1.9937857058748392e-8
-14.440000000000001,1.4426233891233242e-8
-14.435000000000002,1.2811139081564787e-9
-14.430000000000001,0.0
-14.425000000000002,0.0
-14.420000000000002,5.2151701193605265e-9
-14.415000000000003,0.0
-14.410000000000002,3.178685076069295e-9
-14.405000000000001,3.178685076069295e-9
-14.400000000000002,4.559449236279196e-8
-14.395000000000001,2.5243240888559115e-8
-14.390000000000002,5.59586990317563e-10
-14.385000000000002,4.775766395264686e-8
-14.380000000000003,6.958752446426809e-9
-14.375000000000002,2.8389953218875113e-8
-14.370000000000001,6.514916098862641e-9
-14.365000000000002,1.3589419188042846e-8
-14.360000000000001,0.0
-14.355000000000002,2.9051337185810977e-9
-14.350000000000001,1.881100153071042e-8
-14.345000000000002,3.6349957883390884e-9
-14.340000000000002,5.751266132242458e-9
-14.335,2.533512533882018e-8
-14.330000000000002,0.0
-14.325000000000001,7.121718835554577e-9
-14.320000000000002,9.241017276546278e-9
-14.315000000000001,2.3013513360265973e-8
-14.310000000000002,2.6791243092954904e-8
-14.305000000000001,3.181450835199895e-8
-14.300000000000002,3.9384862942348904e-8
-14.295000000000002,6.865143233403616e-9
-14.290000000000003,8.752113542877821e-9
-14.285000000000002,8.348925822246432e-9
-14.280000000000001,7.218819730363024e-9
-14.275000000000002,1.1502532264484913e-8
-14.270000000000001,8.77526592887355e-9
-14.265000000000002,2.51593867479403e-8
-14.260000000000002,1.4319723638030495e-8
-14.255000000000003,0.0
-14.250000000000002,6.963422682672802e-9
-14.245000000000001,2.686584908283668e-8
-14.240000000000002,4.310312325595064e-8
-14.235000000000001,3.344263198820785e-8
-14.230000000000002,1.8959984650447066e-8
-14.225000000000001,4.851424406710004e-9
-14.220000000000002,3.043643332567192e-8
-14.215000000000002,2.634081536837179e-8
-14.21,1.019139811488214e-8
-14.205000000000002,2.9857329999693566e-8
-14.200000000000001,0.0
-14.195000000000002,2.2853496040335794e-8
-14.190000000000001,4.419769332123593e-8
-14.185000000000002,1.1779775197570673e-8
-14.180000000000001,2.00926180038491e-8
-14.175000000000002,1.0496708831060713e-8
-14.170000000000002,4.560982722620773e-8
-14.165000000000003,1.0546159190701565e-8
-14.160000000000002,1.290605785161375e-8
-14.155000000000001,2.905115511073955e-8
-14.150000000000002,5.699295527903659e-9
-14.145000000000001,1.4700921794072216e-8
-14.140000000000002,2.7560507357402243e-8
-14.135000000000002,2.359316466753532e-8
-14.130000000000003,2.5629099168582968e-8
-14.125000000000002,2.239620552975555e-8
-14.120000000000001,5.044313213122979e-8
-14.115000000000002,1.9787888841009506e-8
-14.110000000000001,3.3593799155095116e-8
-14.105000000000002,1.9897114926736166e-8
-14.100000000000001,2.741833576532974e-8
-14.095000000000002,2.5797050367531353e-8
-14.090000000000002,1.8988929740683437e-8
-14.085,2.2223706391047127e-8
-14.080000000000002,3.475502690673995e-8
-14.075000000000001,1.8102753216764844e-8
-14.070000000000002,8.487983766056855e-9
-14.065000000000001,1.7615506970626457e-10
-14.060000000000002,2.255553244070812e-8
-14.055000000000001,2.193167858192459e-8
-14.050000000000002,3.6262531328196916e-8
-14.045000000000002,1.0654469294118254e-8
-14.040000000000003,2.858404134660505e-8
-14.035000000000002,2.8480882347156964e-8
-14.030000000000001,1.3204699617037955e-8
-14.025000000000002,8.361367410817876e-9
-14.020000000000001,5.612066953708952e-8
-14.015000000000002,6.886192698537041e-9
-14.010000000000002,3.717289078021028e-8
-14.005000000000003,6.05781310994766e-8
-14.000000000000002,3.137719707058071e-8
-13.995000000000001,2.1719303533574695e-8
-13.990000000000002,2.579034309611611e-8
-13.985000000000001,1.2519140205098522e-8
-13.980000000000002,3.1777586053906304e-8
-13.975000000000001,2.2320585757484143e-8
-13.970000000000002,6.021262201766436e-8
-13.965000000000002,1.1347977100500417e-8
-13.96,6.444618090447298e-8
-13.955000000000002,4.9164238029453485e-8
-13.950000000000001,2.7541806829987713e-8
-13.945000000000002,2.8396215059609948e-8
-13.940000000000001,1.8924655111432268e-8
-13.935000000000002,3.238150292472226e-8
-13.930000000000001,1.2295474849263866e-8
-13.925000000000002,3.813084394261388e-8
-13.920000000000002,8.627006201557826e-9
-13.915000000000003,0.0
-13.910000000000002,2.2388904103170785e-8
-13.905000000000001,5.703236359153693e-9
-13.900000000000002,2.0001413928794474e-8
-13.895000000000001,3.54831755897108e-8
-13.890000000000002,3.09527161376514e-9
-13.885000000000002,1.0844923343259725e-8
-13.880000000000003,1.2462224491611009e-8
-13.875000000000002,2.75889496019465e-8
-13.870000000000001,6.028255625820554e-8
-13.865000000000002,2.0792984871420704e-8
-13.860000000000001,3.2357645414825956e-8
-13.855000000000002,7.958120543634081e-9
-13.850000000000001,6.850817263893642e-8
-13.845000000000002,2.0405145856517082e-8
-13.840000000000002,5.2185919411934104e-8
-13.835,1.4333149983132156e-8
-13.830000000000002,1.5544688305550934e-8
-13.825000000000001,3.4629208607069994e-8
-13.820000000000002,1.6003023434525158e-8
