i,ar_1,ar_2,ar_3,ar_4,ar_5,ar_6,omega_range_1,omega_range_2,omega_range_4
1.0,0.500296,0.484776,0.87740541,0.0,0.0,0.0,0.06503327,0.67111482,0.0
2.0,0.484238,0.479928,0.87140541,0.0,0.0,0.0,0.06503327,0.67111482,0.0
3.0,0.466462,0.46848,0.87196997,0.0,0.0,0.0,0.06503327,0.67111482,0.0
4.0,0.51497,0.46592,0.87045646,0.0,0.0,0.0,0.0541944,0.67111482,0.0
5.0,0.50008,0.54608,0.86884685,0.0,0.0,0.0,0.0541944,0.55926235,0.0
6.0,0.481866,0.53136,0.863003,0.0,0.0,0.0,0.0541944,0.55926235,0.0
7.0,0.462726,0.525928,0.86512312,0.0,0.0,0.0,0.0541944,0.55926235,0.0
8.0,0.512702,0.51668,0.86359159,0.0,0.0,0.0,0.045162,0.55926235,0.0
9.0,0.496134,0.508096,0.85938739,0.0,0.0,0.0,0.045162,0.55926235,0.0
10.0,0.4797,0.497984,0.85315315,0.0,0.0,0.0,0.045162,0.55926235,0.0
11.0,0.46109,0.492832,0.85622823,0.0,0.0,0.0,0.045162,0.55926235,0.0
12.0,0.511336,0.479664,0.85336336,0.0,0.0,0.0,0.037635,0.55926235,0.0
13.0,0.493786,0.469536,0.84814414,0.0,0.0,0.0,0.037635,0.55926235,0.0
14.0,0.47779,0.460456,0.84884685,0.0,0.0,0.0,0.037635,0.55926235,0.0
15.0,0.4589,0.536752,0.84775976,0.0,0.0,0.0,0.037635,0.46605196,0.0
16.0,0.507828,0.527128,0.84402402,0.0,0.0,0.0,0.0313625,0.46605196,0.0
17.0,0.491006,0.51584,0.83810811,0.0,0.0,0.0,0.0313625,0.46605196,0.0
18.0,0.474184,0.505344,0.83957357,0.0,0.0,0.0,0.0313625,0.46605196,0.0
19.0,0.45783,0.48928,0.83334535,0.0,0.0,0.0,0.0313625,0.46605196,0.0
20.0,0.504826,0.48024,0.83122523,0.0,0.0,0.0,0.02613541,0.46605196,0.0
21.0,0.488778,0.470072,0.83224625,0.0,0.0,0.0,0.02613541,0.46605196,0.0
