i,theta,chi2_min,chi2_avg
1.0,10.0,6.3971,15.6908
2.0,9.09090909,6.3971,13.9129
3.0,8.26446281,3.6589,10.1997
4.0,7.51314801,3.6589,11.3935
5.0,6.83013455,3.6589,9.8582
6.0,6.20921323,3.3181,8.5634
7.0,5.6447393,3.2055,7.3789
8.0,5.13158118,3.2055,7.3553
9.0,4.6650738,2.7251,6.8906
10.0,4.24097618,2.7251,6.2564
11.0,3.85543289,2.313,5.1725
12.0,3.50493899,2.2779,4.5849
13.0,3.18630818,2.1873,4.2061
14.0,2.8966438,1.9626,3.9761
15.0,2.63331254,1.8236,3.5654
16.0,2.39392049,1.8236,3.5886
17.0,2.17629136,1.3671,2.9877
18.0,1.97844669,1.3671,3.0593
19.0,1.7985879,1.3671,2.6003
20.0,1.63507991,1.1992,2.2793
21.0,1.48643628,1.1992,2.4295
22.0,1.35130571,1.1245,2.094
23.0,1.22845974,1.1245,2.2379
24.0,1.11678158,1.1219,1.8489
25.0,1.01525598,1.1108,2.2463
26.0,0.92295998,1.1108,1.6585
27.0,0.83905453,1.0442,1.616
28.0,0.76277684,1.0265,1.5302
29.0,0.69343349,0.9665,1.4194
30.0,0.63039409,0.887,1.2864
31.0,0.57308553,0.7973,1.2598
32.0,0.52098685,0.7973,1.1873
33.0,0.47362441,0.7973,1.265
34.0,0.43056764,0.7973,1.099
35.0,0.39142513,0.7764,1.0544
36.0,0.35584103,0.7479,0.97
37.0,0.32349184,0.7386,0.9846
38.0,0.29408349,0.7339,0.9936
39.0,0.26734863,0.7339,0.9081
40.0,0.24304421,0.7134,0.8556
41.0,0.22094928,0.7079,0.8491
42.0,0.20086298,0.6988,0.8623
43.0,0.18260271,0.6988,0.8525
44.0,0.16600247,0.6988,0.8046
45.0,0.15091133,0.6856,0.7685
46.0,0.13719212,0.6856,0.7597
47.0,0.12472011,0.6805,0.7509
48.0,0.11338192,0.6805,0.7348
49.0,0.10307447,0.6805,0.7431
50.0,0.09370406,0.6805,0.7454
51.0,0.08518551,0.6805,0.7261
52.0,0.07744138,0.6805,0.7235
53.0,0.07040125,0.6805,0.7172
54.0,0.06400114,0.6792,0.7054
55.0,0.05818285,0.6789,0.7104
56.0,0.0528935,0.6738,0.7053
57.0,0.048085,0.6738,0.7031
58.0,0.04371364,0.6738,0.6974
59.0,0.03973967,0.6738,0.6974
60.0,0.03612697,0.6738,0.6891
61.0,0.0328427,0.6738,0.6859
62.0,0.029857,0.6738,0.6884
63.0,0.02714273,0.6738,0.6876
64.0,0.02467521,0.6738,0.6844
65.0,0.02243201,0.6738,0.6853
66.0,0.02039273,0.6738,0.6824
67.0,0.01853885,0.6738,0.6823
68.0,0.0168535,0.6738,0.6823
69.0,0.01532136,0.6738,0.6793
70.0,0.01392851,0.6724,0.6776
71.0,0.01266228,0.6724,0.677
72.0,0.01151117,0.6724,0.6783
73.0,0.0104647,0.6724,0.6777
74.0,0.00951336,0.6724,0.6763
75.0,0.00864851,0.6724,0.6764
76.0,0.00786228,0.6724,0.6767
77.0,0.00714753,0.6724,0.6755
78.0,0.00649775,0.6724,0.6754
79.0,0.00590705,0.6723,0.6741
80.0,0.00537004,0.6716,0.6737
81.0,0.00488186,0.6714,0.673
82.0,0.00443805,0.6714,0.6729
83.0,0.00403459,0.6709,0.6724
84.0,0.00366781,0.6705,0.6719
85.0,0.00333438,0.6701,0.6712
86.0,0.00303125,0.669,0.6701
87.0,0.00275568,0.6688,0.67
88.0,0.00250517,0.6686,0.6696
