i,ar_1,ar_2,ar_3,ar_4,ar_5,ar_6,omega_range_1,omega_range_2,omega_range_4
1.0,0.5300979999999997,0.5000159999999999,0.36723723723723734,0.0,0.0,0.0,1.1578220469488945,2.8810317558638725,0.0011306855927235297
2.0,0.5214,0.481328,0.3599759759759757,0.0,0.0,0.0,1.1578220469488945,2.8810317558638725,1.104185149144072e-6
3.0,0.5098140000000001,0.460728,0.3502102102102103,0.0,0.0,0.0,1.1578220469488945,2.8810317558638725,1.0783058097110078e-9
4.0,0.4923080000000001,0.48595199999999944,0.34365165165165146,0.0,0.0,0.0,1.1578220469488945,2.4008597965532275,1.053033017295906e-12
5.0,0.4773360000000002,0.462144,0.33193993993993987,0.0,0.0,0.0,1.1578220469488945,2.4008597965532275,1.0283525559530333e-15
6.0,0.4583860000000001,0.46581599999999973,0.31769969969969936,0.0,0.0,0.0,1.1578220469488945,2.0007164971276894,1.004250542922884e-18
7.0,0.4809059999999999,0.47190399999999966,0.3062642642642645,0.0,0.0,0.0,0.9648517057907454,1.667263747606408,9.80713420823129e-22
8.0,0.49215600000000026,0.4762239999999999,0.2918798798798797,0.0,0.0,0.0,0.8040430881589545,1.3893864563386735,9.577279500225869e-25
9.0,0.48369400000000035,0.4744799999999998,0.2775795795795795,0.0,0.0,0.0,0.6700359067991287,1.1578220469488945,9.352812011939325e-28
10.0,0.46030599999999994,0.4718639999999998,0.2583543543543545,0.0,0.0,0.0,0.4653027130549505,0.8040430881589545,9.133605480409497e-31
1.0,0.46075099999999997,0.4754159999999996,0.25852252252252245,0.0,0.0,0.0,0.4653027130549505,0.8040430881589545,8.9195366019624e-34
2.0,0.5050099999999997,0.464807999999999,0.259003003003003,0.0,0.0,0.0,0.3877522608791255,0.8040430881589545,8.710484962853906e-37
3.0,0.49549000000000015,0.5292840000000008,0.2561561561561562,0.0,0.0,0.0,0.3877522608791255,0.6700359067991287,8.506332971537017e-40
4.0,0.4833780000000003,0.5222400000000004,0.253726726726727,0.0,0.0,0.0,0.3877522608791255,0.6700359067991287,8.306965792516619e-43
5.0,0.47237500000000004,0.5083840000000002,0.25329429429429434,0.0,0.0,0.0,0.3877522608791255,0.6700359067991287,8.11227128175451e-46
6.0,0.46220899999999954,0.4946719999999997,0.25122222222222235,0.0,0.0,0.0,0.3877522608791255,0.6700359067991287,7.922139923588389e-49
7.0,0.506561,0.48463600000000007,0.25190390390390377,0.0,0.0,0.0,0.3231268840659379,0.6700359067991287,7.736464769129286e-52
8.0,0.4941630000000004,0.47289599999999954,0.24989189189189173,0.0,0.0,0.0,0.3231268840659379,0.6700359067991287,7.555141376102818e-55
9.0,0.482757,0.4597639999999991,0.24818918918918934,0.0,0.0,0.0,0.3231268840659379,0.6700359067991287,7.378067750100409e-58
10.0,0.4712830000000003,0.5279880000000005,0.2486636636636635,0.0,0.0,0.0,0.3231268840659379,0.5583632556659407,7.20514428720743e-61
11.0,0.45949400000000024,0.5145760000000005,0.24695195195195185,0.0,0.0,0.0,0.3231268840659379,0.5583632556659407,7.036273717976006e-64
12.0,0.5031950000000001,0.5042840000000004,0.24657957957957946,0.0,0.0,0.0,0.26927240338828157,0.5583632556659407,6.871361052710944e-67
13.0,0.4900200000000003,0.49157599999999985,0.24466066066066053,0.0,0.0,0.0,0.26927240338828157,0.5583632556659407,6.710313528038031e-70
14.0,0.4783920000000002,0.47933999999999954,0.24293693693693705,0.0,0.0,0.0,0.26927240338828157,0.5583632556659407,6.55304055472464e-73
15.0,0.46588399999999996,0.4686599999999994,0.24205105105105112,0.0,0.0,0.0,0.26927240338828157,0.5583632556659407,6.399453666723281e-76
16.0,0.45469699999999963,0.5356080000000008,0.24144444444444435,0.0,0.0,0.0,0.26927240338828157,0.4653027130549505,6.249466471409454e-79
17.0,0.49636600000000075,0.5227280000000004,0.24013813813813797,0.0,0.0,0.0,0.22439366949023465,0.4653027130549505,6.102994600985795e-82
18.0,0.4838230000000005,0.5110360000000008,0.23933633633633666,0.0,0.0,0.0,0.22439366949023465,0.4653027130549505,5.95995566502519e-85
19.0,0.47049300000000027,0.4970399999999998,0.2381771771771773,0.0,0.0,0.0,0.22439366949023465,0.4653027130549505,5.820269204126162e-88
20.0,0.4581620000000001,0.4879679999999999,0.23723723723723736,0.0,0.0,0.0,0.22439366949023465,0.4653027130549505,5.683856644654455e-91
21.0,0.5004839999999998,0.4731279999999993,0.23599399399399373,0.0,0.0,0.0,0.18699472457519556,0.4653027130549505,5.550641254545367e-94
22.0,0.48822600000000005,0.46356399999999953,0.23537537537537503,0.0,0.0,0.0,0.18699472457519556,0.4653027130549505,5.42054810014196e-97
