i,theta,chi2_min,chi2_avg
1.0,1000.0,6229.041817742658,7950.29538942058
2.0,810.0,5126.31030293922,6507.449775867517
3.0,640.0,4016.5451630570174,5267.2744032774135
4.0,490.0,3067.496622457092,3991.891388233231
5.0,360.0,2175.0857998807664,3047.5574984354007
6.0,250.0,1498.1027110549755,2112.0542278909834
7.0,160.0,1005.8666477530716,1350.7477035791317
8.0,90.0,561.3729571639864,736.5121882638408
9.0,40.0,227.06019946871228,291.7802314979063
10.0,10.0,49.1112336007938,65.62476495998965
1.0,10.0,43.494437284869726,65.67806193364062
2.0,9.09090909090909,42.54637110365067,59.03796131755808
3.0,8.264462809917354,38.595043226200225,54.121849666373784
4.0,7.513148009015776,35.22378033784644,49.225899347774714
5.0,6.830134553650705,32.395884727381166,44.5289108054691
6.0,6.2092132305915495,30.39692743366362,40.61849060982755
7.0,5.644739300537772,25.54504869270634,36.60572899478516
8.0,5.131581182307065,23.212471993507627,33.60136516415045
9.0,4.665073802097331,22.526345718909255,30.55410250439626
10.0,4.240976183724846,20.783768289099406,27.989093492727417
11.0,3.855432894295314,18.962392688848375,25.387642545453964
12.0,3.5049389948139216,17.492714588465965,23.228746384986906
13.0,3.1863081771035646,14.852903527535014,20.96151682546182
14.0,2.8966437973668766,14.337376131327616,19.333019210297795
15.0,2.633312543060797,11.407745561115053,17.960279445234924
16.0,2.3939204936916334,11.407745561115053,16.230070604399796
17.0,2.176291357901485,11.268992894898922,14.882137105017495
18.0,1.9784466890013497,10.149698841216448,13.460291958910815
19.0,1.798587899092136,9.610011416973576,12.491684640792508
20.0,1.635079908265578,8.298032469056267,11.690203167811847
21.0,1.4864362802414344,7.871516845941179,10.74222570632943
22.0,1.3513057093103948,7.483981577284829,9.701239086932155
23.0,1.2284597357367224,6.844448223131003,9.101973304387522
24.0,1.1167815779424748,6.00649348964736,8.042786163635345
25.0,1.0152559799477043,5.806318311866248,7.642727349667925
26.0,0.9229599817706402,5.495382256043141,7.118001078834377
27.0,0.8390545288824001,4.95734607200939,6.365382097523833
28.0,0.7627768444385454,4.740790401062477,6.0182478049332095
29.0,0.6934334949441322,4.4816887918773745,5.585485201517241
30.0,0.6303940863128474,3.8541052760160297,4.960285455002385
31.0,0.5730855330116794,3.525439369900907,4.673189156271362
32.0,0.5209868481924358,3.438917450186602,4.252884188137744
33.0,0.47362440744766887,3.198332418225409,3.9099148154127725
34.0,0.4305676431342444,2.9759031860840426,3.6944196074732356
35.0,0.39142513012204033,2.7475270049919733,3.368133763325724
36.0,0.355841027383673,2.4699176383849393,3.120174006305889
37.0,0.3234918430760664,2.3153670347616235,2.839574231089149
38.0,0.29408349370551484,2.2869361434180533,2.678610711126123
39.0,0.2673486306413771,2.0403372562786513,2.5310139851305133
40.0,0.24304420967397916,2.0403372562786513,2.3723364596526397
41.0,0.2209492815217992,1.7703785951076105,2.161131090948397
42.0,0.20086298320163562,1.7405571549442647,2.091307910116329
43.0,0.18260271200148692,1.6179477520726906,1.9190814992305436
44.0,0.1660024654558972,1.550531535406801,1.7730235345145189
45.0,0.1509113322326338,1.4241092529423502,1.7060173064283355
46.0,0.13719212021148527,1.377398316188794,1.634483077515492
47.0,0.12472010928316841,1.327674143176828,1.5041193655542138
48.0,0.1133819175301531,1.1998468875505248,1.422644833934693
49.0,0.10307447048195735,1.1998468875505248,1.3514002164572467
50.0,0.09370406407450667,1.1093918651705748,1.2690710308625288
51.0,0.08518551279500605,1.0817079986624107,1.2220561412477724
52.0,0.07744137526818731,1.063445715281334,1.1828970052784733
53.0,0.07040125024380664,1.0162801683503655,1.1131107246434524
54.0,0.06400113658527876,0.9309732940286908,1.0709253114801798
55.0,0.0581828514411625,0.9309732940286908,1.046510478847337
56.0,0.05289350131014772,0.9183771816799426,0.9877861793147887
57.0,0.04808500119104338,0.8825894091474271,0.9530804839632974
58.0,0.04371363744640307,0.8495050944798277,0.9295315582571562
59.0,0.039739670405820965,0.8298727717560326,0.884433260674487
60.0,0.03612697309620087,0.8060191910893212,0.867868478013972
61.0,0.032842702814728064,0.774049131032335,0.8307412586917116
62.0,0.02985700255884369,0.7614808693239938,0.7964025800552675
63.0,0.027142729598948808,0.7493866330157819,0.784320565848284
64.0,0.024675208726317097,0.7366687742861288,0.7636537388221317
65.0,0.02243200793301554,0.7251260813032959,0.7546480048330395
66.0,0.02039273448455958,0.7157483825155774,0.753862599406845
67.0,0.018538849531417798,0.7055931430614688,0.7265577418933159
68.0,0.01685349957401618,0.7025861127723678,0.7206107283211312
69.0,0.015321363249105616,0.7025861127723678,0.7168119574064141
70.0,0.013928512044641468,0.6868074620154351,0.6979343218683945
71.0,0.012662283676946788,0.6825178033054792,0.6995708821475219
72.0,0.011511166979042534,0.6825178033054792,0.6973452878707385
73.0,0.010464697253675031,0.6816773120573829,0.6920359062907435
74.0,0.009513361139704572,0.6754007858665193,0.6845125133656179
75.0,0.008648510127004155,0.6708774202844953,0.6790431423666146
76.0,0.007862281933640141,0.6655189583918761,0.6725644787351022
77.0,0.007147529030581946,0.6642474514112959,0.6702886416884785
78.0,0.006497753664165405,0.6624864373735037,0.6665355228193337
79.0,0.005907048785604913,0.6581647695417309,0.6628754735341162
80.0,0.005370044350549921,0.6565193674076927,0.660326598008088
81.0,0.004881858500499927,0.655794330225651,0.6602725613256843
82.0,0.0044380531822726605,0.6544830830953584,0.6580360204312053
83.0,0.004034593802066055,0.6544292956122539,0.6577415672298232
84.0,0.0036678125473327767,0.6538369585145171,0.6559861169220718
85.0,0.003334375043029797,0.652794534728648,0.6546228462563065
86.0,0.0030312500391179967,0.6520746172568989,0.6541410343637656
87.0,0.002755681853743633,0.6508097664093996,0.6531744975519769
88.0,0.0025051653215851207,0.6495814867776347,0.6512397866221367
89.0,0.002277423019622837,0.6495814867776347,0.6516589232956681
90.0,0.002070384563293488,0.6491690129587231,0.6502323067888068
91.0,0.0018821677848122617,0.6485035491723393,0.6500656677862842
92.0,0.0017110616225566014,0.6480166233816191,0.6489989276177002
