i,theta,chi2_min,chi2_avg
1.0,1000.0,7038.052800515792,13268.234718932667
2.0,810.0,5882.150732282317,10113.178799400492
3.0,640.0,4543.454097277965,7561.776569028046
4.0,490.0,3419.6660876699284,5646.359525768205
5.0,360.0,2477.73773067608,4162.930059883335
6.0,250.0,1964.6567312825528,2976.325813032743
7.0,160.0,1329.3596936683646,1989.3333753056847
8.0,90.0,767.3420247019781,1215.5378412041048
9.0,40.0,364.1109917495747,570.1486066549144
10.0,10.0,65.31986627749313,115.41553971164538
1.0,10.0,62.652764530904605,112.1980017216292
2.0,9.09090909090909,51.24595458430145,99.98662665606909
3.0,8.264462809917354,42.45355530935652,89.11258416449401
4.0,7.513148009015776,35.41300545824983,76.55523326518369
5.0,6.830134553650705,35.41300545824983,68.09421031148246
6.0,6.2092132305915495,29.39755151263372,60.046964435570736
7.0,5.644739300537772,25.135918106379773,53.257851604578825
8.0,5.131581182307065,19.66039298766369,45.16280106227304
9.0,4.665073802097331,17.171045704795297,39.991392925188926
10.0,4.240976183724846,15.15690644951707,33.98324166111377
11.0,3.855432894295314,13.239332388439417,30.564621755423875
12.0,3.5049389948139216,11.794769093401387,26.571018615412815
13.0,3.1863081771035646,10.25926854901953,23.653576051315284
14.0,2.8966437973668766,8.107258588777125,19.76060526111985
15.0,2.633312543060797,6.159682409953394,17.363332880668374
16.0,2.3939204936916334,6.159682409953394,15.194893801407384
17.0,2.176291357901485,5.0514618240247176,13.174829956585935
18.0,1.9784466890013497,4.346313460988359,11.643312647962826
19.0,1.798587899092136,3.8823474680221945,10.378239543518784
20.0,1.635079908265578,3.60521321286298,8.941202955634408
21.0,1.4864362802414344,2.940151048683997,8.018642336665634
22.0,1.3513057093103948,2.68864640496544,6.96266845074474
23.0,1.2284597357367224,2.68864640496544,6.460756886715559
24.0,1.1167815779424748,2.459460855770983,5.6835286023177725
25.0,1.0152559799477043,2.272390829340943,5.1661493432440775
26.0,0.9229599817706402,2.1490154352271444,4.640740413699622
27.0,0.8390545288824001,2.100983933684936,4.274343079648836
28.0,0.7627768444385454,1.952196851176412,3.875737005247509
29.0,0.6934334949441322,1.802587330532878,3.5918869480689275
30.0,0.6303940863128474,1.732258158836668,3.321171724067322
31.0,0.5730855330116794,1.5602879366728524,3.0263019815912457
32.0,0.5209868481924358,1.5602879366728524,2.7939906395350786
33.0,0.47362440744766887,1.4788736772208417,2.6744854398195423
34.0,0.4305676431342444,1.4788736772208417,2.448183028612524
35.0,0.39142513012204033,1.405990064362224,2.2633271949823524
36.0,0.355841027383673,1.405990064362224,2.224758336038999
37.0,0.3234918430760664,1.2546887720421462,2.0336914948779174
38.0,0.29408349370551484,1.2546887720421462,1.9637899157853271
39.0,0.2673486306413771,1.2286526192622382,1.8483811910364984
40.0,0.24304420967397916,1.2286526192622382,1.7912385841190377
41.0,0.2209492815217992,1.1889447512533684,1.7315334710394317
42.0,0.20086298320163562,1.1889447512533684,1.661855320828915
43.0,0.18260271200148692,1.0812493646970471,1.6299454875889798
44.0,0.1660024654558972,1.0812493646970471,1.5035454781290123
45.0,0.1509113322326338,1.0812493646970471,1.4589858937024591
46.0,0.13719212021148527,1.0617337554493702,1.4113165800680638
47.0,0.12472010928316841,1.039396844864877,1.3592151447196843
48.0,0.1133819175301531,0.9586015523398158,1.316976661614144
49.0,0.10307447048195735,0.9586015523398158,1.2488756929693419
50.0,0.09370406407450667,0.9277056682205173,1.1535861254230597
51.0,0.08518551279500605,0.9091342627136526,1.1389296408125995
52.0,0.07744137526818731,0.891709386367668,1.1193667766667865
53.0,0.07040125024380664,0.8221084635554229,1.028436001628979
54.0,0.06400113658527876,0.8221084635554229,1.0311698877124436
55.0,0.0581828514411625,0.8221084635554229,0.9863460375292216
56.0,0.05289350131014772,0.7735790424043303,0.9523551179960555
57.0,0.04808500119104338,0.7735790424043303,0.9591097465979475
58.0,0.04371363744640307,0.7735790424043303,0.8991683627616714
59.0,0.039739670405820965,0.7396603813096725,0.8645510748268368
60.0,0.03612697309620087,0.7226496785306181,0.8316053679375908
61.0,0.032842702814728064,0.7226496785306181,0.8219451654487406
62.0,0.02985700255884369,0.7045775414322374,0.7960356854403761
63.0,0.027142729598948808,0.6834844549708278,0.763900250044503
64.0,0.024675208726317097,0.6769271506099922,0.7534392180082776
65.0,0.02243200793301554,0.6769271506099922,0.7489474646693546
66.0,0.02039273448455958,0.6505699891600542,0.7160864391834715
67.0,0.018538849531417798,0.6505699891600542,0.7046157755713135
68.0,0.01685349957401618,0.6364833954650714,0.6821643636268271
69.0,0.015321363249105616,0.634934126099895,0.6793962278445036
70.0,0.013928512044641468,0.6299664036517038,0.6620755871039735
71.0,0.012662283676946788,0.612268665773011,0.6655881755298861
72.0,0.011511166979042534,0.608968318446621,0.6580659327785251
73.0,0.010464697253675031,0.6056416867346102,0.6339140985207218
74.0,0.009513361139704572,0.5968964605291804,0.6208621743043123
75.0,0.008648510127004155,0.5968964605291804,0.6225994694859712
76.0,0.007862281933640141,0.5866656729794391,0.6123099429520606
77.0,0.007147529030581946,0.5710861118120258,0.5970501782973601
78.0,0.006497753664165405,0.565787740199221,0.579397089465522
79.0,0.005907048785604913,0.5570575963204127,0.5752196533618807
80.0,0.005370044350549921,0.5414559085392392,0.5676304813601887
81.0,0.004881858500499927,0.5394800144067187,0.5675127285254616
82.0,0.0044380531822726605,0.5328124788249821,0.5491264637430652
83.0,0.004034593802066055,0.5247096641070301,0.5408735193219995
84.0,0.0036678125473327767,0.523361739001719,0.5386705651119088
85.0,0.003334375043029797,0.5057187711253937,0.5165308371306057
86.0,0.0030312500391179967,0.4953925824402112,0.5058417196023135
87.0,0.002755681853743633,0.49003349488581904,0.49996794681989354
88.0,0.0025051653215851207,0.4798705107667949,0.49103340793566613
89.0,0.002277423019622837,0.47655409253695397,0.485812400304719
90.0,0.002070384563293488,0.46638703980443175,0.4751363878982226
91.0,0.0018821677848122617,0.46506681962154156,0.47141798393079914
92.0,0.0017110616225566014,0.46095823071437114,0.47277956365787965
93.0,0.0015555105659605466,0.459705379884006,0.46487792030332314
94.0,0.0014141005145095877,0.4473612794922667,0.4530546219588174
95.0,0.0012855459222814432,0.44028142467488335,0.4467288113451756
96.0,0.0011686781111649482,0.432457179162242,0.4366778742641094
97.0,0.001062434646513589,0.42999200419524986,0.4349729474347803
98.0,0.0009658496786487173,0.42333691537556256,0.4287164771221439
99.0,0.0008780451624079247,0.4162110366004748,0.4195991709572691
100.0,0.0007982228749162951,0.4114295316105341,0.4194893762956035
101.0,0.0007256571590148137,0.40961464790361973,0.4134769177865832
102.0,0.0006596883263771033,0.40148030996532447,0.40513184351436315
103.0,0.0005997166603428211,0.39534288738780554,0.3998190478052545
104.0,0.0005451969639480191,0.3921720536252214,0.39473523306196917
105.0,0.0004956336035891083,0.38931453884963485,0.3913854378672918
106.0,0.00045057600326282567,0.38347285131960035,0.38600985245505914
107.0,0.0004096145484207506,0.381844624909933,0.3860008541673129
108.0,0.0003723768622006823,0.377089902580388,0.380461386939665
109.0,0.00033852442018243847,0.3734165311423153,0.3759206944280983
110.0,0.0003077494728931259,0.37198781308782525,0.37466503114621386
111.0,0.0002797722480846599,0.3695249062510536,0.3711877636812548
112.0,0.00025433840734969077,0.36657881024574035,0.3679167822017077
113.0,0.00023121673395426433,0.3630978937353563,0.36528330402029263
114.0,0.000210197030867513,0.3599244436194008,0.36150505609549666
115.0,0.00019108820987955724,0.3574885568927434,0.35894222609980847
116.0,0.00017371655443596112,0.35692767435416217,0.3577879246987207
