a,theta
58.043353449394566,10.0
50.64136810812993,9.09090909090909
41.15811613391818,8.264462809917354
34.891609146285965,7.513148009015775
31.078037664653362,6.830134553650705
25.811689728480186,6.2092132305915495
23.126190283401748,5.644739300537772
19.5660743230008,5.131581182307064
16.926293564418042,4.66507380209733
12.479314359293275,4.240976183724846
10.421743055414105,3.855432894295314
9.669568184032602,3.504938994813922
8.019258632259676,3.186308177103565
6.967296440744415,2.896643797366877
6.057270015816099,2.6333125430607973
5.771691982563426,2.3939204936916334
4.472760817909379,2.176291357901485
3.7003710144808113,1.9784466890013497
3.067291578729839,1.798587899092136
2.6580644150874986,1.635079908265578
2.749275686874575,1.4864362802414344
2.092827354412901,1.3513057093103948
1.8123868021421197,1.2284597357367224
1.6386551571615549,1.1167815779424748
1.460852610436123,1.0152559799477043
1.183011858316644,0.9229599817706402
0.9923494104288031,0.8390545288824002
0.9827121880034158,0.7627768444385455
0.8827799115892554,0.6934334949441322
0.7108643775888555,0.6303940863128475
0.6930580699698367,0.5730855330116795
0.5818065657429334,0.5209868481924358
0.5061817208723143,0.4736244074476689
0.49853052617371857,0.43056764313424445
0.41335250422958075,0.39142513012204033
0.4127142314569229,0.355841027383673
0.35591836804099203,0.3234918430760664
0.31062754069552917,0.29408349370551484
0.3112941349627183,0.2673486306413771
0.33489173940448735,0.24304420967397916
0.26974541361202736,0.2209492815217992
0.23287614921213548,0.20086298320163565
0.21990836109327516,0.18260271200148695
0.198756494011069,0.1660024654558972
0.1958032967041959,0.15091133223263378
0.2147372109515779,0.13719212021148527
0.19140047350966521,0.12472010928316841
0.16158596379848522,0.1133819175301531
0.1286475730997835,0.10307447048195735
0.13846460732126298,0.09370406407450667
0.12577153733726848,0.08518551279500607
0.11113115327917035,0.07744137526818731
0.10252791713181322,0.07040125024380665
0.11132572769059967,0.06400113658527877
0.09348903475349532,0.05818285144116251
0.10622531718710873,0.052893501310147736
0.10490986656890747,0.04808500119104339
0.11079214783113833,0.04371363744640308
0.10013143864068462,0.03973967040582098
0.06981492206675206,0.03612697309620089
0.1047952307765794,0.03284270281472808
0.10849240913448216,0.029857002558843704
0.09558293625088109,0.02714272959894882
0.07571061974673184,0.024675208726317104
0.06656774284057639,0.022432007933015547
0.06403381788324186,0.02039273448455959
0.0711743371401778,0.018538849531417805
0.06814216573518497,0.016853499574016186
0.0569631510695584,0.015321363249105623
0.05728451970946618,0.013928512044641473
0.053115967189506424,0.012662283676946794
0.05642837453931602,0.011511166979042538
0.060226741311525334,0.010464697253675033
0.059923898980086945,0.009513361139704576
0.055051017359674395,0.008648510127004159
0.0448030880979637,0.007862281933640145
0.04423332923548207,0.007147529030581949
0.04228834457556084,0.006497753664165407
0.039081974894118875,0.005907048785604915
0.03743778059270099,0.0053700443505499225
0.04029723750630989,0.004881858500499929
0.03725514794163811,0.004438053182272662
0.03506809487715924,0.004034593802066057
0.03204338410922592,0.0036678125473327784
0.022259524425306237,0.0033343750430297986
0.025594777516024222,0.003031250039117998
0.021572656550765887,0.0027556818537436347
0.023168950617748887,0.002505165321585122
0.01733742530385414,0.002277423019622838
0.015739018383064164,0.002070384563293489
0.011413983816351935,0.0018821677848122626
0.012693827538507946,0.0017110616225566022
0.009015460927262275,0.0015555105659605473
0.008981397175097765,0.0014141005145095883
0.00924040786118005,0.0012855459222814438
0.007039943342712257,0.0011686781111649488
0.005851436825424141,0.0010624346465135897
0.0058703751160489375,0.0009658496786487179
0.0034117409788035256,0.0008780451624079253
-2.7776838372389063,0.0007982228749162957
-2.7776838372389063,0.0007256571590148142
-2.7776838372389063,0.0006596883263771037
-2.7776838372389063,0.0005997166603428215
-2.7776838372389063,0.0005451969639480196
-2.7776838372389063,0.0004956336035891086
-2.7776838372389063,0.00045057600326282594
-2.7776838372389063,0.00040961454842075085
-2.7776838372389063,0.00037237686220068254
-2.7776838372389063,0.0003385244201824387
-2.7776838372389063,0.00030774947289312604
-2.7776838372389063,0.00027977224808466004
-2.7776838372389063,0.00025433840734969093
-2.7776838372389063,0.0002312167339542644
-2.7776838372389063,0.0002101970308675131
-2.7776838372389063,0.00019108820987955735
-2.7776838372389063,0.0001737165544359612
-2.7776838372389063,0.00015792414039632837
-2.7776838372389063,0.0001435674003602985
-2.7776838372389063,0.00013051581850936228
-2.7776838372389063,0.00011865074409942022
-2.7776838372389063,0.00010786431281765474
-2.7776838372389063,9.805846619786795e-5
-2.7776838372389063,8.914406017987994e-5
-2.7776838372389063,8.104005470898175e-5
-2.7776838372389063,7.367277700816523e-5
-2.7776838372389063,6.697525182560475e-5
-2.7776838372389063,6.0886592568731584e-5
-2.7776838372389063,5.535144778975598e-5
-2.7776838372389063,5.031949799068725e-5
-2.7776838372389063,4.574499817335204e-5
-2.7776838372389063,4.158636197577458e-5
-2.7776838372389063,3.7805783614340525e-5
-2.7776838372389063,3.436889419485502e-5
-2.7776838372389063,3.1244449268050016e-5
-2.7776838372389063,2.8404044789136377e-5
-2.7776838372389063,2.5821858899214886e-5
-2.7776838372389063,2.347441718110444e-5
-2.7776838372389063,2.134037925554949e-5
-2.7776838372389063,1.940034477777226e-5
-2.7776838372389063,1.7636677070702054e-5
-2.7776838372389063,1.6033342791547318e-5
-2.7776838372389063,1.4575766174133927e-5
-2.7776838372389063,1.3250696521939933e-5
-2.7776838372389063,1.2046087747218118e-5
-2.7776838372389063,1.095098886110738e-5
-2.7776838372389063,9.955444419188527e-6
-2.7776838372389063,9.050404017444115e-6
-2.7776838372389063,8.227640015858286e-6
-2.7776838372389063,7.47967274168935e-6
-2.7776838372389063,6.799702492444863e-6
