i,ar_pcont1,ar_pcont2,ar_pcont3,ar_ncont1,ar_ncont2,ar_ncont3,∆w_pcont1,∆w_pcont2,∆w_ncont1,∆w_ncont2,ar_ppeak,ar_npeak,∆w_ppeak,∆w_npeak,ar_wAc,ar_wAp,ar_Ap,∆w_Ac,∆w_Ap,∆Ap
1.0,0.4775,0.5396,0.7777,0.0,0.0,0.0,0.74625471,1.24375786,0.0,0.0,0.5408,0.0,0.00028248,0.0,0.0,0.0,0.0,0.0,0.0,5.0e-8
2.0,0.4742,0.5367,0.7785,0.0,0.0,0.0,0.74625471,1.24375786,0.0,0.0,0.5154,0.0,0.00028248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.4729,0.5368,0.7792,0.0,0.0,0.0,0.74625471,1.24375786,0.0,0.0,0.4804,0.0,0.00028248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.4694,0.5362,0.7783,0.0,0.0,0.0,0.74625471,1.24375786,0.0,0.0,0.4934,0.0,0.00028248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.4656,0.5337,0.7812,0.0,0.0,0.0,0.74625471,1.24375786,0.0,0.0,0.5352,0.0,0.0002354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.4619,0.5321,0.7812,0.0,0.0,0.0,0.74625471,1.24375786,0.0,0.0,0.5294,0.0,0.0002354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.4591,0.5311,0.7826,0.0,0.0,0.0,0.74625471,1.24375786,0.0,0.0,0.5114,0.0,0.0002354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.5166,0.5268,0.7818,0.0,0.0,0.0,0.62187893,1.24375786,0.0,0.0,0.436,0.0,0.00028248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.5123,0.531,0.7863,0.0,0.0,0.0,0.62187893,1.24375786,0.0,0.0,0.4792,0.0,0.0002354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.5063,0.534,0.7799,0.0,0.0,0.0,0.62187893,1.24375786,0.0,0.0,0.528,0.0,0.00019617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.5018,0.5324,0.7793,0.0,0.0,0.0,0.62187893,1.24375786,0.0,0.0,0.5314,0.0,0.00019617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.4967,0.5313,0.7834,0.0,0.0,0.0,0.62187893,1.24375786,0.0,0.0,0.5012,0.0,0.00019617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.4912,0.5313,0.7823,0.0,0.0,0.0,0.62187893,1.24375786,0.0,0.0,0.4922,0.0,0.00019617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.4839,0.5302,0.786,0.0,0.0,0.0,0.62187893,1.24375786,0.0,0.0,0.4844,0.0,0.00019617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.4779,0.5284,0.7835,0.0,0.0,0.0,0.62187893,1.24375786,0.0,0.0,0.532,0.0,0.00016347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.4715,0.5247,0.7897,0.0,0.0,0.0,0.62187893,1.24375786,0.0,0.0,0.5064,0.0,0.00016347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.4633,0.5294,0.7828,0.0,0.0,0.0,0.62187893,1.24375786,0.0,0.0,0.484,0.0,0.00016347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.4558,0.5296,0.7844,0.0,0.0,0.0,0.62187893,1.24375786,0.0,0.0,0.5448,0.0,0.00013623,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.5094,0.5284,0.7853,0.0,0.0,0.0,0.51823244,1.24375786,0.0,0.0,0.5338,0.0,0.00013623,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.5013,0.5274,0.7864,0.0,0.0,0.0,0.51823244,1.24375786,0.0,0.0,0.4966,0.0,0.00013623,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.494,0.5247,0.7894,0.0,0.0,0.0,0.51823244,1.24375786,0.0,0.0,0.5052,0.0,0.00013623,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.4834,0.5274,0.7876,0.0,0.0,0.0,0.51823244,1.24375786,0.0,0.0,0.529,0.0,0.00011352,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.4734,0.53,0.783,0.0,0.0,0.0,0.51823244,1.24375786,0.0,0.0,0.522,0.0,0.00011352,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.4631,0.5325,0.7785,0.0,0.0,0.0,0.51823244,1.24375786,0.0,0.0,0.5154,0.0,0.00011352,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.4536,0.526,0.7856,0.0,0.0,0.0,0.51823244,1.24375786,0.0,0.0,0.4894,0.0,0.00011352,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.5058,0.528,0.7832,0.0,0.0,0.0,0.43186037,1.24375786,0.0,0.0,0.4954,0.0,0.00011352,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.4954,0.5285,0.7857,0.0,0.0,0.0,0.43186037,1.24375786,0.0,0.0,0.47,0.0,0.00011352,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.485,0.5229,0.7892,0.0,0.0,0.0,0.43186037,1.24375786,0.0,0.0,0.5156,0.0,9.46e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,0.4717,0.5216,0.7856,0.0,0.0,0.0,0.43186037,1.24375786,0.0,0.0,0.5014,0.0,9.46e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.461,0.5228,0.7873,0.0,0.0,0.0,0.43186037,1.24375786,0.0,0.0,0.4678,0.0,9.46e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0.5136,0.5201,0.7887,0.0,0.0,0.0,0.35988364,1.24375786,0.0,0.0,0.5056,0.0,7.883e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,0.4994,0.5196,0.7831,0.0,0.0,0.0,0.35988364,1.24375786,0.0,0.0,0.4506,0.0,9.46e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,0.4877,0.5195,0.7856,0.0,0.0,0.0,0.35988364,1.24375786,0.0,0.0,0.5484,0.0,6.57e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0.4747,0.5201,0.7803,0.0,0.0,0.0,0.35988364,1.24375786,0.0,0.0,0.4666,0.0,7.883e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.4612,0.515,0.7839,0.0,0.0,0.0,0.35988364,1.24375786,0.0,0.0,0.5168,0.0,6.57e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0.5124,0.5161,0.7885,0.0,0.0,0.0,0.29990303,1.24375786,0.0,0.0,0.4936,0.0,6.57e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,0.4993,0.5147,0.7832,0.0,0.0,0.0,0.29990303,1.24375786,0.0,0.0,0.487,0.0,6.57e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.4847,0.5139,0.7808,0.0,0.0,0.0,0.29990303,1.24375786,0.0,0.0,0.5278,0.0,5.475e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,0.4725,0.5081,0.7852,0.0,0.0,0.0,0.29990303,1.24375786,0.0,0.0,0.4876,0.0,5.475e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.4592,0.5056,0.7875,0.0,0.0,0.0,0.29990303,1.24375786,0.0,0.0,0.5432,0.0,4.562e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,0.5066,0.5011,0.7812,0.0,0.0,0.0,0.24991919,1.24375786,0.0,0.0,0.526,0.0,4.562e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,0.4928,0.5003,0.7792,0.0,0.0,0.0,0.24991919,1.24375786,0.0,0.0,0.5048,0.0,4.562e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,0.4778,0.499,0.7792,0.0,0.0,0.0,0.24991919,1.24375786,0.0,0.0,0.4876,0.0,4.562e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,0.4631,0.4967,0.7741,0.0,0.0,0.0,0.24991919,1.24375786,0.0,0.0,0.5192,0.0,3.802e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,0.5099,0.4913,0.7585,0.0,0.0,0.0,0.20826599,1.24375786,0.0,0.0,0.5164,0.0,3.802e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,0.4995,0.4868,0.7822,0.0,0.0,0.0,0.20826599,1.24375786,0.0,0.0,0.4804,0.0,3.802e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.0,0.4834,0.4868,0.7783,0.0,0.0,0.0,0.20826599,1.24375786,0.0,0.0,0.5248,0.0,3.168e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,0.4687,0.4817,0.7754,0.0,0.0,0.0,0.20826599,1.24375786,0.0,0.0,0.5196,0.0,3.168e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,0.4526,0.4768,0.7655,0.0,0.0,0.0,0.20826599,1.24375786,0.0,0.0,0.4772,0.0,3.168e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
