i,theta,chi2_min,chi2_avg,edge_p,edge_n,Ap_p,Ap_n,Ac_p,Ac_n
1.0,10.0,2.4524,15.3583,0.9996,-0.9996,0.7,0.7,0.3,0.3
2.0,9.0909,1.7409,13.4892,0.9983,-0.9983,0.7,0.7,0.3,0.3
3.0,8.2645,1.5765,11.0945,0.9991,-0.9991,0.7,0.7,0.3,0.3
4.0,7.5131,1.166,9.5121,0.9993,-0.9993,0.7,0.7,0.3,0.3
5.0,6.8301,0.835,8.5491,0.999,-0.999,0.7,0.7,0.3,0.3
6.0,6.2092,0.835,7.2193,0.998,-0.998,0.7,0.7,0.3,0.3
7.0,5.6447,0.8263,6.5412,0.9982,-0.9982,0.7,0.7,0.3,0.3
8.0,5.1316,0.7763,5.6422,0.9999,-0.9999,0.7,0.7,0.3,0.3
9.0,4.6651,0.7763,4.9756,0.9996,-0.9996,0.7,0.7,0.3,0.3
10.0,4.241,0.7438,3.8526,1.0002,-1.0002,0.7,0.7,0.3,0.3
11.0,3.8554,0.7438,3.3331,0.9999,-0.9999,0.7,0.7,0.3,0.3
12.0,3.5049,0.7322,3.1431,0.9999,-0.9999,0.7,0.7,0.3,0.3
13.0,3.1863,0.7322,2.7264,0.9994,-0.9994,0.7,0.7,0.3,0.3
14.0,2.8966,0.721,2.4608,0.9999,-0.9999,0.7,0.7,0.3,0.3
15.0,2.6333,0.7195,2.231,0.9991,-0.9991,0.7,0.7,0.3,0.3
16.0,2.3939,0.7195,2.1589,0.9992,-0.9992,0.7,0.7,0.3,0.3
17.0,2.1763,0.7195,1.8309,0.9998,-0.9998,0.7,0.7,0.3,0.3
18.0,1.9784,0.7175,1.6358,0.9998,-0.9998,0.7,0.7,0.3,0.3
19.0,1.7986,0.716,1.476,0.9999,-0.9999,0.7,0.7,0.3,0.3
20.0,1.6351,0.716,1.3726,0.9993,-0.9993,0.7,0.7,0.3,0.3
21.0,1.4864,0.716,1.3956,1.0002,-1.0002,0.7,0.7,0.3,0.3
22.0,1.3513,0.716,1.2299,0.9996,-0.9996,0.7,0.7,0.3,0.3
23.0,1.2285,0.716,1.1591,0.9995,-0.9995,0.7,0.7,0.3,0.3
24.0,1.1168,0.7135,1.1152,1.0011,-1.0011,0.7,0.7,0.3,0.3
25.0,1.0153,0.7135,1.0703,0.9995,-0.9995,0.7,0.7,0.3,0.3
26.0,0.923,0.7135,1.0001,0.9994,-0.9994,0.7,0.7,0.3,0.3
27.0,0.8391,0.7125,0.952,0.9998,-0.9998,0.7,0.7,0.3,0.3
28.0,0.7628,0.7125,0.9496,1.0002,-1.0002,0.7,0.7,0.3,0.3
29.0,0.6934,0.7125,0.9243,0.9998,-0.9998,0.7,0.7,0.3,0.3
30.0,0.6304,0.7124,0.8809,1.0002,-1.0002,0.7,0.7,0.3,0.3
31.0,0.5731,0.7124,0.8764,0.9992,-0.9992,0.7,0.7,0.3,0.3
32.0,0.521,0.7124,0.8483,1.0002,-1.0002,0.7,0.7,0.3,0.3
33.0,0.4736,0.7124,0.8292,0.9999,-0.9999,0.7,0.7,0.3,0.3
34.0,0.4306,0.7124,0.8273,1.0001,-1.0001,0.7,0.7,0.3,0.3
35.0,0.3914,0.7124,0.8058,1.0005,-1.0005,0.7,0.7,0.3,0.3
36.0,0.3558,0.7124,0.8056,0.9994,-0.9994,0.7,0.7,0.3,0.3
37.0,0.3235,0.7124,0.7913,1.0002,-1.0002,0.7,0.7,0.3,0.3
38.0,0.2941,0.7124,0.7799,0.9998,-0.9998,0.7,0.7,0.3,0.3
39.0,0.2673,0.7123,0.78,0.9996,-0.9996,0.7,0.7,0.3,0.3
40.0,0.243,0.7123,0.786,0.9995,-0.9995,0.7,0.7,0.3,0.3
41.0,0.2209,0.7123,0.7695,1.0001,-1.0001,0.7,0.7,0.3,0.3
42.0,0.2009,0.7123,0.7602,1.0,-1.0,0.7,0.7,0.3,0.3
43.0,0.1826,0.7113,0.7569,1.0,-1.0,0.7,0.7,0.3,0.3
44.0,0.166,0.7113,0.7516,1.0002,-1.0002,0.7,0.7,0.3,0.3
45.0,0.1509,0.7102,0.7509,1.0005,-1.0005,0.7,0.7,0.3,0.3
46.0,0.1372,0.7102,0.7556,0.9991,-0.9991,0.7,0.7,0.3,0.3
47.0,0.1247,0.7102,0.7497,0.9998,-0.9998,0.7,0.7,0.3,0.3
48.0,0.1134,0.7102,0.7422,1.0001,-1.0001,0.7,0.7,0.3,0.3
49.0,0.1031,0.7102,0.7339,1.0002,-1.0002,0.7,0.7,0.3,0.3
50.0,0.0937,0.7102,0.7364,1.0006,-1.0006,0.7,0.7,0.3,0.3
51.0,0.0852,0.7102,0.7332,1.0004,-1.0004,0.7,0.7,0.3,0.3
52.0,0.0774,0.7102,0.7295,1.0007,-1.0007,0.7,0.7,0.3,0.3
53.0,0.0704,0.7099,0.7273,1.0005,-1.0005,0.7,0.7,0.3,0.3
54.0,0.064,0.7099,0.7295,1.0004,-1.0004,0.7,0.7,0.3,0.3
55.0,0.0582,0.7099,0.725,1.0004,-1.0004,0.7,0.7,0.3,0.3
56.0,0.0529,0.7099,0.7282,1.0002,-1.0002,0.7,0.7,0.3,0.3
57.0,0.0481,0.7099,0.7279,0.9999,-0.9999,0.7,0.7,0.3,0.3
58.0,0.0437,0.7099,0.7294,1.0001,-1.0001,0.7,0.7,0.3,0.3
59.0,0.0397,0.7099,0.7267,1.0002,-1.0002,0.7,0.7,0.3,0.3
60.0,0.0361,0.7099,0.719,1.0005,-1.0005,0.7,0.7,0.3,0.3
61.0,0.0328,0.7099,0.7279,0.9999,-0.9999,0.7,0.7,0.3,0.3
62.0,0.0299,0.7099,0.7288,0.9998,-0.9998,0.7,0.7,0.3,0.3
63.0,0.0271,0.7099,0.7255,0.9999,-0.9999,0.7,0.7,0.3,0.3
64.0,0.0247,0.7099,0.7205,1.0001,-1.0001,0.7,0.7,0.3,0.3
65.0,0.0224,0.7099,0.7182,1.0004,-1.0004,0.7,0.7,0.3,0.3
66.0,0.0204,0.7099,0.7176,1.0003,-1.0003,0.7,0.7,0.3,0.3
67.0,0.0185,0.7099,0.7194,1.0001,-1.0001,0.7,0.7,0.3,0.3
68.0,0.0169,0.7099,0.7186,1.0001,-1.0001,0.7,0.7,0.3,0.3
69.0,0.0153,0.7099,0.7158,1.0003,-1.0003,0.7,0.7,0.3,0.3
70.0,0.0139,0.7099,0.7159,1.0005,-1.0005,0.7,0.7,0.3,0.3
71.0,0.0127,0.7099,0.7148,1.0005,-1.0005,0.7,0.7,0.3,0.3
72.0,0.0115,0.7099,0.7157,1.0004,-1.0004,0.7,0.7,0.3,0.3
73.0,0.0105,0.7099,0.7166,1.0001,-1.0001,0.7,0.7,0.3,0.3
74.0,0.0095,0.7099,0.7165,1.0002,-1.0002,0.7,0.7,0.3,0.3
75.0,0.0086,0.7099,0.7153,1.0003,-1.0003,0.7,0.7,0.3,0.3
76.0,0.0079,0.7092,0.7127,1.0008,-1.0008,0.7,0.7,0.3,0.3
77.0,0.0071,0.7086,0.7126,1.0008,-1.0008,0.7,0.7,0.3,0.3
78.0,0.0065,0.7086,0.7121,1.0007,-1.0007,0.7,0.7,0.3,0.3
79.0,0.0059,0.7086,0.7113,1.0008,-1.0008,0.7,0.7,0.3,0.3
80.0,0.0054,0.7066,0.7109,1.0007,-1.0007,0.7,0.7,0.3,0.3
81.0,0.0049,0.7066,0.7116,1.0008,-1.0008,0.7,0.7,0.3,0.3
82.0,0.0044,0.7066,0.7108,1.0009,-1.0009,0.7,0.7,0.3,0.3
83.0,0.004,0.7065,0.7103,1.0009,-1.0009,0.7,0.7,0.3,0.3
84.0,0.0037,0.7064,0.7095,1.001,-1.001,0.7,0.7,0.3,0.3
85.0,0.0033,0.7044,0.707,1.0012,-1.0012,0.7,0.7,0.3,0.3
86.0,0.003,0.7044,0.7079,1.0012,-1.0012,0.7,0.7,0.3,0.3
87.0,0.0028,0.7042,0.7069,1.0012,-1.0012,0.7,0.7,0.3,0.3
88.0,0.0025,0.7042,0.7073,1.0011,-1.0011,0.7,0.7,0.3,0.3
89.0,0.0023,0.7033,0.7058,1.0011,-1.0011,0.7,0.7,0.3,0.3
90.0,0.0021,0.7029,0.7054,1.0011,-1.0011,0.7,0.7,0.3,0.3
91.0,0.0019,0.7028,0.7043,1.0012,-1.0012,0.7,0.7,0.3,0.3
92.0,0.0017,0.7025,0.7046,1.0012,-1.0012,0.7,0.7,0.3,0.3
93.0,0.0016,0.7023,0.7037,1.0012,-1.0012,0.7,0.7,0.3,0.3
94.0,0.0014,0.7018,0.7037,1.0012,-1.0012,0.7,0.7,0.3,0.3
95.0,0.0013,0.7018,0.7037,1.0012,-1.0012,0.7,0.7,0.3,0.3
96.0,0.0012,0.7015,0.7032,1.0012,-1.0012,0.7,0.7,0.3,0.3
97.0,0.0011,0.7015,0.7029,1.0012,-1.0012,0.7,0.7,0.3,0.3
98.0,0.001,0.7015,0.7029,1.0012,-1.0012,0.7,0.7,0.3,0.3
99.0,0.0009,0.7014,0.7023,1.0012,-1.0012,0.7,0.7,0.3,0.3
