omega,S,S_p,S_c
-3.7600000000000002,0.0,0.0,0.0
-3.755,0.0,0.0,0.0
-3.75,0.0,0.0,0.0
-3.745,2.949800785120651e-214,0.0,2.949800785120651e-214
-3.74,0.0,0.0,0.0
-3.735,0.0,0.0,0.0
-3.73,6.7068228826631755e-214,0.0,6.7068228826631755e-214
-3.725,1.2719361357855454e-213,0.0,1.2719361357855454e-213
-3.72,0.0,0.0,0.0
-3.715,0.0,0.0,0.0
-3.71,0.0,0.0,0.0
-3.705,1.6453533489559643e-212,0.0,1.6453533489559643e-212
-3.7,3.1203811659953115e-212,0.0,3.1203811659953115e-212
-3.6950000000000003,5.917743217453317e-212,0.0,5.917743217453317e-212
-3.69,0.0,0.0,0.0
-3.685,0.0,0.0,0.0
-3.68,8.072936143635347e-211,0.0,8.072936143635347e-211
-3.6750000000000003,0.0,0.0,0.0
-3.67,0.0,0.0,0.0
-3.665,0.0,0.0,0.0
-3.66,0.0,0.0,0.0
-3.6550000000000002,0.0,0.0,0.0
-3.65,0.0,0.0,0.0
-3.645,3.561564390825569e-209,0.0,3.561564390825569e-209
-3.64,0.0,0.0,0.0
-3.6350000000000002,0.0,0.0,0.0
-3.63,0.0,0.0,0.0
-3.625,0.0,0.0,0.0
-3.62,1.747483719337533e-207,0.0,1.747483719337533e-207
-3.615,0.0,0.0,0.0
-3.61,0.0,0.0,0.0
-3.605,0.0,0.0,0.0
-3.6,0.0,0.0,0.0
-3.595,0.0,0.0,0.0
-3.59,1.6260501823597753e-205,0.0,1.6260501823597753e-205
-3.585,3.083773079635601e-205,0.0,3.083773079635601e-205
-3.58,0.0,0.0,0.0
-3.575,0.0,0.0,0.0
-3.5700000000000003,0.0,0.0,0.0
-3.565,1.994556260037795e-204,0.0,1.994556260037795e-204
-3.56,1.8913189049298105e-204,0.0,1.8913189049298105e-204
-3.555,3.586850139867316e-204,0.0,3.586850139867316e-204
-3.5500000000000003,2.040717812157169e-203,0.0,2.040717812157169e-203
-3.545,6.450303851355451e-203,0.0,6.450303851355451e-203
-3.54,4.893151167921013e-203,0.0,4.893151167921013e-203
-3.535,1.3919651444266148e-202,0.0,1.3919651444266148e-202
-3.5300000000000002,0.0,0.0,0.0
-3.525,1.6687990450175643e-202,0.0,1.6687990450175643e-202
-3.52,6.329690960556261e-202,0.0,6.329690960556261e-202
-3.515,6.002068939302088e-202,0.0,6.002068939302088e-202
-3.5100000000000002,0.0,0.0,0.0
-3.505,1.0793639791350004e-200,0.0,1.0793639791350004e-200
-3.5,8.187972592960035e-201,0.0,8.187972592960035e-201
-3.495,3.88208336570537e-200,0.0,3.88208336570537e-200
-3.49,2.9449187499711774e-200,0.0,2.9449187499711774e-200
-3.485,1.1169964200854437e-199,0.0,1.1169964200854437e-199
-3.48,2.118362352944096e-199,0.0,2.118362352944096e-199
-3.475,5.021792122247338e-199,0.0,5.021792122247338e-199
-3.47,3.8094930958744716e-199,0.0,3.8094930958744716e-199
-3.465,1.0836946224255708e-198,0.0,1.0836946224255708e-198
-3.46,2.7402748405808877e-198,0.0,2.7402748405808877e-198
-3.455,2.598439419601003e-198,0.0,2.598439419601003e-198
-3.45,4.92789067530549e-198,0.0,4.92789067530549e-198
-3.4450000000000003,1.86913008820438e-197,0.0,1.86913008820438e-197
-3.44,7.089538946426674e-197,0.0,7.089538946426674e-197
-3.435,1.1764528173112553e-196,0.0,1.1764528173112553e-196
-3.43,1.9123888058016056e-196,0.0,1.9123888058016056e-196
-3.4250000000000003,1.8134044019997623e-196,0.0,1.8134044019997623e-196
-3.42,2.292724516560085e-196,0.0,2.292724516560085e-196
-3.415,1.3044324621509492e-195,0.0,1.3044324621509492e-195
-3.41,2.473831222813921e-195,0.0,2.473831222813921e-195
