i,ar_pcont1,ar_pcont2,ar_pcont3,ar_ncont1,ar_ncont2,ar_ncont3,∆w_pcont1,∆w_pcont2,∆w_ncont1,∆w_ncont2,ar_ppeak,ar_npeak,∆w_ppeak,∆w_npeak,ar_wAc,ar_wAp,ar_Ap,∆w_Ac,∆w_Ap,∆Ap
1.0,0.4859,0.535,0.3772,0.4796,0.5296,0.3895,0.84139509,1.21160893,0.84139509,1.21160893,0.481,0.449,0.00033129,0.00039755,0.5087,0.519,0.5654,0.33813782,0.00019172,0.00039755
2.0,0.4878,0.5304,0.3629,0.4813,0.522,0.3814,0.84139509,1.21160893,0.84139509,1.21160893,0.58,0.47,0.00027607,0.00033129,0.4974,0.529,0.5833,0.33813782,0.00019172,0.00039755
3.0,0.4993,0.5324,0.3369,0.483,0.5265,0.3532,0.84139509,1.21160893,0.84139509,1.21160893,0.487,0.509,0.00033129,0.00027607,0.4886,0.486,0.452,0.33813782,0.00019172,0.00047706
4.0,0.5021,0.473,0.3111,0.4841,0.5259,0.3494,0.84139509,1.45393071,0.84139509,1.21160893,0.52,0.459,0.00027607,0.00033129,0.4822,0.468,0.5355,0.33813782,0.00019172,0.00039755
5.0,0.5025,0.543,0.3003,0.4816,0.515,0.3423,0.84139509,1.21160893,0.84139509,1.21160893,0.491,0.426,0.00027607,0.00033129,0.4756,0.508,0.569,0.33813782,0.00015976,0.00033129
6.0,0.505,0.5392,0.291,0.478,0.5191,0.3311,0.84139509,1.21160893,0.84139509,1.21160893,0.496,0.519,0.00027607,0.00027607,0.4683,0.5,0.5679,0.33813782,0.00015976,0.00033129
7.0,0.5058,0.4674,0.2835,0.4747,0.5082,0.3297,0.84139509,1.45393071,0.84139509,1.21160893,0.494,0.551,0.00027607,0.00023006,0.5084,0.48,0.4628,0.28178151,0.00019172,0.00039755
8.0,0.506,0.537,0.2689,0.4688,0.4958,0.3284,0.84139509,1.21160893,0.84139509,1.21160893,0.504,0.47,0.00027607,0.00027607,0.5018,0.485,0.5349,0.28178151,0.00015976,0.00033129
9.0,0.5066,0.469,0.2557,0.4728,0.5019,0.3183,0.84139509,1.45393071,0.84139509,1.21160893,0.542,0.515,0.00023006,0.00023006,0.4915,0.514,0.5176,0.28178151,0.00013314,0.00033129
10.0,0.5071,0.5422,0.2526,0.461,0.4886,0.3085,0.84139509,1.21160893,0.84139509,1.21160893,0.528,0.488,0.00023006,0.00023006,0.4856,0.51,0.4749,0.28178151,0.00013314,0.00033129
