i,theta,chi2_min,chi2_avg,edge_p,edge_n,Ap_p,Ap_n,Ac_p,Ac_n
1.0,10.0,20.9525,31.8343,0.9999,-1.0003,0.35,0.35,0.15,0.15
2.0,9.0909,17.6129,28.9895,1.0005,-0.9976,0.35,0.35,0.15,0.15
3.0,8.2645,16.9304,29.4053,0.9996,-1.0028,0.35,0.35,0.15,0.15
4.0,7.5131,16.8084,26.6961,0.9994,-0.9998,0.35,0.35,0.1501,0.1499
5.0,6.8301,16.8084,24.5139,0.9989,-1.0001,0.35,0.35,0.15,0.15
6.0,6.2092,15.2498,23.182,0.9988,-1.0007,0.35,0.35,0.15,0.15
7.0,5.6447,13.9741,22.3204,0.9995,-0.9989,0.35,0.35,0.15,0.15
8.0,5.1316,13.3054,20.1289,0.9981,-0.9994,0.35,0.35,0.15,0.15
9.0,4.6651,11.7132,18.8415,0.9985,-0.9996,0.35,0.35,0.15,0.15
10.0,4.241,11.7132,17.2882,0.998,-1.0007,0.35,0.35,0.15,0.15
11.0,3.8554,10.2188,14.9327,0.9975,-1.0006,0.35,0.35,0.15,0.15
12.0,3.5049,9.6642,14.1961,0.9955,-1.0007,0.35,0.35,0.15,0.15
13.0,3.1863,8.4202,12.1349,0.9982,-0.9993,0.35,0.35,0.15,0.15
14.0,2.8966,7.1163,10.706,0.9977,-0.9986,0.35,0.35,0.15,0.15
15.0,2.6333,6.4117,9.3008,0.9955,-0.9988,0.35,0.35,0.15,0.15
16.0,2.3939,5.4581,7.7388,0.9954,-0.9977,0.35,0.35,0.15,0.15
17.0,2.1763,4.5762,7.7177,0.9943,-0.9988,0.35,0.35,0.15,0.15
18.0,1.9784,4.5762,6.7785,0.997,-0.9974,0.35,0.35,0.15,0.15
19.0,1.7986,4.3923,5.9953,0.9954,-0.9978,0.35,0.35,0.15,0.15
20.0,1.6351,4.3923,6.0282,0.9947,-0.9979,0.35,0.35,0.15,0.15
21.0,1.4864,3.5126,5.1256,0.9947,-0.9973,0.35,0.35,0.15,0.15
22.0,1.3513,3.3396,4.7219,0.9939,-0.998,0.35,0.35,0.15,0.15
23.0,1.2285,2.8814,4.5199,0.9945,-0.9977,0.35,0.35,0.15,0.15
24.0,1.1168,2.8332,4.0677,0.9946,-0.996,0.35,0.35,0.15,0.15
25.0,1.0153,2.8332,3.9696,0.9949,-0.997,0.35,0.35,0.15,0.15
26.0,0.923,2.7109,3.5806,0.9943,-0.9957,0.35,0.35,0.15,0.15
27.0,0.8391,2.6982,3.5564,0.9961,-0.9973,0.35,0.35,0.15,0.15
28.0,0.7628,2.2692,3.0192,0.994,-0.9976,0.35,0.35,0.15,0.15
29.0,0.6934,2.1476,2.9755,0.9946,-0.9963,0.35,0.35,0.15,0.15
30.0,0.6304,2.1039,2.7289,0.9942,-0.9968,0.35,0.35,0.15,0.15
31.0,0.5731,2.0634,2.6677,0.995,-0.9972,0.35,0.35,0.15,0.15
32.0,0.521,2.0201,2.4958,0.9949,-0.9977,0.35,0.35,0.15,0.15
33.0,0.4736,1.8341,2.2726,0.9955,-0.9974,0.35,0.35,0.15,0.15
34.0,0.4306,1.7912,2.3464,0.9951,-0.9974,0.35,0.35,0.15,0.15
35.0,0.3914,1.6808,2.0628,0.9954,-0.9975,0.35,0.35,0.15,0.15
36.0,0.3558,1.5862,1.8395,0.9957,-0.9976,0.35,0.35,0.15,0.15
37.0,0.3235,1.413,1.7673,0.9964,-0.9964,0.35,0.35,0.15,0.15
38.0,0.2941,1.413,1.6757,0.9961,-0.9968,0.35,0.35,0.15,0.15
