i,ar_pcont1,ar_pcont2,ar_pcont3,ar_ncont1,ar_ncont2,ar_ncont3,∆w_pcont1,∆w_pcont2,∆w_ncont1,∆w_ncont2,ar_ppeak,ar_npeak,∆w_ppeak,∆w_npeak,ar_wAc,ar_wAp,ar_Ap,∆w_Ac,∆w_Ap,∆Ap
1.0,0.4843,0.4877,0.7811,0.0,0.0,0.0,0.67945002,1.35890004,0.0,0.0,0.4686,0.0,0.00025719,0.0,0.0,0.0,0.0,0.0,0.0,5.0e-8
2.0,0.4823,0.4858,0.7866,0.0,0.0,0.0,0.67945002,1.35890004,0.0,0.0,0.5,0.0,0.00021433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.4757,0.4855,0.7849,0.0,0.0,0.0,0.67945002,1.35890004,0.0,0.0,0.5066,0.0,0.00021433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.4699,0.4855,0.7854,0.0,0.0,0.0,0.67945002,1.35890004,0.0,0.0,0.4848,0.0,0.00021433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.4637,0.4867,0.7817,0.0,0.0,0.0,0.67945002,1.35890004,0.0,0.0,0.4802,0.0,0.00021433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.458,0.4865,0.7869,0.0,0.0,0.0,0.67945002,1.35890004,0.0,0.0,0.4574,0.0,0.00021433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.5161,0.4846,0.7878,0.0,0.0,0.0,0.56620835,1.35890004,0.0,0.0,0.5158,0.0,0.00017861,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.5094,0.4815,0.789,0.0,0.0,0.0,0.56620835,1.35890004,0.0,0.0,0.5482,0.0,0.00014884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.5001,0.4869,0.7804,0.0,0.0,0.0,0.56620835,1.35890004,0.0,0.0,0.5478,0.0,0.00014884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.4953,0.4814,0.7901,0.0,0.0,0.0,0.56620835,1.35890004,0.0,0.0,0.5098,0.0,0.00014884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.4856,0.4839,0.7863,0.0,0.0,0.0,0.56620835,1.35890004,0.0,0.0,0.4462,0.0,0.00017861,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.4771,0.4832,0.7876,0.0,0.0,0.0,0.56620835,1.35890004,0.0,0.0,0.4928,0.0,0.00014884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.4682,0.4843,0.7873,0.0,0.0,0.0,0.56620835,1.35890004,0.0,0.0,0.481,0.0,0.00014884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.4603,0.4861,0.7878,0.0,0.0,0.0,0.56620835,1.35890004,0.0,0.0,0.521,0.0,0.00012403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.5148,0.478,0.7903,0.0,0.0,0.0,0.47184029,1.35890004,0.0,0.0,0.49,0.0,0.00012403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.5051,0.4814,0.7877,0.0,0.0,0.0,0.47184029,1.35890004,0.0,0.0,0.5644,0.0,0.00010336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.4941,0.4823,0.7869,0.0,0.0,0.0,0.47184029,1.35890004,0.0,0.0,0.5304,0.0,0.00010336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.4847,0.4791,0.7895,0.0,0.0,0.0,0.47184029,1.35890004,0.0,0.0,0.462,0.0,0.00012403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.474,0.4804,0.7929,0.0,0.0,0.0,0.47184029,1.35890004,0.0,0.0,0.499,0.0,0.00010336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.4618,0.4826,0.789,0.0,0.0,0.0,0.47184029,1.35890004,0.0,0.0,0.5454,0.0,8.613e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.5133,0.4824,0.7808,0.0,0.0,0.0,0.39320024,1.35890004,0.0,0.0,0.4968,0.0,0.00010336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.5027,0.4815,0.7847,0.0,0.0,0.0,0.39320024,1.35890004,0.0,0.0,0.499,0.0,8.613e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.491,0.4802,0.7868,0.0,0.0,0.0,0.39320024,1.35890004,0.0,0.0,0.5078,0.0,8.613e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.4781,0.4794,0.7874,0.0,0.0,0.0,0.39320024,1.35890004,0.0,0.0,0.4754,0.0,8.613e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.4664,0.4769,0.7844,0.0,0.0,0.0,0.39320024,1.35890004,0.0,0.0,0.5198,0.0,7.178e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.4534,0.4729,0.7909,0.0,0.0,0.0,0.39320024,1.35890004,0.0,0.0,0.4992,0.0,7.178e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.5049,0.4724,0.7914,0.0,0.0,0.0,0.32766687,1.35890004,0.0,0.0,0.4878,0.0,7.178e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.4912,0.4743,0.7831,0.0,0.0,0.0,0.32766687,1.35890004,0.0,0.0,0.465,0.0,7.178e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,0.4763,0.4728,0.7775,0.0,0.0,0.0,0.32766687,1.35890004,0.0,0.0,0.521,0.0,5.981e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.4629,0.4681,0.783,0.0,0.0,0.0,0.32766687,1.35890004,0.0,0.0,0.5002,0.0,5.981e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
