i,theta,chi2_min,chi2_avg,edge_p,edge_n,Ap_p,Ap_n,Ac_p,Ac_n
1.0,10.0,0.9076,5.6459,1.0001,-1.0001,0.35,0.35,0.15,0.15
2.0,9.0909,0.8642,4.9595,0.9995,-0.9995,0.35,0.35,0.15,0.15
3.0,8.2645,0.8642,4.4295,0.9987,-0.9987,0.35,0.35,0.15,0.15
4.0,7.5131,0.8603,3.7214,0.9995,-0.9995,0.35,0.35,0.15,0.15
5.0,6.8301,0.8603,3.3138,0.9997,-0.9997,0.35,0.35,0.15,0.15
6.0,6.2092,0.8603,2.9984,1.0001,-1.0001,0.35,0.35,0.15,0.15
7.0,5.6447,0.8603,2.724,1.0004,-1.0004,0.35,0.35,0.15,0.15
8.0,5.1316,0.8567,2.3795,0.998,-0.998,0.35,0.35,0.15,0.15
9.0,4.6651,0.8553,2.1315,0.9992,-0.9992,0.35,0.35,0.15,0.15
10.0,4.241,0.8543,1.9949,0.9994,-0.9994,0.35,0.35,0.15,0.15
11.0,3.8554,0.8539,1.8392,0.9999,-0.9999,0.35,0.35,0.15,0.15
12.0,3.5049,0.8539,1.6633,0.9996,-0.9996,0.35,0.35,0.15,0.15
13.0,3.1863,0.8539,1.5588,1.0002,-1.0002,0.35,0.35,0.15,0.15
14.0,2.8966,0.8539,1.4503,0.999,-0.999,0.35,0.35,0.15,0.15
15.0,2.6333,0.8537,1.3684,1.0001,-1.0001,0.35,0.35,0.15,0.15
16.0,2.3939,0.8537,1.2878,0.9986,-0.9986,0.35,0.35,0.15,0.15
17.0,2.1763,0.8535,1.2628,0.9993,-0.9993,0.35,0.35,0.15,0.15
18.0,1.9784,0.8535,1.2045,0.9994,-0.9994,0.35,0.35,0.15,0.15
19.0,1.7986,0.8527,1.1454,0.9988,-0.9988,0.35,0.35,0.15,0.15
20.0,1.6351,0.8527,1.1148,0.9994,-0.9994,0.35,0.35,0.15,0.15
21.0,1.4864,0.8527,1.1243,1.0,-1.0,0.35,0.35,0.15,0.15
