omega,S,S_p,S_c
-3.875,3.0001423269645345e-6,0.0,3.0001423269645345e-6
-3.87,0.0,0.0,0.0
-3.865,0.0,0.0,0.0
-3.86,0.0,0.0,0.0
-3.855,7.500355817411336e-7,0.0,7.500355817411336e-7
-3.85,0.0,0.0,0.0
-3.845,0.0,0.0,0.0
-3.84,0.0,0.0,0.0
-3.835,0.0,0.0,0.0
-3.83,0.0,0.0,0.0
-3.825,0.0,0.0,0.0
-3.8200000000000003,0.0,0.0,0.0
-3.815,0.0,0.0,0.0
-3.81,0.0,0.0,0.0
-3.805,0.0,0.0,0.0
-3.8000000000000003,0.0,0.0,0.0
-3.795,7.500355817411336e-7,0.0,7.500355817411336e-7
-3.79,0.0,0.0,0.0
-3.785,0.0,0.0,0.0
-3.7800000000000002,0.0,0.0,0.0
-3.775,0.0,0.0,0.0
-3.77,0.0,0.0,0.0
-3.765,3.0001423269645345e-6,0.0,3.0001423269645345e-6
-3.7600000000000002,0.0,0.0,0.0
-3.755,2.2501067452234008e-6,0.0,2.2501067452234008e-6
-3.75,7.500355817411336e-7,0.0,7.500355817411336e-7
-3.745,1.5000711634822673e-6,0.0,1.5000711634822673e-6
-3.74,0.0,0.0,0.0
-3.735,0.0,0.0,0.0
-3.73,7.500355817411336e-7,0.0,7.500355817411336e-7
-3.725,0.0,0.0,0.0
-3.72,1.5000711634822673e-6,0.0,1.5000711634822673e-6
-3.715,0.0,0.0,0.0
-3.71,2.2501067452234008e-6,0.0,2.2501067452234008e-6
-3.705,0.0,0.0,0.0
-3.7,3.0001423269645345e-6,0.0,3.0001423269645345e-6
-3.6950000000000003,3.7501779087056682e-6,0.0,3.7501779087056682e-6
-3.69,7.500355817411336e-7,0.0,7.500355817411336e-7
-3.685,7.500355817411336e-7,0.0,7.500355817411336e-7
-3.68,7.500355817411336e-7,0.0,7.500355817411336e-7
-3.6750000000000003,0.0,0.0,0.0
-3.67,2.2501067452234008e-6,0.0,2.2501067452234008e-6
-3.665,7.500355817411336e-7,0.0,7.500355817411336e-7
-3.66,0.0,0.0,0.0
-3.6550000000000002,1.5000711634822673e-6,0.0,1.5000711634822673e-6
-3.65,7.500355817411336e-7,0.0,7.500355817411336e-7
-3.645,1.5000711634822673e-6,0.0,1.5000711634822673e-6
-3.64,0.0,0.0,0.0
-3.6350000000000002,7.500355817411336e-7,0.0,7.500355817411336e-7
-3.63,0.0,0.0,0.0
-3.625,7.500355817411336e-7,0.0,7.500355817411336e-7
-3.62,7.500355817411336e-7,0.0,7.500355817411336e-7
-3.615,0.0,0.0,0.0
-3.61,3.0001423269645345e-6,0.0,3.0001423269645345e-6
-3.605,7.500355817411336e-7,0.0,7.500355817411336e-7
-3.6,7.500355817411336e-7,0.0,7.500355817411336e-7
-3.595,7.500355817411336e-7,0.0,7.500355817411336e-7
-3.59,2.2501067452234008e-6,0.0,2.2501067452234008e-6
-3.585,3.7501779087056674e-6,0.0,3.7501779087056674e-6
-3.58,1.5000711634822673e-6,0.0,1.5000711634822673e-6
-3.575,5.250249072187936e-6,0.0,5.250249072187936e-6
-3.5700000000000003,2.2501067452234008e-6,0.0,2.2501067452234008e-6
-3.565,3.7501779087056682e-6,0.0,3.7501779087056682e-6
-3.56,7.500355817411336e-7,0.0,7.500355817411336e-7
-3.555,1.5000711634822673e-6,0.0,1.5000711634822673e-6
-3.5500000000000003,3.7501779087056682e-6,0.0,3.7501779087056682e-6
-3.545,3.0001423269645345e-6,0.0,3.0001423269645345e-6
-3.54,0.0,0.0,0.0
-3.535,3.7501779087056682e-6,0.0,3.7501779087056682e-6
-3.5300000000000002,3.7501779087056682e-6,0.0,3.7501779087056682e-6
-3.525,7.5003558174113365e-6,0.0,7.5003558174113365e-6
-3.52,2.2501067452234008e-6,0.0,2.2501067452234008e-6
-3.515,3.7501779087056674e-6,0.0,3.7501779087056674e-6
-3.5100000000000002,2.2501067452234008e-6,0.0,2.2501067452234008e-6
-3.505,2.2501067452234008e-6,0.0,2.2501067452234008e-6
-3.5,7.500355817411335e-6,0.0,7.500355817411335e-6
-3.495,3.7501779087056682e-6,0.0,3.7501779087056682e-6
-3.49,7.500355817411336e-7,0.0,7.500355817411336e-7
-3.485,3.7501779087056682e-6,0.0,3.7501779087056682e-6
-3.48,1.5000711634822673e-6,0.0,1.5000711634822673e-6
-3.475,3.7501779087056674e-6,0.0,3.7501779087056674e-6
-3.47,3.7501779087056682e-6,0.0,3.7501779087056682e-6
-3.465,9.000426980893603e-6,0.0,9.000426980893603e-6
-3.46,3.0001423269645345e-6,0.0,3.0001423269645345e-6
-3.455,8.25039139915247e-6,0.0,8.25039139915247e-6
