i,ar_pcont1,ar_pcont2,ar_pcont3,ar_ncont1,ar_ncont2,ar_ncont3,∆w_pcont1,∆w_pcont2,∆w_ncont1,∆w_ncont2,ar_ppeak,ar_npeak,∆w_ppeak,∆w_npeak,ar_wAc,ar_wAp,ar_wApc,∆w_Ac,∆w_Ap,∆w_Apc
1.0,0.5028,0.4761,0.416,0.4923,0.5111,0.2246,0.3156414,0.90904722,0.1578207,0.43839083,0.5192,0.4933,4.978e-5,1.037e-5,0.0,0.0,0.3802,0.0,2.0e-10,4.37e-8
2.0,0.499,0.4727,0.4124,0.4887,0.5063,0.2223,0.3156414,0.90904722,0.1578207,0.43839083,0.5171,0.4804,4.978e-5,1.037e-5,0.0,0.0,0.3748,0.0,0.0,7.1e-9
3.0,0.4958,0.4696,0.4124,0.485,0.5012,0.2197,0.3156414,0.90904722,0.1578207,0.43839083,0.5102,0.4793,4.978e-5,1.037e-5,0.0,0.0,0.3664,0.0,0.0,1.1e-9
4.0,0.4916,0.4667,0.4067,0.4817,0.4968,0.218,0.3156414,0.90904722,0.1578207,0.43839083,0.4945,0.4714,4.978e-5,1.037e-5,0.0,0.0,0.3576,0.0,0.0,2.0e-10
5.0,0.4887,0.4644,0.408,0.478,0.4924,0.2158,0.3156414,0.90904722,0.1578207,0.43839083,0.4952,0.4784,4.978e-5,8.64e-6,0.0,0.0,0.3514,0.0,0.0,0.0
6.0,0.4852,0.4609,0.4061,0.4743,0.4877,0.2149,0.3156414,0.90904722,0.1578207,0.43839083,0.4895,0.4669,4.978e-5,8.64e-6,0.0,0.0,0.3443,0.0,0.0,0.0
7.0,0.4811,0.4576,0.3989,0.4708,0.4824,0.212,0.3156414,0.90904722,0.1578207,0.43839083,0.4823,0.465,4.978e-5,8.64e-6,0.0,0.0,0.3395,0.0,0.0,0.0
8.0,0.4777,0.455,0.3975,0.467,0.4779,0.2093,0.3156414,0.90904722,0.1578207,0.43839083,0.4763,0.4564,4.978e-5,7.2e-6,0.0,0.0,0.3306,0.0,0.0,0.0
9.0,0.4738,0.4516,0.3935,0.4633,0.4719,0.2076,0.3156414,0.90904722,0.1578207,0.43839083,0.4724,0.4501,4.978e-5,3.47e-6,0.0,0.0,0.3217,0.0,0.0,0.0
10.0,0.4707,0.5321,0.3931,0.4598,0.4677,0.2066,0.3156414,0.75753935,0.1578207,0.43839083,0.4633,0.4509,4.978e-5,6.7e-7,0.0,0.0,0.3182,0.0,0.0,0.0
11.0,0.467,0.5293,0.3912,0.4561,0.4634,0.2035,0.3156414,0.75753935,0.1578207,0.43839083,0.4625,0.4315,4.978e-5,1.3e-7,0.0,0.0,0.3108,0.0,0.0,0.0
12.0,0.463,0.5248,0.3865,0.4528,0.4585,0.2015,0.3156414,0.75753935,0.1578207,0.43839083,0.5098,0.4313,4.149e-5,2.0e-8,0.0,0.0,0.3034,0.0,0.0,0.0
13.0,0.4599,0.5221,0.3869,0.4969,0.4539,0.2004,0.3156414,0.75753935,0.13151725,0.43839083,0.5016,0.4242,4.149e-5,0.0,0.0,0.0,0.2983,0.0,0.0,0.0
14.0,0.4557,0.5178,0.3818,0.4932,0.5227,0.1978,0.3156414,0.75753935,0.13151725,0.36532569,0.5009,0.4149,4.149e-5,0.0,0.0,0.0,0.2871,0.0,0.0,0.0
15.0,0.4524,0.5134,0.3793,0.4889,0.5172,0.1953,0.3156414,0.75753935,0.13151725,0.36532569,0.4957,0.4101,4.149e-5,0.0,0.0,0.0,0.2799,0.0,0.0,0.0
16.0,0.5013,0.5106,0.3782,0.4856,0.512,0.1941,0.2630345,0.75753935,0.13151725,0.36532569,0.4935,0.4026,4.149e-5,0.0,0.0,0.0,0.2732,0.0,0.0,0.0
17.0,0.4976,0.5071,0.3756,0.4814,0.5064,0.1912,0.2630345,0.75753935,0.13151725,0.36532569,0.4851,0.3928,4.149e-5,0.0,0.0,0.0,0.2672,0.0,0.0,0.0
18.0,0.494,0.504,0.3734,0.4779,0.5007,0.1891,0.2630345,0.75753935,0.13151725,0.36532569,0.4777,0.3862,4.149e-5,0.0,0.0,0.0,0.2622,0.0,0.0,0.0
19.0,0.49,0.4999,0.369,0.4742,0.4974,0.1884,0.2630345,0.75753935,0.13151725,0.36532569,0.4717,0.3806,4.149e-5,0.0,0.0,0.0,0.2547,0.0,0.0,0.0
20.0,0.4864,0.496,0.3656,0.4708,0.4921,0.187,0.2630345,0.75753935,0.13151725,0.36532569,0.4615,0.3695,4.149e-5,0.0,0.0,0.0,0.2482,0.0,0.0,0.0
21.0,0.4826,0.4936,0.3652,0.4674,0.488,0.1854,0.2630345,0.75753935,0.13151725,0.36532569,0.4631,0.3704,4.149e-5,0.0,0.0,0.0,0.2396,0.0,0.0,0.0
22.0,0.4787,0.4897,0.361,0.4635,0.4818,0.1829,0.2630345,0.75753935,0.13151725,0.36532569,0.5051,0.3624,3.457e-5,0.0,0.0,0.0,0.2341,0.0,0.0,0.0
23.0,0.4754,0.4859,0.3593,0.4598,0.4769,0.1812,0.2630345,0.75753935,0.13151725,0.36532569,0.4985,0.359,3.457e-5,0.0,0.0,0.0,0.2248,0.0,0.0,0.0
24.0,0.4724,0.4829,0.3588,0.4562,0.4712,0.1787,0.2630345,0.75753935,0.13151725,0.36532569,0.4942,0.3498,3.457e-5,0.0,0.0,0.0,0.2168,0.0,0.0,0.0
