omega,S,S_p,S_c
-14.99,2.5558568790759657e-8,0.0,2.5558568790759657e-8
-14.985,2.3095555343518954e-8,0.0,2.3095555343518954e-8
-14.98,2.9954320586814785e-8,0.0,2.9954320586814785e-8
-14.975,2.0381482823794844e-8,0.0,2.0381482823794844e-8
-14.97,2.5320479181208248e-8,0.0,2.5320479181208248e-8
-14.965,2.1143328930042455e-8,0.0,2.1143328930042455e-8
-14.96,2.2825008206373467e-8,0.0,2.2825008206373467e-8
-14.955,2.5716555854595444e-8,0.0,2.5716555854595444e-8
-14.950000000000001,2.8796397807179974e-8,0.0,2.8796397807179974e-8
-14.945,2.5088908173386924e-8,0.0,2.5088908173386924e-8
-14.94,3.3197395018822395e-8,0.0,3.3197395018822395e-8
-14.935,2.762765585168048e-8,0.0,2.762765585168048e-8
-14.93,3.3421570323989125e-8,0.0,3.3421570323989125e-8
-14.925,3.241485540229809e-8,0.0,3.241485540229809e-8
-14.92,2.685499056956817e-8,0.0,2.685499056956817e-8
-14.915000000000001,3.296891913952106e-8,0.0,3.296891913952106e-8
-14.91,3.13716429830403e-8,0.0,3.13716429830403e-8
-14.905000000000001,3.0543936980151836e-8,0.0,3.0543936980151836e-8
-14.9,2.7760936983177475e-8,0.0,2.7760936983177475e-8
-14.895,3.133918545544622e-8,0.0,3.133918545544622e-8
-14.89,2.7887383812961272e-8,0.0,2.7887383812961272e-8
-14.885,3.17491764332181e-8,0.0,3.17491764332181e-8
-14.88,3.2235846483495534e-8,0.0,3.2235846483495534e-8
-14.875,3.3266678388673336e-8,0.0,3.3266678388673336e-8
-14.870000000000001,3.232950744099516e-8,0.0,3.232950744099516e-8
-14.865,3.513665196936691e-8,0.0,3.513665196936691e-8
-14.86,3.2165946616881987e-8,0.0,3.2165946616881987e-8
-14.855,3.5744811585913345e-8,0.0,3.5744811585913345e-8
-14.85,3.326077628370586e-8,0.0,3.326077628370586e-8
-14.845,3.6288056147271625e-8,0.0,3.6288056147271625e-8
-14.84,3.424060743808019e-8,0.0,3.424060743808019e-8
-14.835,2.6393698044213327e-8,0.0,2.6393698044213327e-8
-14.83,3.1323409016066736e-8,0.0,3.1323409016066736e-8
-14.825000000000001,3.956827212151921e-8,0.0,3.956827212151921e-8
-14.82,4.0909216242018676e-8,0.0,4.0909216242018676e-8
-14.815,3.601753655803674e-8,0.0,3.601753655803674e-8
-14.81,3.361422029830748e-8,0.0,3.361422029830748e-8
-14.805,3.924920286532765e-8,0.0,3.924920286532765e-8
-14.8,4.45106644042321e-8,0.0,4.45106644042321e-8
-14.795,4.635380931343018e-8,0.0,4.635380931343018e-8
-14.790000000000001,3.590748266439502e-8,0.0,3.590748266439502e-8
-14.785,4.675354251627879e-8,0.0,4.675354251627879e-8
-14.780000000000001,3.9769864233503857e-8,0.0,3.9769864233503857e-8
-14.775,4.975328192314768e-8,0.0,4.975328192314768e-8
-14.77,4.3434077163838134e-8,0.0,4.3434077163838134e-8
-14.765,4.120140173089355e-8,0.0,4.120140173089355e-8
-14.76,4.327517280646026e-8,0.0,4.327517280646026e-8
-14.755,4.38672402836441e-8,0.0,4.38672402836441e-8
-14.75,3.935987325573197e-8,0.0,3.935987325573197e-8
-14.745000000000001,4.0566030002340336e-8,0.0,4.0566030002340336e-8
-14.74,4.651639774818006e-8,0.0,4.651639774818006e-8
-14.735,4.220566556873779e-8,0.0,4.220566556873779e-8
-14.73,4.499671795774693e-8,0.0,4.499671795774693e-8
-14.725,4.1146388558027994e-8,0.0,4.1146388558027994e-8
-14.72,3.773878091254391e-8,0.0,3.773878091254391e-8
