i,ar_pcont1,ar_pcont2,ar_pcont3,ar_ncont1,ar_ncont2,ar_ncont3,∆w_pcont1,∆w_pcont2,∆w_ncont1,∆w_ncont2,ar_ppeak,ar_npeak,∆w_ppeak,∆w_npeak,ar_wAc,ar_wAp,ar_Ap,∆w_Ac,∆w_Ap,∆Ap
1.0,0.4849,0.5036,0.2363,0.4731,0.5063,0.1257,3.08250822,4.43881184,0.59741074,0.86027147,0.5262,0.5342,0.00251672,0.00084285,0.4769,0.5178,0.5632,0.34572381,0.00084285,0.00174773
2.0,0.5022,0.5247,0.2331,0.4804,0.5028,0.1171,3.08250822,4.43881184,0.59741074,0.86027147,0.467,0.4386,0.00302007,0.00101142,0.4782,0.4788,0.4337,0.34572381,0.00084285,0.00209727
3.0,0.5029,0.4577,0.2344,0.4778,0.5041,0.1162,3.08250822,5.32657421,0.59741074,0.86027147,0.53,0.513,0.00251672,0.00084285,0.4723,0.5378,0.53,0.34572381,0.00070237,0.00174773
4.0,0.4966,0.5236,0.237,0.483,0.505,0.1152,3.08250822,4.43881184,0.59741074,0.86027147,0.5598,0.5094,0.00251672,0.00084285,0.4747,0.505,0.4485,0.34572381,0.00084285,0.00209727
5.0,0.4975,0.5227,0.2364,0.4913,0.5211,0.1066,3.08250822,4.43881184,0.59741074,0.86027147,0.4798,0.4078,0.00302007,0.00084285,0.4818,0.3756,0.4071,0.34572381,0.00084285,0.00174773
6.0,0.5068,0.5384,0.2392,0.4904,0.5162,0.1087,3.08250822,4.43881184,0.59741074,0.86027147,0.4616,0.576,0.00302007,0.00070237,0.477,0.5548,0.5272,0.34572381,0.00070237,0.00174773
7.0,0.5064,0.5362,0.2401,0.487,0.5136,0.1066,3.08250822,4.43881184,0.59741074,0.86027147,0.46,0.4326,0.00302007,0.00084285,0.4776,0.453,0.4247,0.34572381,0.00070237,0.00174773
8.0,0.506,0.5373,0.2397,0.4825,0.509,0.1081,3.08250822,4.43881184,0.59741074,0.86027147,0.4528,0.5104,0.00302007,0.00084285,0.4738,0.5492,0.5047,0.34572381,0.00070237,0.00174773
9.0,0.5092,0.4782,0.239,0.4844,0.512,0.1003,3.08250822,5.32657421,0.59741074,0.86027147,0.5138,0.4348,0.00251672,0.00084285,0.4752,0.415,0.434,0.34572381,0.00084285,0.00174773
10.0,0.5054,0.4719,0.243,0.4863,0.5136,0.1016,3.08250822,5.32657421,0.59741074,0.86027147,0.5112,0.4718,0.00251672,0.00084285,0.4738,0.5298,0.4754,0.34572381,0.00070237,0.00174773
11.0,0.5069,0.4725,0.2292,0.4887,0.5175,0.0964,3.08250822,5.32657421,0.59741074,0.86027147,0.5062,0.561,0.00251672,0.00040647,0.473,0.5684,0.6047,0.34572381,0.00033872,0.00101142
12.0,0.5026,0.4667,0.2387,0.4827,0.5043,0.0996,3.08250822,5.32657421,0.59741074,0.86027147,0.5256,0.5144,0.00251672,0.00070237,0.4704,0.521,0.5492,0.34572381,0.00070237,0.00145644
13.0,0.4942,0.5232,0.2326,0.4846,0.4996,0.093,3.08250822,4.43881184,0.59741074,0.86027147,0.5022,0.3288,0.00251672,0.00070237,0.47,0.3082,0.273,0.34572381,0.00070237,0.00174773
14.0,0.494,0.5202,0.233,0.4851,0.5041,0.0919,3.08250822,4.43881184,0.59741074,0.86027147,0.491,0.5708,0.00251672,0.00058531,0.4684,0.5614,0.5274,0.34572381,0.00058531,0.00145644
15.0,0.5026,0.5276,0.2301,0.4878,0.5037,0.0946,3.08250822,4.43881184,0.59741074,0.86027147,0.4916,0.4946,0.00251672,0.00070237,0.4635,0.4784,0.5037,0.34572381,0.00070237,0.00145644
