i,theta,chi2_min,chi2_avg,edge_p,edge_n,Ap_p,Ap_n,Ac_p,Ac_n
1.0,15.0,12.8244,25.466,0.8021,-0.7974,0.0609,0.1891,0.1765,0.5735
2.0,14.2857,12.6678,22.7351,0.8092,-0.8005,0.0595,0.1905,0.1779,0.5721
3.0,13.6054,12.2161,22.3088,0.796,-0.8036,0.059,0.191,0.1782,0.5718
4.0,12.9576,11.9821,20.9051,0.8008,-0.8025,0.0585,0.1915,0.1787,0.5713
5.0,12.3405,11.9821,20.4729,0.8147,-0.7968,0.0587,0.1913,0.1786,0.5714
6.0,11.7529,9.8062,17.9525,0.8168,-0.8052,0.0583,0.1917,0.1791,0.5709
7.0,11.1932,9.8062,17.5463,0.8064,-0.807,0.0571,0.1929,0.1802,0.5698
8.0,10.6602,9.8062,16.6823,0.8004,-0.8003,0.0586,0.1914,0.1788,0.5712
9.0,10.1526,7.8977,15.2508,0.8155,-0.8041,0.0584,0.1916,0.1789,0.5711
10.0,9.6691,7.5551,13.396,0.8116,-0.8051,0.057,0.193,0.1803,0.5697
11.0,9.2087,7.1498,13.9227,0.8118,-0.8153,0.0556,0.1944,0.1815,0.5685
12.0,8.7702,7.1498,13.2558,0.8108,-0.7997,0.056,0.194,0.1812,0.5688
13.0,8.3526,7.1354,11.9852,0.8046,-0.8111,0.0555,0.1945,0.1818,0.5682
14.0,7.9548,7.1354,12.5516,0.8129,-0.8021,0.0559,0.1941,0.1812,0.5688
15.0,7.576,6.8344,11.8293,0.8099,-0.8076,0.0541,0.1959,0.183,0.567
16.0,7.2153,6.8344,11.6001,0.8012,-0.8037,0.0543,0.1957,0.183,0.567
17.0,6.8717,6.3949,10.7911,0.7976,-0.8114,0.0535,0.1965,0.1837,0.5663
18.0,6.5445,6.3949,9.8997,0.8036,-0.813,0.0541,0.1959,0.1831,0.5669
19.0,6.2328,5.5511,9.3348,0.818,-0.8104,0.0544,0.1956,0.1828,0.5672
20.0,5.936,5.5511,9.9151,0.8142,-0.8079,0.0547,0.1953,0.1825,0.5675
21.0,5.6533,5.5511,9.2936,0.8045,-0.8132,0.0543,0.1957,0.1829,0.5671
22.0,5.3841,5.5511,9.2374,0.8104,-0.8079,0.0543,0.1957,0.183,0.567
23.0,5.1277,4.9643,7.7732,0.8061,-0.817,0.0546,0.1954,0.1826,0.5674
24.0,4.8836,4.9643,7.9192,0.8043,-0.8135,0.0554,0.1946,0.1818,0.5682
