omega,S,S_p,S_c
-14.99,6.489090571930546e-5,0.0,6.489090571930546e-5
-14.985,6.528874144195272e-5,0.0,6.528874144195272e-5
-14.98,6.398245817130207e-5,0.0,6.398245817130207e-5
-14.975,6.443696496661366e-5,0.0,6.443696496661366e-5
-14.97,6.541377043670936e-5,0.0,6.541377043670936e-5
-14.965,6.319263184423985e-5,0.0,6.319263184423985e-5
-14.96,6.577724498376525e-5,0.0,6.577724498376525e-5
-14.955,6.64737626517867e-5,0.0,6.64737626517867e-5
-14.950000000000001,6.423058104220376e-5,0.0,6.423058104220376e-5
-14.945,6.53734921810905e-5,0.0,6.53734921810905e-5
-14.94,6.548534680608316e-5,0.0,6.548534680608316e-5
-14.935,6.500669268444892e-5,0.0,6.500669268444892e-5
-14.93,6.532148741589926e-5,0.0,6.532148741589926e-5
-14.925,6.803647784311964e-5,0.0,6.803647784311964e-5
-14.92,6.578865192496573e-5,0.0,6.578865192496573e-5
-14.915000000000001,6.625189725717268e-5,0.0,6.625189725717268e-5
-14.91,6.606594389854822e-5,0.0,6.606594389854822e-5
-14.905000000000001,6.555224555421096e-5,0.0,6.555224555421096e-5
-14.9,6.742601464647177e-5,0.0,6.742601464647177e-5
-14.895,6.648029731193588e-5,0.0,6.648029731193588e-5
-14.89,6.640148525584265e-5,0.0,6.640148525584265e-5
-14.885,6.474593213601232e-5,0.0,6.474593213601232e-5
-14.88,6.567161586658611e-5,0.0,6.567161586658611e-5
-14.875,6.529146362640672e-5,0.0,6.529146362640672e-5
-14.870000000000001,6.611982418351227e-5,0.0,6.611982418351227e-5
-14.865,6.830101546150651e-5,0.0,6.830101546150651e-5
-14.86,6.798030964686105e-5,0.0,6.798030964686105e-5
-14.855,6.661308990542635e-5,0.0,6.661308990542635e-5
-14.85,6.657724656982922e-5,0.0,6.657724656982922e-5
-14.845,6.649828035254322e-5,0.0,6.649828035254322e-5
-14.84,6.655831472561419e-5,0.0,6.655831472561419e-5
-14.835,6.83413460715919e-5,0.0,6.83413460715919e-5
-14.83,7.070055719352363e-5,0.0,7.070055719352363e-5
-14.825000000000001,6.895378401064848e-5,0.0,6.895378401064848e-5
-14.82,6.847901717958855e-5,0.0,6.847901717958855e-5
-14.815,6.778280698837464e-5,0.0,6.778280698837464e-5
-14.81,6.822586569350572e-5,0.0,6.822586569350572e-5
-14.805,6.947142973090959e-5,0.0,6.947142973090959e-5
-14.8,6.943356465867135e-5,0.0,6.943356465867135e-5
-14.795,7.076098191802437e-5,0.0,7.076098191802437e-5
-14.790000000000001,6.818905119157995e-5,0.0,6.818905119157995e-5
-14.785,6.84683206799819e-5,0.0,6.84683206799819e-5
-14.780000000000001,6.913007670638373e-5,0.0,6.913007670638373e-5
-14.775,6.799280153979299e-5,0.0,6.799280153979299e-5
-14.77,7.033760299883924e-5,0.0,7.033760299883924e-5
-14.765,6.872132464158481e-5,0.0,6.872132464158481e-5
-14.76,6.850511548962015e-5,0.0,6.850511548962015e-5
-14.755,7.268743560807182e-5,0.0,7.268743560807182e-5
-14.75,6.782393195386123e-5,0.0,6.782393195386123e-5
-14.745000000000001,7.053725580658743e-5,0.0,7.053725580658743e-5
-14.74,6.998685700818723e-5,0.0,6.998685700818723e-5
-14.735,6.977457933708879e-5,0.0,6.977457933708879e-5
-14.73,6.871630887316127e-5,0.0,6.871630887316127e-5
-14.725,6.953470120460945e-5,0.0,6.953470120460945e-5
-14.72,7.132549098109724e-5,0.0,7.132549098109724e-5
-14.715,7.127520982877684e-5,0.0,7.127520982877684e-5
-14.71,7.144028973662078e-5,0.0,7.144028973662078e-5
-14.705,7.1369147605617e-5,0.0,7.1369147605617e-5
-14.700000000000001,7.289329201284443e-5,0.0,7.289329201284443e-5
-14.695,7.069563260558635e-5,0.0,7.069563260558635e-5
-14.69,7.082431502779257e-5,0.0,7.082431502779257e-5
-14.685,6.887834226712834e-5,0.0,6.887834226712834e-5
-14.68,6.955526566984853e-5,0.0,6.955526566984853e-5
-14.675,7.206015550166154e-5,0.0,7.206015550166154e-5
-14.67,7.114555634386714e-5,0.0,7.114555634386714e-5
-14.665000000000001,7.081105127471879e-5,0.0,7.081105127471879e-5
-14.66,6.892918398433028e-5,0.0,6.892918398433028e-5
-14.655000000000001,7.215974947308128e-5,0.0,7.215974947308128e-5
-14.65,7.205729587726929e-5,0.0,7.205729587726929e-5
-14.645,7.177482824487266e-5,0.0,7.177482824487266e-5
-14.64,7.153862064390035e-5,0.0,7.153862064390035e-5
-14.635,7.407425215169553e-5,0.0,7.407425215169553e-5
-14.63,7.175873737758987e-5,0.0,7.175873737758987e-5
-14.625,7.21710034668398e-5,0.0,7.21710034668398e-5
-14.620000000000001,7.360167085696678e-5,0.0,7.360167085696678e-5
-14.615,7.394704301769051e-5,0.0,7.394704301769051e-5
-14.61,7.390120229480643e-5,0.0,7.390120229480643e-5
-14.605,7.516075144134419e-5,0.0,7.516075144134419e-5
-14.6,7.219118119309436e-5,0.0,7.219118119309436e-5
-14.595,7.486262155910039e-5,0.0,7.486262155910039e-5
-14.59,7.255514961200861e-5,0.0,7.255514961200861e-5
-14.585,7.54112087310738e-5,0.0,7.54112087310738e-5
-14.58,7.367416472702808e-5,0.0,7.367416472702808e-5
-14.575000000000001,7.595090391777195e-5,0.0,7.595090391777195e-5
-14.57,7.539499521714028e-5,0.0,7.539499521714028e-5
-14.565,7.448267749868962e-5,0.0,7.448267749868962e-5
