i,theta,chi2_min,chi2_avg,edge_p,edge_n,Ap_p,Ap_n,Ac_p,Ac_n
1.0,15.0,45.9929,70.3101,0.8805,-0.8668,0.1269,0.5231,0.1107,0.2393
2.0,14.2857,40.1649,65.3823,0.87,-0.8669,0.1187,0.5313,0.1188,0.2312
3.0,13.6054,36.6997,61.2674,0.8614,-0.87,0.1135,0.5365,0.1239,0.2261
4.0,12.9576,36.6997,56.1792,0.8561,-0.8712,0.1113,0.5387,0.1262,0.2238
5.0,12.3405,33.5836,51.6971,0.8586,-0.8714,0.1105,0.5395,0.127,0.223
6.0,11.7529,32.5163,49.8305,0.8585,-0.872,0.1104,0.5396,0.1271,0.2229
7.0,11.1932,30.6165,46.4466,0.855,-0.8725,0.11,0.54,0.1274,0.2226
8.0,10.6602,26.7696,44.4001,0.8542,-0.8724,0.11,0.54,0.1274,0.2226
9.0,10.1526,25.458,41.3758,0.8629,-0.8718,0.1101,0.5399,0.1274,0.2226
10.0,9.6691,24.0554,38.8003,0.8641,-0.8703,0.1103,0.5397,0.1271,0.2229
11.0,9.2087,23.4702,35.835,0.8592,-0.8717,0.1095,0.5405,0.1278,0.2222
12.0,8.7702,21.5202,35.8976,0.8569,-0.8713,0.1095,0.5405,0.1279,0.2221
13.0,8.3526,18.4259,32.5759,0.8577,-0.8731,0.1087,0.5413,0.1287,0.2213
14.0,7.9548,18.4259,30.0927,0.8534,-0.8717,0.1087,0.5413,0.1287,0.2213
15.0,7.576,18.4259,28.565,0.8567,-0.8715,0.1087,0.5413,0.1287,0.2213
16.0,7.2153,16.3022,27.6692,0.8598,-0.8727,0.1083,0.5417,0.1291,0.2209
17.0,6.8717,15.7947,25.1117,0.8576,-0.8712,0.1087,0.5413,0.1286,0.2214
18.0,6.5445,15.1121,24.3899,0.8616,-0.8723,0.1083,0.5417,0.129,0.221
19.0,6.2328,14.6497,23.6264,0.8603,-0.8707,0.1085,0.5415,0.1289,0.2211
20.0,5.936,13.7546,21.3397,0.8532,-0.8719,0.1085,0.5415,0.1288,0.2212
21.0,5.6533,12.5516,20.2617,0.86,-0.871,0.1084,0.5416,0.129,0.221
22.0,5.3841,12.5516,20.0033,0.8604,-0.8716,0.1081,0.5419,0.1293,0.2207
23.0,5.1277,12.0325,19.1614,0.8539,-0.8713,0.1081,0.5419,0.1292,0.2208
24.0,4.8836,10.8708,17.3465,0.8532,-0.8724,0.1076,0.5424,0.1296,0.2204
25.0,4.651,10.6033,16.6206,0.856,-0.872,0.1077,0.5423,0.1295,0.2205
26.0,4.4295,9.3575,15.6943,0.8496,-0.8715,0.1076,0.5424,0.1296,0.2204
27.0,4.2186,9.3575,15.3437,0.8605,-0.8721,0.1074,0.5426,0.1299,0.2201
28.0,4.0177,9.3575,14.5815,0.853,-0.873,0.1069,0.5431,0.1304,0.2196
29.0,3.8264,8.8495,13.3398,0.8519,-0.8715,0.1068,0.5432,0.1304,0.2196
30.0,3.6442,7.5443,12.9058,0.855,-0.8726,0.1066,0.5434,0.1306,0.2194
