i,ar_pcont1,ar_pcont2,ar_pcont3,ar_ncont1,ar_ncont2,ar_ncont3,∆w_pcont1,∆w_pcont2,∆w_ncont1,∆w_ncont2,ar_ppeak,ar_npeak,∆w_ppeak,∆w_npeak,ar_wAc,ar_wAp,ar_Ap,∆w_Ac,∆w_Ap,∆Ap
1.0,0.4797,0.5185,0.1751,0.4875,0.4741,0.1088,2.21732209,3.1929438,1.06931042,1.84776841,0.4792,0.5065,8.16e-5,8.16e-5,0.4702,0.3246,0.4607,0.42973188,5.667e-5,8.16e-5
2.0,0.4875,0.5224,0.1699,0.4961,0.4841,0.1087,2.21732209,3.1929438,1.06931042,1.84776841,0.5115,0.4989,6.8e-5,8.16e-5,0.4729,0.5178,0.5193,0.42973188,2.733e-5,6.8e-5
3.0,0.4889,0.5202,0.1659,0.4967,0.4823,0.1061,2.21732209,3.1929438,1.06931042,1.84776841,0.4895,0.4714,6.8e-5,8.16e-5,0.4672,0.4939,0.4885,0.42973188,2.733e-5,6.8e-5
4.0,0.489,0.5223,0.1648,0.5041,0.4966,0.1064,2.21732209,3.1929438,1.06931042,1.84776841,0.4914,0.5178,6.8e-5,6.8e-5,0.4693,0.4828,0.4611,0.42973188,2.733e-5,6.8e-5
5.0,0.485,0.5152,0.1623,0.5025,0.4875,0.1026,2.21732209,3.1929438,1.06931042,1.84776841,0.52,0.4878,5.667e-5,6.8e-5,0.4632,0.504,0.5151,0.42973188,2.277e-5,5.667e-5
6.0,0.478,0.5008,0.1546,0.5032,0.49,0.1021,2.21732209,3.1929438,1.06931042,1.84776841,0.5001,0.485,5.667e-5,6.8e-5,0.457,0.4873,0.4901,0.42973188,2.277e-5,5.667e-5
7.0,0.4734,0.4958,0.1518,0.5042,0.486,0.1012,2.21732209,3.1929438,1.06931042,1.84776841,0.467,0.5106,5.667e-5,5.667e-5,0.4875,0.4807,0.4614,0.3581099,2.277e-5,5.667e-5
8.0,0.4699,0.4892,0.1505,0.5012,0.4842,0.0991,2.21732209,3.1929438,1.06931042,1.84776841,0.5278,0.502,4.722e-5,5.667e-5,0.4824,0.5079,0.5157,0.3581099,1.898e-5,4.722e-5
9.0,0.4609,0.4807,0.1488,0.5018,0.4819,0.0957,2.21732209,3.1929438,1.06931042,1.84776841,0.4984,0.493,4.722e-5,5.667e-5,0.479,0.4888,0.4855,0.3581099,1.898e-5,4.722e-5
10.0,0.4556,0.4752,0.1474,0.4951,0.4703,0.0943,2.21732209,3.1929438,1.06931042,1.84776841,0.4831,0.5228,4.722e-5,4.722e-5,0.4728,0.4594,0.4569,0.3581099,1.898e-5,4.722e-5
11.0,0.4743,0.5124,0.1425,0.4978,0.4728,0.0946,1.84776841,2.6607865,1.06931042,1.84776841,0.5276,0.5059,3.935e-5,4.722e-5,0.4689,0.5155,0.5073,0.3581099,1.318e-5,3.935e-5
12.0,0.4759,0.5136,0.143,0.4857,0.4936,0.0867,1.84776841,2.6607865,1.06931042,1.539807,0.5059,0.4909,3.935e-5,4.722e-5,0.4574,0.496,0.477,0.3581099,1.318e-5,3.935e-5
13.0,0.4659,0.501,0.1386,0.484,0.4877,0.0855,1.84776841,2.6607865,1.06931042,1.539807,0.5375,0.5207,3.279e-5,3.935e-5,0.4868,0.4677,0.5215,0.29842491,1.318e-5,3.279e-5
14.0,0.4645,0.4911,0.1326,0.4778,0.4817,0.0848,1.84776841,2.6607865,1.06931042,1.539807,0.5159,0.5012,3.279e-5,3.935e-5,0.4785,0.5112,0.4943,0.29842491,1.098e-5,3.279e-5
15.0,0.4911,0.4823,0.1282,0.4774,0.4788,0.0838,1.539807,2.6607865,1.06931042,1.539807,0.5069,0.5297,3.279e-5,3.279e-5,0.4752,0.4727,0.451,0.29842491,1.098e-5,3.279e-5
16.0,0.4798,0.5183,0.1258,0.4685,0.5051,0.0808,1.539807,2.21732209,1.06931042,1.2831725,0.479,0.5179,3.279e-5,3.279e-5,0.4595,0.4961,0.5029,0.29842491,7.63e-6,2.733e-5
17.0,0.4749,0.5078,0.1178,0.4677,0.5084,0.081,1.539807,2.21732209,1.06931042,1.2831725,0.5092,0.5013,2.733e-5,3.279e-5,0.4591,0.4714,0.4642,0.29842491,6.36e-6,2.733e-5
