i,theta,chi2_min,chi2_avg,edge_p,edge_n,Ap_p,Ap_n,Ac_p,Ac_n
1.0,10.0,2.705,5.8037,0.7315,-0.7234,0.3694,0.3306,0.1314,0.1686
2.0,9.0909,2.6594,4.8462,0.7291,-0.7215,0.3694,0.3306,0.1313,0.1687
3.0,8.2645,2.2538,4.6878,0.7297,-0.722,0.3694,0.3306,0.1316,0.1684
4.0,7.5131,2.2538,4.3386,0.7297,-0.7219,0.3694,0.3306,0.1314,0.1686
5.0,6.8301,2.2538,4.1244,0.7296,-0.722,0.3694,0.3306,0.1314,0.1686
6.0,6.2092,2.2302,3.6486,0.73,-0.724,0.3694,0.3306,0.1318,0.1682
7.0,5.6447,1.9186,3.4574,0.7302,-0.7246,0.3695,0.3305,0.1313,0.1687
8.0,5.1316,1.9169,3.5707,0.7306,-0.7241,0.3695,0.3305,0.1314,0.1686
9.0,4.6651,1.9169,3.2549,0.7303,-0.7241,0.3695,0.3305,0.1312,0.1688
10.0,4.241,1.9169,3.0809,0.7307,-0.724,0.3695,0.3305,0.1312,0.1688
11.0,3.8554,1.7855,2.7162,0.7306,-0.7245,0.3695,0.3305,0.1313,0.1687
12.0,3.5049,1.7855,2.7362,0.7306,-0.7244,0.3695,0.3305,0.1313,0.1687
13.0,3.1863,1.7855,2.6892,0.7299,-0.7239,0.3695,0.3305,0.1311,0.1689
14.0,2.8966,1.5412,2.5148,0.7303,-0.724,0.3696,0.3304,0.1311,0.1689
15.0,2.6333,1.5412,2.3842,0.7305,-0.7245,0.3696,0.3304,0.1312,0.1688
16.0,2.3939,1.5412,2.3228,0.7298,-0.7232,0.3696,0.3304,0.1313,0.1687
17.0,2.1763,1.5412,2.1223,0.7299,-0.7235,0.3696,0.3304,0.1311,0.1689
18.0,1.9784,1.5412,2.1225,0.7302,-0.7231,0.3696,0.3304,0.1311,0.1689
19.0,1.7986,1.5412,2.0286,0.7296,-0.7238,0.3696,0.3304,0.1311,0.1689
20.0,1.6351,1.5412,1.9581,0.7298,-0.7241,0.3696,0.3304,0.1311,0.1689
21.0,1.4864,1.4052,1.8415,0.7298,-0.7233,0.3696,0.3304,0.131,0.169
22.0,1.3513,1.4052,1.7202,0.7299,-0.7243,0.3696,0.3304,0.1312,0.1688
23.0,1.2285,1.3885,1.7196,0.7296,-0.7239,0.3696,0.3304,0.1306,0.1694
24.0,1.1168,1.3397,1.6629,0.7298,-0.7241,0.3696,0.3304,0.131,0.169
25.0,1.0153,1.2428,1.5386,0.7303,-0.7249,0.3696,0.3304,0.1309,0.1691
26.0,0.923,1.2428,1.5359,0.7307,-0.7256,0.3696,0.3304,0.131,0.169
27.0,0.8391,1.2428,1.5195,0.7301,-0.7251,0.3696,0.3304,0.131,0.169
28.0,0.7628,1.2428,1.5228,0.7302,-0.7252,0.3696,0.3304,0.1309,0.1691
29.0,0.6934,1.216,1.4551,0.7301,-0.7249,0.3696,0.3304,0.131,0.169
30.0,0.6304,1.216,1.4076,0.73,-0.7249,0.3696,0.3304,0.131,0.169
31.0,0.5731,1.216,1.4089,0.7301,-0.725,0.3696,0.3304,0.1308,0.1692
32.0,0.521,1.216,1.3401,0.73,-0.7251,0.3696,0.3304,0.1309,0.1691
33.0,0.4736,1.1599,1.2676,0.7298,-0.7249,0.3696,0.3304,0.1309,0.1691
34.0,0.4306,1.1551,1.2719,0.7296,-0.7244,0.3696,0.3304,0.1308,0.1692
35.0,0.3914,1.1551,1.2513,0.7298,-0.7241,0.3696,0.3304,0.1309,0.1691
36.0,0.3558,1.1551,1.2414,0.7293,-0.724,0.3696,0.3304,0.1309,0.1691
37.0,0.3235,1.1234,1.1858,0.7293,-0.724,0.3696,0.3304,0.1307,0.1693
38.0,0.2941,1.1122,1.1888,0.7294,-0.7243,0.3696,0.3304,0.1308,0.1692
39.0,0.2673,1.111,1.2016,0.7295,-0.7244,0.3696,0.3304,0.1308,0.1692
40.0,0.243,1.111,1.1691,0.7294,-0.7245,0.3696,0.3304,0.1307,0.1693
41.0,0.2209,1.111,1.164,0.7294,-0.7246,0.3696,0.3304,0.1308,0.1692
42.0,0.2009,1.0959,1.152,0.7294,-0.7246,0.3696,0.3304,0.1307,0.1693
43.0,0.1826,1.0915,1.1306,0.7293,-0.7246,0.3696,0.3304,0.1308,0.1692
44.0,0.166,1.0883,1.1289,0.7292,-0.7243,0.3696,0.3304,0.1307,0.1693
45.0,0.1509,1.0824,1.1083,0.7292,-0.7241,0.3696,0.3304,0.1307,0.1693
46.0,0.1372,1.0753,1.1091,0.7291,-0.7237,0.3696,0.3304,0.1307,0.1693
47.0,0.1247,1.0753,1.1073,0.7291,-0.7237,0.3696,0.3304,0.1307,0.1693
