i,ar_pcont1,ar_pcont2,ar_pcont3,ar_ncont1,ar_ncont2,ar_ncont3,∆w_pcont1,∆w_pcont2,∆w_ncont1,∆w_ncont2,ar_ppeak,ar_npeak,∆w_ppeak,∆w_npeak,ar_wAc,ar_wAp,ar_Ap,∆w_Ac,∆w_Ap,∆Ap
1.0,0.5096,0.4869,0.6672,0.0,0.0,0.0,3.45399205,7.99535197,0.0,0.0,0.5064,0.0,0.00063051,0.0,0.0,0.0,0.0,0.0,0.0,4.0e-8
2.0,0.5087,0.48,0.666,0.0,0.0,0.0,3.45399205,7.99535197,0.0,0.0,0.4886,0.0,0.00063051,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.5068,0.48,0.6637,0.0,0.0,0.0,3.45399205,7.99535197,0.0,0.0,0.48,0.0,0.00063051,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.5046,0.4772,0.6626,0.0,0.0,0.0,3.45399205,7.99535197,0.0,0.0,0.4666,0.0,0.00063051,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.5009,0.4744,0.6609,0.0,0.0,0.0,3.45399205,7.99535197,0.0,0.0,0.5172,0.0,0.00052543,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.4993,0.4686,0.658,0.0,0.0,0.0,3.45399205,7.99535197,0.0,0.0,0.5028,0.0,0.00052543,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.496,0.4666,0.6565,0.0,0.0,0.0,3.45399205,7.99535197,0.0,0.0,0.4864,0.0,0.00052543,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.4936,0.4634,0.6544,0.0,0.0,0.0,3.45399205,7.99535197,0.0,0.0,0.467,0.0,0.00052543,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.4903,0.4616,0.6504,0.0,0.0,0.0,3.45399205,7.99535197,0.0,0.0,0.522,0.0,0.00043786,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.4881,0.4574,0.6493,0.0,0.0,0.0,3.45399205,7.99535197,0.0,0.0,0.5262,0.0,0.00043786,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.4825,0.5384,0.6477,0.0,0.0,0.0,3.45399205,6.66279331,0.0,0.0,0.4718,0.0,0.00043786,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.4776,0.5328,0.646,0.0,0.0,0.0,3.45399205,6.66279331,0.0,0.0,0.5368,0.0,0.00036488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.4728,0.5295,0.6405,0.0,0.0,0.0,3.45399205,6.66279331,0.0,0.0,0.5248,0.0,0.00036488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.4684,0.5245,0.6398,0.0,0.0,0.0,3.45399205,6.66279331,0.0,0.0,0.4896,0.0,0.00036488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.4624,0.52,0.6393,0.0,0.0,0.0,3.45399205,6.66279331,0.0,0.0,0.4972,0.0,0.00036488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.4563,0.5143,0.6365,0.0,0.0,0.0,3.45399205,6.66279331,0.0,0.0,0.483,0.0,0.00036488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.503,0.508,0.6365,0.0,0.0,0.0,2.87832671,6.66279331,0.0,0.0,0.4462,0.0,0.00036488,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.4971,0.5079,0.6324,0.0,0.0,0.0,2.87832671,6.66279331,0.0,0.0,0.5146,0.0,0.00030407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.4906,0.5006,0.628,0.0,0.0,0.0,2.87832671,6.66279331,0.0,0.0,0.4964,0.0,0.00030407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.4822,0.4951,0.626,0.0,0.0,0.0,2.87832671,6.66279331,0.0,0.0,0.4582,0.0,0.00030407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.4752,0.4881,0.6228,0.0,0.0,0.0,2.87832671,6.66279331,0.0,0.0,0.4424,0.0,0.00030407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.4668,0.4832,0.6228,0.0,0.0,0.0,2.87832671,6.66279331,0.0,0.0,0.4892,0.0,0.00025339,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.4583,0.4778,0.6193,0.0,0.0,0.0,2.87832671,6.66279331,0.0,0.0,0.477,0.0,0.00025339,0.0,0.0,0.0,0.0,0.0,0.0,0.0
