i,theta,chi2_min,chi2_avg,edge_p,edge_n,Ap_p,Ap_n,Ac_p,Ac_n
1.0,10.0,2.5065,5.6292,0.72,-0.72,0.35,0.35,0.15,0.15
2.0,9.0909,2.4478,5.2205,0.722,-0.722,0.35,0.35,0.15,0.15
3.0,8.2645,2.1973,4.6471,0.7223,-0.7223,0.35,0.35,0.15,0.15
4.0,7.5131,2.0501,4.297,0.7213,-0.7213,0.35,0.35,0.15,0.15
5.0,6.8301,1.8867,4.1296,0.7221,-0.7221,0.35,0.35,0.15,0.15
6.0,6.2092,1.6922,3.5657,0.7221,-0.7221,0.35,0.35,0.15,0.15
7.0,5.6447,1.6922,3.4121,0.7218,-0.7218,0.35,0.35,0.15,0.15
8.0,5.1316,1.6778,3.104,0.7223,-0.7223,0.35,0.35,0.15,0.15
9.0,4.6651,1.5423,2.8417,0.7225,-0.7225,0.35,0.35,0.15,0.15
10.0,4.241,1.5065,2.6575,0.7227,-0.7227,0.35,0.35,0.15,0.15
11.0,3.8554,1.4331,2.5517,0.7224,-0.7224,0.35,0.35,0.15,0.15
12.0,3.5049,1.4331,2.4029,0.723,-0.723,0.35,0.35,0.15,0.15
13.0,3.1863,1.3625,2.1996,0.724,-0.724,0.35,0.35,0.15,0.15
14.0,2.8966,1.3625,2.0886,0.7232,-0.7232,0.35,0.35,0.15,0.15
15.0,2.6333,1.3081,2.0115,0.7228,-0.7228,0.35,0.35,0.15,0.15
16.0,2.3939,1.3081,1.92,0.7225,-0.7225,0.35,0.35,0.15,0.15
17.0,2.1763,1.3081,1.843,0.7237,-0.7237,0.35,0.35,0.15,0.15
18.0,1.9784,1.2958,1.7515,0.7234,-0.7234,0.35,0.35,0.15,0.15
19.0,1.7986,1.2958,1.6599,0.7232,-0.7232,0.35,0.35,0.15,0.15
20.0,1.6351,1.2958,1.6398,0.723,-0.723,0.35,0.35,0.15,0.15
21.0,1.4864,1.2885,1.5751,0.7232,-0.7232,0.35,0.35,0.15,0.15
22.0,1.3513,1.2885,1.5471,0.7239,-0.7239,0.35,0.35,0.15,0.15
23.0,1.2285,1.2805,1.5184,0.7231,-0.7231,0.35,0.35,0.15,0.15
24.0,1.1168,1.2705,1.4817,0.7237,-0.7237,0.35,0.35,0.15,0.15
25.0,1.0153,1.2705,1.4487,0.7238,-0.7238,0.35,0.35,0.15,0.15
26.0,0.923,1.27,1.4351,0.724,-0.724,0.35,0.35,0.15,0.15
27.0,0.8391,1.27,1.4173,0.7247,-0.7247,0.35,0.35,0.15,0.15
28.0,0.7628,1.27,1.386,0.7241,-0.7241,0.35,0.35,0.15,0.15
29.0,0.6934,1.2602,1.3756,0.724,-0.724,0.35,0.35,0.15,0.15
30.0,0.6304,1.2561,1.3655,0.7245,-0.7245,0.35,0.35,0.15,0.15
31.0,0.5731,1.2561,1.3465,0.7244,-0.7244,0.35,0.35,0.15,0.15
32.0,0.521,1.2561,1.3432,0.724,-0.724,0.35,0.35,0.15,0.15
33.0,0.4736,1.2554,1.3345,0.724,-0.724,0.35,0.35,0.15,0.15
34.0,0.4306,1.2554,1.3334,0.7236,-0.7236,0.35,0.35,0.15,0.15
35.0,0.3914,1.2554,1.3166,0.724,-0.724,0.35,0.35,0.15,0.15
36.0,0.3558,1.2494,1.3083,0.7241,-0.7241,0.35,0.35,0.15,0.15
37.0,0.3235,1.2494,1.3066,0.7244,-0.7244,0.35,0.35,0.15,0.15
38.0,0.2941,1.2494,1.3046,0.7235,-0.7235,0.35,0.35,0.15,0.15
39.0,0.2673,1.2494,1.2932,0.7236,-0.7236,0.35,0.35,0.15,0.15
40.0,0.243,1.2494,1.2949,0.724,-0.724,0.35,0.35,0.15,0.15
41.0,0.2209,1.2494,1.2863,0.724,-0.724,0.35,0.35,0.15,0.15
42.0,0.2009,1.2483,1.2856,0.7244,-0.7244,0.35,0.35,0.15,0.15
43.0,0.1826,1.2472,1.2826,0.724,-0.724,0.35,0.35,0.15,0.15
44.0,0.166,1.2453,1.2775,0.7244,-0.7244,0.35,0.35,0.15,0.15
45.0,0.1509,1.2384,1.2753,0.7246,-0.7246,0.35,0.35,0.15,0.15
46.0,0.1372,1.2384,1.2694,0.7246,-0.7246,0.35,0.35,0.15,0.15
47.0,0.1247,1.2384,1.2719,0.7245,-0.7245,0.35,0.35,0.15,0.15
48.0,0.1134,1.2384,1.2668,0.7246,-0.7246,0.35,0.35,0.15,0.15
49.0,0.1031,1.2384,1.263,0.7243,-0.7243,0.35,0.35,0.15,0.15
50.0,0.0937,1.2379,1.2591,0.7248,-0.7248,0.35,0.35,0.15,0.15
51.0,0.0852,1.2379,1.2574,0.7246,-0.7246,0.35,0.35,0.15,0.15
52.0,0.0774,1.2365,1.2529,0.7247,-0.7247,0.35,0.35,0.15,0.15
53.0,0.0704,1.2345,1.2525,0.7244,-0.7244,0.35,0.35,0.15,0.15
54.0,0.064,1.2329,1.2502,0.7248,-0.7248,0.35,0.35,0.15,0.15
55.0,0.0582,1.2299,1.2455,0.7247,-0.7247,0.35,0.35,0.15,0.15
56.0,0.0529,1.2298,1.2462,0.7247,-0.7247,0.35,0.35,0.15,0.15
57.0,0.0481,1.2264,1.2438,0.7251,-0.7251,0.35,0.35,0.15,0.15
58.0,0.0437,1.2264,1.2398,0.7249,-0.7249,0.35,0.35,0.15,0.15
59.0,0.0397,1.2264,1.2382,0.7253,-0.7253,0.35,0.35,0.15,0.15
60.0,0.0361,1.2257,1.2369,0.7246,-0.7246,0.35,0.35,0.15,0.15
61.0,0.0328,1.2239,1.2351,0.7253,-0.7253,0.35,0.35,0.15,0.15
62.0,0.0299,1.2239,1.2322,0.7253,-0.7253,0.35,0.35,0.15,0.15
63.0,0.0271,1.2221,1.2311,0.7252,-0.7252,0.35,0.35,0.15,0.15
64.0,0.0247,1.2221,1.231,0.7254,-0.7254,0.35,0.35,0.15,0.15
65.0,0.0224,1.2213,1.2287,0.7254,-0.7254,0.35,0.35,0.15,0.15
66.0,0.0204,1.2213,1.2279,0.7253,-0.7253,0.35,0.35,0.15,0.15
67.0,0.0185,1.2213,1.228,0.7251,-0.7251,0.35,0.35,0.15,0.15
68.0,0.0169,1.2213,1.2264,0.7254,-0.7254,0.35,0.35,0.15,0.15
69.0,0.0153,1.2194,1.2239,0.7256,-0.7256,0.35,0.35,0.15,0.15
70.0,0.0139,1.2185,1.2222,0.7256,-0.7256,0.35,0.35,0.15,0.15
71.0,0.0127,1.2185,1.2222,0.7255,-0.7255,0.35,0.35,0.15,0.15
72.0,0.0115,1.2181,1.2215,0.7257,-0.7257,0.35,0.35,0.15,0.15
73.0,0.0105,1.2176,1.2205,0.7258,-0.7258,0.35,0.35,0.15,0.15
74.0,0.0095,1.2176,1.2201,0.7258,-0.7258,0.35,0.35,0.15,0.15
75.0,0.0086,1.2176,1.2207,0.7256,-0.7256,0.35,0.35,0.15,0.15
76.0,0.0079,1.217,1.2189,0.7259,-0.7259,0.35,0.35,0.15,0.15
77.0,0.0071,1.2168,1.2189,0.7259,-0.7259,0.35,0.35,0.15,0.15
78.0,0.0065,1.2166,1.2188,0.7257,-0.7257,0.35,0.35,0.15,0.15
79.0,0.0059,1.2166,1.2182,0.726,-0.726,0.35,0.35,0.15,0.15
80.0,0.0054,1.2166,1.2184,0.7258,-0.7258,0.35,0.35,0.15,0.15
81.0,0.0049,1.2166,1.218,0.726,-0.726,0.35,0.35,0.15,0.15
82.0,0.0044,1.2164,1.2174,0.7262,-0.7262,0.35,0.35,0.15,0.15
83.0,0.004,1.2164,1.2175,0.7261,-0.7261,0.35,0.35,0.15,0.15
84.0,0.0037,1.2162,1.2171,0.7263,-0.7263,0.35,0.35,0.15,0.15
