omega,S,S_p,S_c
-14.99,7.068583470577045e-6,0.0,7.068583470577045e-6
-14.985,2.356194490192348e-6,0.0,2.356194490192348e-6
-14.98,4.712388980384696e-6,0.0,4.712388980384696e-6
-14.975,2.5918139392115826e-5,0.0,2.5918139392115826e-5
-14.97,0.0,0.0,0.0
-14.965,1.8849555921538785e-5,0.0,1.8849555921538785e-5
-14.96,4.712388980384696e-6,0.0,4.712388980384696e-6
-14.955,0.0,0.0,0.0
-14.950000000000001,4.712388980384696e-6,0.0,4.712388980384696e-6
-14.945,1.413716694115409e-5,0.0,1.413716694115409e-5
-14.94,7.068583470577045e-6,0.0,7.068583470577045e-6
-14.935,7.068583470577045e-6,0.0,7.068583470577045e-6
-14.93,2.356194490192348e-6,0.0,2.356194490192348e-6
-14.925,2.356194490192348e-6,0.0,2.356194490192348e-6
-14.92,9.424777960769393e-6,0.0,9.424777960769393e-6
-14.915000000000001,4.712388980384696e-6,0.0,4.712388980384696e-6
-14.91,2.356194490192348e-6,0.0,2.356194490192348e-6
-14.905000000000001,2.1205750411731134e-5,0.0,2.1205750411731134e-5
-14.9,4.712388980384696e-6,0.0,4.712388980384696e-6
-14.895,1.8849555921538782e-5,0.0,1.8849555921538782e-5
-14.89,9.424777960769393e-6,0.0,9.424777960769393e-6
-14.885,2.3561944901923483e-5,0.0,2.3561944901923483e-5
-14.88,1.1780972450961742e-5,0.0,1.1780972450961742e-5
-14.875,1.6493361431346436e-5,0.0,1.6493361431346436e-5
-14.870000000000001,0.0,0.0,0.0
-14.865,1.6493361431346436e-5,0.0,1.6493361431346436e-5
-14.86,1.884955592153879e-5,0.0,1.884955592153879e-5
-14.855,4.712388980384696e-6,0.0,4.712388980384696e-6
-14.85,2.120575041173113e-5,0.0,2.120575041173113e-5
-14.845,2.5918139392115826e-5,0.0,2.5918139392115826e-5
-14.84,2.356194490192348e-6,0.0,2.356194490192348e-6
-14.835,7.068583470577045e-6,0.0,7.068583470577045e-6
-14.83,4.712388980384696e-6,0.0,4.712388980384696e-6
-14.825000000000001,0.0,0.0,0.0
-14.82,1.1780972450961742e-5,0.0,1.1780972450961742e-5
-14.815,9.424777960769393e-6,0.0,9.424777960769393e-6
-14.81,9.424777960769393e-6,0.0,9.424777960769393e-6
-14.805,0.0,0.0,0.0
-14.8,7.068583470577045e-6,0.0,7.068583470577045e-6
-14.795,2.356194490192348e-6,0.0,2.356194490192348e-6
-14.790000000000001,2.1205750411731138e-5,0.0,2.1205750411731138e-5
-14.785,1.413716694115409e-5,0.0,1.413716694115409e-5
-14.780000000000001,1.6493361431346436e-5,0.0,1.6493361431346436e-5
-14.775,2.5918139392115826e-5,0.0,2.5918139392115826e-5
-14.77,2.356194490192348e-6,0.0,2.356194490192348e-6
-14.765,1.8849555921538782e-5,0.0,1.8849555921538782e-5
-14.76,1.4137166941154087e-5,0.0,1.4137166941154087e-5
-14.755,1.413716694115409e-5,0.0,1.413716694115409e-5
-14.75,1.8849555921538785e-5,0.0,1.8849555921538785e-5
-14.745000000000001,1.1780972450961742e-5,0.0,1.1780972450961742e-5
-14.74,1.1780972450961742e-5,0.0,1.1780972450961742e-5
-14.735,1.6493361431346436e-5,0.0,1.6493361431346436e-5
-14.73,3.063052837250053e-5,0.0,3.063052837250053e-5
-14.725,1.1780972450961742e-5,0.0,1.1780972450961742e-5
-14.72,1.8849555921538785e-5,0.0,1.8849555921538785e-5
-14.715,7.068583470577045e-6,0.0,7.068583470577045e-6
-14.71,2.120575041173113e-5,0.0,2.120575041173113e-5
-14.705,1.6493361431346436e-5,0.0,1.6493361431346436e-5
-14.700000000000001,2.1205750411731138e-5,0.0,2.1205750411731138e-5
-14.695,2.1205750411731134e-5,0.0,2.1205750411731134e-5
-14.69,1.884955592153879e-5,0.0,1.884955592153879e-5
-14.685,0.0,0.0,0.0
-14.68,7.068583470577045e-6,0.0,7.068583470577045e-6
