i,ar_pcont1,ar_pcont2,ar_pcont3,ar_ncont1,ar_ncont2,ar_ncont3,∆w_pcont1,∆w_pcont2,∆w_ncont1,∆w_ncont2,ar_ppeak,ar_npeak,∆w_ppeak,∆w_npeak,ar_Ac,ar_Ap,∆Ac,∆Ap
1.0,0.554,0.5436,0.2561,0.5246,0.5106,0.4577,1.9721,3.6691,5.6796,8.8059,0.521,0.461,0.0003,0.0014,0.4967,0.24,0.0,0.0
2.0,0.5311,0.4969,0.2545,0.519,0.5067,0.4532,2.3665,4.403,5.6796,8.8059,0.5245,0.506,0.0003,0.0012,0.4768,0.215,0.0,0.0
3.0,0.5399,0.5121,0.2507,0.5184,0.4904,0.4453,2.3665,4.403,5.6796,8.8059,0.4345,0.511,0.0004,0.0012,0.4548,0.115,0.0,0.0
4.0,0.5349,0.5049,0.2455,0.5082,0.4799,0.4341,2.3665,4.403,5.6796,8.8059,0.5215,0.484,0.0003,0.0012,0.4923,0.085,0.0,0.0
5.0,0.5328,0.5012,0.2445,0.5067,0.4794,0.4259,2.3665,4.403,5.6796,8.8059,0.48,0.545,0.0003,0.001,0.48,0.09,0.0,0.0
6.0,0.5275,0.4991,0.2404,0.5,0.4618,0.413,2.3665,4.403,5.6796,8.8059,0.545,0.522,0.0003,0.001,0.4703,0.035,0.0,0.0
7.0,0.5255,0.486,0.2357,0.4898,0.4509,0.4126,2.3665,4.403,5.6796,8.8059,0.467,0.494,0.0003,0.001,0.4638,0.025,0.0,0.0
8.0,0.5173,0.4731,0.2315,0.4946,0.5254,0.406,2.3665,4.403,5.6796,7.3383,0.4045,0.4645,0.0003,0.001,0.4987,0.045,0.0,0.0
9.0,0.5135,0.5368,0.2283,0.4845,0.5156,0.4054,2.3665,3.6691,5.6796,7.3383,0.4915,0.5225,0.0003,0.0008,0.4951,0.02,0.0,0.0
10.0,0.5124,0.536,0.219,0.481,0.5046,0.3991,2.3665,3.6691,5.6796,7.3383,0.4575,0.4845,0.0003,0.0008,0.4839,0.005,0.0,0.0
11.0,0.5032,0.5276,0.2189,0.4787,0.503,0.3863,2.3665,3.6691,5.6796,7.3383,0.5175,0.48,0.0002,0.0008,0.476,0.01,0.0,0.0
12.0,0.4925,0.5074,0.2168,0.4674,0.4778,0.3902,2.3665,3.6691,5.6796,7.3383,0.511,0.4675,0.0002,0.0008,0.4781,0.01,0.0,0.0
13.0,0.4926,0.5102,0.2141,0.4671,0.4787,0.3851,2.3665,3.6691,5.6796,7.3383,0.5255,0.5115,0.0002,0.0007,0.4682,0.0,0.0,0.0
14.0,0.4874,0.5013,0.2051,0.4645,0.4822,0.3766,2.3665,3.6691,5.6796,7.3383,0.528,0.5025,0.0002,0.0007,0.506,0.005,0.0,0.0
15.0,0.4822,0.4864,0.2105,0.4665,0.4775,0.3712,2.3665,3.6691,5.6796,7.3383,0.5125,0.5415,0.0002,0.0006,0.4994,0.0,0.0,0.0
16.0,0.4767,0.4862,0.2055,0.4656,0.4798,0.3669,2.3665,3.6691,5.6796,7.3383,0.4725,0.474,0.0002,0.0007,0.4874,0.0,0.0,0.0
