i,ar_pcont1,ar_pcont2,ar_pcont3,ar_ncont1,ar_ncont2,ar_ncont3,∆w_pcont1,∆w_pcont2,∆w_ncont1,∆w_ncont2,ar_ppeak,ar_npeak,∆w_ppeak,∆w_npeak,ar_wAc,ar_wAp,ar_Ap,∆w_Ac,∆w_Ap,∆Ap
1.0,0.5103,0.5345,0.3544,0.5276,0.4854,0.3554,4.37708932,6.30300862,4.37708932,7.56361034,0.448,0.545,0.00040081,0.00143619,0.4965,0.502,0.4746,1.75905403,0.00023195,0.00057717
2.0,0.523,0.473,0.3385,0.5336,0.493,0.3529,4.37708932,7.56361034,4.37708932,7.56361034,0.477,0.54,0.00033401,0.00143619,0.4978,0.48,0.4646,1.75905403,0.00027834,0.00057717
3.0,0.5279,0.4747,0.3322,0.5407,0.4964,0.3469,4.37708932,7.56361034,4.37708932,7.56361034,0.568,0.549,0.00027834,0.00119682,0.4935,0.482,0.5283,1.75905403,0.00023195,0.00048098
4.0,0.5271,0.4816,0.3311,0.499,0.4932,0.3436,4.37708932,7.56361034,5.25250718,7.56361034,0.528,0.495,0.00027834,0.00143619,0.4956,0.395,0.5041,1.75905403,0.00027834,0.00048098
5.0,0.5374,0.4928,0.3284,0.4887,0.4943,0.3453,4.37708932,7.56361034,5.25250718,7.56361034,0.512,0.474,0.00027834,0.00143619,0.4947,0.549,0.4822,1.75905403,0.00019329,0.00048098
6.0,0.5383,0.49,0.3211,0.4915,0.4791,0.3418,4.37708932,7.56361034,5.25250718,7.56361034,0.462,0.481,0.00027834,0.00143619,0.4915,0.506,0.5475,1.75905403,0.00019329,0.00040081
7.0,0.5004,0.4987,0.3127,0.491,0.4843,0.3398,5.25250718,7.56361034,5.25250718,7.56361034,0.529,0.471,0.00023195,0.00143619,0.4922,0.54,0.4366,1.75905403,0.00016108,0.00048098
8.0,0.4965,0.4822,0.3018,0.4789,0.4765,0.3403,5.25250718,7.56361034,5.25250718,7.56361034,0.424,0.508,0.00027834,0.00119682,0.4824,0.54,0.4986,1.75905403,0.00016108,0.00040081
9.0,0.4966,0.4864,0.3067,0.477,0.5458,0.3376,5.25250718,7.56361034,5.25250718,6.30300862,0.495,0.55,0.00023195,0.00099735,0.4785,0.451,0.4656,1.75905403,0.00019329,0.00040081
10.0,0.4965,0.4802,0.3025,0.48,0.4767,0.3339,5.25250718,7.56361034,5.25250718,7.56361034,0.44,0.535,0.00023195,0.00099735,0.474,0.537,0.5219,1.75905403,0.00013423,0.00033401
11.0,0.4937,0.4767,0.2911,0.4845,0.4806,0.3237,5.25250718,7.56361034,5.25250718,7.56361034,0.511,0.48,0.00019329,0.00099735,0.4717,0.509,0.5102,1.75905403,0.00016108,0.00033401
12.0,0.4934,0.474,0.2974,0.4798,0.4718,0.3276,5.25250718,7.56361034,5.25250718,7.56361034,0.548,0.473,0.00016108,0.00099735,0.4741,0.514,0.484,1.75905403,0.00013423,0.00033401
13.0,0.4886,0.4602,0.2864,0.4671,0.5429,0.3212,5.25250718,7.56361034,5.25250718,6.30300862,0.476,0.428,0.00019329,0.00119682,0.5036,0.422,0.4559,1.46587836,0.00016108,0.00033401
14.0,0.4896,0.5314,0.284,0.4732,0.5373,0.314,5.25250718,6.30300862,5.25250718,6.30300862,0.53,0.573,0.00016108,0.0006926,0.4961,0.551,0.5224,1.46587836,0.00011186,0.00027834
15.0,0.4806,0.5218,0.2825,0.4693,0.5319,0.3121,5.25250718,6.30300862,5.25250718,6.30300862,0.507,0.515,0.00016108,0.00083113,0.4941,0.452,0.5052,1.46587836,0.00013423,0.00027834
16.0,0.4781,0.52,0.2745,0.5057,0.5214,0.3165,5.25250718,6.30300862,4.37708932,6.30300862,0.523,0.526,0.00016108,0.00083113,0.4878,0.524,0.4772,1.46587836,0.00011186,0.00027834
17.0,0.4792,0.5254,0.2704,0.4974,0.5066,0.303,5.25250718,6.30300862,4.37708932,6.30300862,0.55,0.49,0.00013423,0.00083113,0.4861,0.561,0.4519,1.46587836,9.322e-5,0.00027834
18.0,0.4784,0.5194,0.2655,0.487,0.5024,0.2972,5.25250718,6.30300862,4.37708932,6.30300862,0.503,0.622,0.00013423,0.00048098,0.4781,0.5,0.5192,1.46587836,0.00011186,0.00023195
19.0,0.4746,0.5046,0.2634,0.4915,0.5039,0.2932,5.25250718,6.30300862,4.37708932,6.30300862,0.578,0.503,0.00011186,0.0006926,0.474,0.548,0.4944,1.46587836,9.322e-5,0.00023195
20.0,0.4763,0.5041,0.254,0.4895,0.5034,0.2966,5.25250718,6.30300862,4.37708932,6.30300862,0.461,0.447,0.00013423,0.00083113,0.4693,0.498,0.4687,1.46587836,9.322e-5,0.00023195
21.0,0.4732,0.5063,0.2559,0.4851,0.4927,0.2929,5.25250718,6.30300862,4.37708932,6.30300862,0.476,0.522,0.00013423,0.00057717,0.4655,0.488,0.5324,1.46587836,9.322e-5,0.00019329
22.0,0.4692,0.5022,0.2473,0.4785,0.4858,0.2843,5.25250718,6.30300862,4.37708932,6.30300862,0.492,0.57,0.00011186,0.00048098,0.4586,0.45,0.4997,1.46587836,9.322e-5,0.00019329
23.0,0.4688,0.4908,0.2404,0.4723,0.4741,0.2794,5.25250718,6.30300862,4.37708932,6.30300862,0.493,0.508,0.00011186,0.00057717,0.4911,0.448,0.4875,1.2215653,9.322e-5,0.00019329
24.0,0.4984,0.4865,0.2444,0.4706,0.5434,0.2735,4.37708932,6.30300862,4.37708932,5.25250718,0.464,0.445,0.00011186,0.00057717,0.4814,0.408,0.5431,1.2215653,9.322e-5,0.00016108
25.0,0.4979,0.4775,0.2311,0.4712,0.54,0.2679,4.37708932,6.30300862,4.37708932,5.25250718,0.513,0.462,9.322e-5,0.00057717,0.4803,0.506,0.5205,1.2215653,7.768e-5,0.00016108
26.0,0.4949,0.4817,0.2329,0.4617,0.5271,0.2647,4.37708932,6.30300862,4.37708932,5.25250718,0.448,0.436,0.00011186,0.00057717,0.4672,0.554,0.4967,1.2215653,5.394e-5,0.00016108
27.0,0.4883,0.4654,0.2272,0.4934,0.5158,0.2508,4.37708932,6.30300862,3.64757443,5.25250718,0.522,0.566,7.768e-5,0.00040081,0.4604,0.467,0.4608,1.2215653,7.768e-5,0.00016108
28.0,0.4909,0.5376,0.224,0.487,0.507,0.2599,4.37708932,5.25250718,3.64757443,5.25250718,0.513,0.496,7.768e-5,0.00048098,0.4966,0.581,0.5306,1.01797108,5.394e-5,0.00013423
29.0,0.4824,0.523,0.219,0.4789,0.4976,0.2465,4.37708932,5.25250718,3.64757443,5.25250718,0.499,0.475,7.768e-5,0.00048098,0.4917,0.46,0.4952,1.01797108,6.473e-5,0.00013423
30.0,0.4833,0.5118,0.2142,0.468,0.4795,0.2564,4.37708932,5.25250718,3.64757443,5.25250718,0.465,0.449,7.768e-5,0.00048098,0.4843,0.525,0.4785,1.01797108,5.394e-5,0.00013423
31.0,0.4831,0.5109,0.2157,0.4987,0.4742,0.2462,4.37708932,5.25250718,3.03964536,5.25250718,0.527,0.472,6.473e-5,0.00040081,0.4789,0.546,0.4512,1.01797108,4.495e-5,0.00013423
32.0,0.4764,0.5018,0.2099,0.4904,0.4537,0.2369,4.37708932,5.25250718,3.03964536,5.25250718,0.449,0.546,7.768e-5,0.00033401,0.4702,0.422,0.5163,1.01797108,5.394e-5,0.00011186
33.0,0.4706,0.4917,0.2033,0.4845,0.5263,0.2383,4.37708932,5.25250718,3.03964536,4.37708932,0.489,0.543,6.473e-5,0.00033401,0.4668,0.418,0.4792,1.01797108,5.394e-5,0.00011186
34.0,0.4726,0.4949,0.2061,0.4783,0.5141,0.2277,4.37708932,5.25250718,3.03964536,4.37708932,0.547,0.532,5.394e-5,0.00033401,0.458,0.488,0.46,1.01797108,4.495e-5,0.00011186
35.0,0.4661,0.4828,0.1992,0.4702,0.4983,0.222,4.37708932,5.25250718,3.03964536,4.37708932,0.463,0.51,6.473e-5,0.00033401,0.4851,0.464,0.5158,0.84830923,4.495e-5,9.322e-5
36.0,0.4635,0.4744,0.1989,0.4667,0.4966,0.2136,4.37708932,5.25250718,3.03964536,4.37708932,0.573,0.451,4.495e-5,0.00033401,0.4813,0.509,0.4954,0.84830923,3.746e-5,9.322e-5
37.0,0.491,0.4722,0.1922,0.4942,0.4827,0.208,3.64757443,5.25250718,2.5330378,4.37708932,0.494,0.446,5.394e-5,0.00033401,0.4762,0.473,0.4568,0.84830923,3.746e-5,9.322e-5
38.0,0.4861,0.5225,0.1893,0.4876,0.5323,0.2043,3.64757443,4.37708932,2.5330378,3.64757443,0.465,0.488,5.394e-5,0.00027834,0.4683,0.521,0.5125,0.84830923,3.122e-5,7.768e-5
39.0,0.4815,0.5093,0.1808,0.48,0.5144,0.1977,3.64757443,4.37708932,2.5330378,3.64757443,0.496,0.456,4.495e-5,0.00027834,0.4577,0.502,0.483,0.84830923,3.122e-5,7.768e-5
40.0,0.4758,0.5044,0.1826,0.4603,0.4934,0.189,3.64757443,4.37708932,2.5330378,3.64757443,0.453,0.548,4.495e-5,0.00023195,0.485,0.481,0.4555,0.70692436,3.122e-5,7.768e-5
41.0,0.4722,0.5009,0.1763,0.5002,0.5012,0.1937,3.64757443,4.37708932,2.11086483,3.64757443,0.48,0.563,4.495e-5,0.00019329,0.4816,0.503,0.5202,0.70692436,2.601e-5,6.473e-5
42.0,0.4653,0.486,0.1724,0.4868,0.4771,0.1886,3.64757443,4.37708932,2.11086483,3.64757443,0.524,0.493,3.122e-5,0.00023195,0.4742,0.544,0.4881,0.70692436,2.168e-5,6.473e-5
