i,theta,chi2_min,chi2_avg,edge_p,edge_n,Ap_p,Ap_n,Ac_p,Ac_n
1.0,10.0,17.5712,25.3714,0.8849,-0.8549,0.5925,0.1075,0.1707,0.1293
2.0,9.0909,15.4691,22.6345,0.8843,-0.8603,0.5916,0.1084,0.1715,0.1285
3.0,8.2645,14.9723,21.313,0.8838,-0.862,0.5915,0.1085,0.1716,0.1284
4.0,7.5131,12.0549,19.5917,0.8837,-0.8569,0.5918,0.1082,0.1713,0.1287
5.0,6.8301,11.6057,17.8762,0.8836,-0.8626,0.5918,0.1082,0.1713,0.1287
6.0,6.2092,10.973,16.5572,0.8838,-0.8586,0.5921,0.1079,0.1709,0.1291
7.0,5.6447,9.1083,16.0723,0.8839,-0.8603,0.5918,0.1082,0.1712,0.1288
8.0,5.1316,9.1083,14.5142,0.8839,-0.8661,0.5915,0.1085,0.1716,0.1284
9.0,4.6651,8.5602,13.5491,0.8834,-0.8598,0.5917,0.1083,0.1712,0.1288
10.0,4.241,7.9458,11.3583,0.8832,-0.8656,0.5912,0.1088,0.1718,0.1282
11.0,3.8554,7.9458,11.6329,0.8832,-0.8611,0.5912,0.1088,0.1717,0.1283
12.0,3.5049,6.5694,9.5465,0.8829,-0.861,0.5915,0.1085,0.1716,0.1284
13.0,3.1863,6.4982,8.8357,0.8828,-0.862,0.5916,0.1084,0.1714,0.1286
14.0,2.8966,5.2338,8.1858,0.8824,-0.8591,0.5918,0.1082,0.1713,0.1287
15.0,2.6333,4.7115,7.2744,0.8822,-0.8626,0.5917,0.1083,0.1713,0.1287
16.0,2.3939,4.3592,6.7525,0.8825,-0.8632,0.5916,0.1084,0.1714,0.1286
17.0,2.1763,4.1634,6.5682,0.8825,-0.8624,0.5918,0.1082,0.1712,0.1288
18.0,1.9784,3.7632,6.177,0.8825,-0.8606,0.5914,0.1086,0.1716,0.1284
19.0,1.7986,3.7632,5.6131,0.8823,-0.8644,0.5914,0.1086,0.1716,0.1284
20.0,1.6351,3.7632,5.1698,0.8819,-0.8652,0.5913,0.1087,0.1718,0.1282
21.0,1.4864,2.9187,4.4201,0.8817,-0.8629,0.5915,0.1085,0.1716,0.1284
22.0,1.3513,2.7583,3.9677,0.8816,-0.8654,0.5913,0.1087,0.1718,0.1282
23.0,1.2285,2.7583,3.8783,0.8821,-0.8655,0.5912,0.1088,0.1718,0.1282
