omega,S
-4.5,4.041816866830362e-15
-4.4996,4.0677661463747054e-15
-4.4992,4.09387940544421e-15
-4.4988,4.120157663182608e-15
-4.4984,4.14660194495798e-15
-4.498,4.173213282400025e-15
-4.4976,4.19999271343761e-15
-4.4972,4.226941282336532e-15
-4.4968,4.254060039737498e-15
-4.4964,4.281350042694334e-15
-4.496,4.3088123547123934e-15
-4.4956,4.336448045787342e-15
-4.4952000000000005,4.364258192443622e-15
-4.4948,4.39224387777435e-15
-4.494400000000001,4.420406191479682e-15
-4.494,4.448746229907338e-15
-4.493600000000001,4.477265096091497e-15
-4.4932,4.505963899793775e-15
-4.492800000000001,4.534843757542509e-15
-4.4924,4.563905792674266e-15
-4.492,4.593151135373692e-15
-4.4916,4.622580922715113e-15
-4.4912,4.652196298703488e-15
-4.4908,4.681998414315968e-15
-4.4904,4.711988427543592e-15
-4.49,4.742167503433175e-15
-4.4896,4.7725368141296275e-15
-4.4892,4.803097538918327e-15
-4.4888,4.833850864267845e-15
-4.4884,4.864797983872888e-15
-4.4879999999999995,4.8959400986975595e-15
-4.4876000000000005,4.92727841701853e-15
-4.4872,4.9588141544693954e-15
-4.486800000000001,4.990548534083738e-15
-4.4864,5.022482786340322e-15
-4.486000000000001,5.0546181492065815e-15
-4.4856,5.086955868184445e-15
-4.485200000000001,5.119497196354139e-15
-4.4848,5.1522433944207186e-15
-4.484400000000001,5.185195730758356e-15
-4.484,5.2183554814573936e-15
-4.4836,5.251723930369207e-15
-4.4832,5.285302369153408e-15
-4.4828,5.319092097324143e-15
-4.4824,5.353094422296914e-15
-4.482,5.3873106594358756e-15
-4.4816,5.421742132101204e-15
-4.4812,5.456390171696756e-15
-4.4808,5.491256117718169e-15
-4.4804,5.52634131780106e-15
-4.48,5.561647127769576e-15
-4.4796,5.597174911685386e-15
-4.4792000000000005,5.632926041896294e-15
-4.4788,5.6689018990865795e-15
-4.478400000000001,5.705103872325558e-15
-4.478,5.741533359118717e-15
-4.477600000000001,5.778191765456841e-15
-4.4772,5.815080505867814e-15
-4.476800000000001,5.8522010034662135e-15
-4.4764,5.8895546900057e-15
-4.476,5.9271430059294436e-15
-4.4756,5.964967400422599e-15
-4.4752,6.003029331464065e-15
-4.4748,6.0413302658789e-15
-4.4744,6.0798716793910834e-15
-4.474,6.118655056676353e-15
-4.4736,6.157681891415658e-15
-4.4732,6.196953686348696e-15
-4.4728,6.2364719533277685e-15
-4.4724,6.27623821337215e-15
-4.4719999999999995,6.316253996722639e-15
-4.4716000000000005,6.3565208428960055e-15
-4.4712,6.3970403007411374e-15
-4.4708000000000006,6.437813928493304e-15
-4.4704,6.478843293831268e-15
-4.470000000000001,6.5201299739321826e-15
-4.4696,6.561675555529359e-15
-4.469200000000001,6.603481634967767e-15
-4.4688,6.645549818262602e-15
-4.468400000000001,6.687881721155208e-15
-4.468,6.730478969172528e-15
-4.4676,6.773343197683733e-15
-4.4672,6.816476051959873e-15
-4.4668,6.859879187232089e-15
