omega,S
-5.0,3.0313626501221357e-15
-4.9996,3.0508246097803875e-15
-4.9992,3.0704095540825108e-15
-4.9988,3.090118247386303e-15
-4.9984,3.1099514587178262e-15
-4.998,3.129909961799354e-15
-4.9976,3.1499945350775365e-15
-4.9972,3.1702059617517223e-15
-4.9968,3.1905450298024415e-15
-4.9964,3.211012532020062e-15
-4.996,3.231609266033601e-15
-4.9956,3.2523360343398065e-15
-4.9952000000000005,3.2731936443320103e-15
-4.9948,3.2941829083300494e-15
-4.994400000000001,3.315304643609042e-15
-4.994,3.3365596724297783e-15
-4.993600000000001,3.3579488220678903e-15
-4.9932,3.3794729248445928e-15
-4.992800000000001,3.401132818156137e-15
-4.9924,3.4229293445049475e-15
-4.992,3.444863351529511e-15
-4.9916,3.4669356920355702e-15
-4.9912,3.4891472240268442e-15
-4.9908,3.511498810736198e-15
-4.9904,3.5339913206569088e-15
-4.99,3.556625627574089e-15
-4.9896,3.5794026105964215e-15
-4.9892,3.6023231541879394e-15
-4.9888,3.625388148200071e-15
-4.9884,3.6485984879038455e-15
-4.9879999999999995,3.671955074022342e-15
-4.9876000000000005,3.695458812763062e-15
-4.9872,3.719110615851205e-15
-4.986800000000001,3.7429114005619534e-15
-4.9864,3.766862089754384e-15
-4.986000000000001,3.790963611904072e-15
-4.9856,3.815216901137462e-15
-4.985200000000001,3.839622897264724e-15
-4.9848,3.864182545814651e-15
-4.984400000000001,3.888896798067871e-15
-4.984,3.913766611092141e-15
-4.9836,3.938792947775993e-15
-4.9832,3.963976776864137e-15
-4.9828,3.989319072992179e-15
-4.9824,4.01482081672175e-15
-4.982,4.040482994575963e-15
-4.9816,4.06630659907495e-15
-4.9812,4.092292628771606e-15
-4.9808,4.118442088287657e-15
-4.9804,4.144755988349817e-15
-4.98,4.171235345826196e-15
-4.9796,4.197881183763044e-15
-4.9792000000000005,4.224694531421217e-15
-4.9788,4.251676424313922e-15
-4.978400000000001,4.278827904243147e-15
-4.978,4.306150019338007e-15
-4.977600000000001,4.333643824091591e-15
-4.9772,4.3613103793998115e-15
-4.976800000000001,4.389150752598602e-15
-4.9764,4.417166017503207e-15
-4.976,4.445357254446006e-15
-4.9756,4.4737255503158625e-15
-4.9752,4.5022719985969534e-15
-4.9748,4.53099769940807e-15
-4.9744,4.559903759542197e-15
-4.974,4.58899129250614e-15
-4.9736,4.618261418560609e-15
-4.9732,4.647715264760377e-15
-4.9728,4.6773539649946715e-15
-4.9724,4.707178660027947e-15
-4.9719999999999995,4.737190497540804e-15
-4.9716000000000005,4.7673906321708184e-15
-4.9712,4.797780225554657e-15
-4.9708000000000006,4.828360446368771e-15
-4.9704,4.8591324703722336e-15
-4.970000000000001,4.890097480447909e-15
-4.9696,4.921256666645781e-15
-4.969200000000001,4.952611226224575e-15
-4.9688,4.984162363695691e-15
-4.968400000000001,5.015911290865134e-15
-4.968,5.047859226878113e-15
-4.9676,5.080007398261505e-15
-4.9672,5.112357038968599e-15
-4.9668,5.14490939042275e-15
-4.9664,5.177665701561896e-15
-4.966,5.210627228883245e-15
-4.9656,5.243795236488052e-15
-4.9652,5.277170996126929e-15
-4.9648,5.310755787245121e-15
-4.9644,5.344550897028324e-15
-4.964,5.378557620448566e-15
-4.9636,5.412777260310531e-15
-4.9632000000000005,5.4472111272976586e-15
-4.9628,5.481860540019739e-15
-4.962400000000001,5.516726825058865e-15
-4.962,5.551811317017868e-15
-4.961600000000001,5.587115358566703e-15
-4.9612,5.622640300491614e-15
-4.960800000000001,5.658387501741964e-15
-4.9604,5.6943583294798646e-15
-4.960000000000001,5.730554159127716e-15
-4.9596,5.7669763744184016e-15
-4.9592,5.803626367443356e-15
-4.9588,5.840505538703014e-15
-4.9584,5.877615297156227e-15
-4.958,5.914957060270556e-15
-4.9576,5.95253225407255e-15
-4.9572,5.990342313198627e-15
-4.9568,6.028388680945919e-15
-4.9564,6.0666728093237205e-15
-4.956,6.105196159105016e-15
-4.9556000000000004,6.143960199878394e-15
-4.9552,6.182966410100352e-15
-4.9548000000000005,6.222216277147357e-15
-4.9544,6.261711297369627e-15
-4.954000000000001,6.301452976142929e-15
-4.9536,6.341442827923401e-15
-4.953200000000001,6.381682376299954e-15
-4.9528,6.422173154049597e-15
-4.952400000000001,6.462916703190514e-15
-4.952,6.503914575038107e-15
-4.9516,6.5451683302586384e-15
-4.9512,6.586679538925558e-15
-4.9508,6.628449780574678e-15
-4.9504,6.6704806442602174e-15
-4.95,6.71277372861109e-15
-4.9496,6.755330641887481e-15
-4.9492,6.798153002037884e-15
-4.9488,6.841242436756194e-15
-4.9484,6.884600583539501e-15
-4.948,6.928229089745823e-15
-4.9475999999999996,6.972129612652646e-15
-4.9472000000000005,7.01630381951493e-15
-4.9468,7.060753387625173e-15
-4.946400000000001,7.105480004371197e-15
-4.946,7.150485367297354e-15
-4.945600000000001,7.195771184162987e-15
-4.9452,7.241339173004222e-15
-4.944800000000001,7.287191062193078e-15
-4.9444,7.333328590500181e-15
-4.944000000000001,7.379753507154431e-15
-4.9436,7.426467571906325e-15
-4.9432,7.47347255508861e-15
-4.9428,7.520770237679795e-15
-4.9424,7.568362411366455e-15
-4.942,7.616250878606486e-15
-4.9416,7.664437452692635e-15
-4.9412,7.712923957816496e-15
-4.9408,7.761712229132614e-15
-4.9404,7.810804112823217e-15
-4.94,7.86020146616328e-15
-4.9396,7.90990615758586e-15
-4.9392,7.959920066747897e-15
-4.9388000000000005,8.010245084595962e-15
-4.9384,8.060883113433919e-15
-4.938000000000001,8.111836066988166e-15
-4.9376,8.16310587047673e-15
-4.937200000000001,8.214694460675237e-15
-4.9368,8.26660378598664e-15
-4.936400000000001,8.318835806508054e-15
-4.936,8.371392494101278e-15
-4.9356,8.424275832460516e-15
-4.9352,8.477487817183109e-15
-4.9348,8.531030455839221e-15
-4.9344,8.584905768042309e-15
-4.934,8.639115785520026e-15
-4.9336,8.69366255218551e-15
-4.9332,8.748548124209051e-15
-4.9328,8.803774570090324e-15
-4.9324,8.859343970730698e-15
-4.932,8.915258419506432e-15
-4.9315999999999995,8.971520022341913e-15
-4.9312000000000005,9.028130897783026e-15
-4.9308,9.085093177072681e-15
-4.930400000000001,9.142409004223435e-15
-4.93,9.200080536094808e-15
-4.929600000000001,9.258109942466562e-15
-4.9292,9.316499406116876e-15
-4.928800000000001,9.375251122896435e-15
-4.9284,9.43436730180745e-15
-4.928000000000001,9.493850165078886e-15
-4.9276,9.553701948246075e-15
