omega,S
-6.0,2.1932131187780453e-43
-5.9988,2.3456349341935834e-43
-5.9976,2.508591815682834e-43
-5.9964,2.682807889739569e-43
-5.9952,2.8690567754898835e-43
-5.994,3.0681649480732388e-43
-5.9928,3.281015329262564e-43
-5.9916,3.5085511205824838e-43
-5.9904,3.751779895208517e-43
-5.9892,4.011777966014448e-43
-5.988,4.289695048292658e-43
-5.9868,4.586759236910074e-43
-5.9856,4.904282318976324e-43
-5.9844,5.243665444509772e-43
-5.9832,5.606405179079099e-43
-5.982,5.994099963999037e-43
-5.9808,6.408457011359094e-43
-5.9796,6.851299662980414e-43
-5.9784,7.324575244327428e-43
-5.9772,7.830363446470838e-43
-5.976,8.370885271387316e-43
-5.9748,8.94851257823454e-43
-5.9736,9.565778270736139e-43
-5.9724,1.0225387168471976e-42
-5.9712,1.0930227607715222e-42
-5.97,1.1683383820476295e-42
-5.9688,1.248814914365273e-42
-5.9676,1.3348040113605103e-42
-5.9664,1.4266811505164193e-42
-5.9652,1.524847237796628e-42
-5.964,1.6297303197185197e-42
-5.9628,1.7417874100167682e-42
-5.9616,1.861506438520041e-42
-5.9604,1.989408330369409e-42
-5.9592,2.126049224242106e-42
-5.958,2.2720228388183752e-42
-5.9568,2.4279629973384542e-42
-5.9556000000000004,2.5945463207472024e-42
-5.9544,2.7724951006165567e-42
-5.9532,2.962580363772747e-42
-5.952,3.1656251413460874e-42
-5.9508,3.3825079557927696e-42
-5.9496,3.614166540336776e-42
-5.9484,3.8616018062292165e-42
-5.9472,4.125882074235379e-42
-5.946,4.4081475878409745e-42
-5.9448,4.709615326821445e-42
-5.9436,5.03158414103879e-42
-5.9424,5.3754402256434126e-42
-5.9412,5.742662960244176e-42
-5.94,6.134831136095073e-42
-5.9388,6.553629596925794e-42
-5.9376,7.000856320722532e-42
-5.9364,7.47842997156381e-42
-5.9352,7.988397952514881e-42
-5.934,8.532944992625769e-42
-5.9328,9.114402303240314e-42
-5.9316,9.73525734112701e-42
-5.9304,1.039816421840488e-41
-5.9292,1.1105954801845989e-41
-5.928,1.1861650546934442e-41
-5.9268,1.266847511501351e-41
-5.9256,1.3529867825026867e-41
-5.9244,1.444949799472064e-41
-5.9232,1.5431280229753706e-41
-5.922,1.6479390722984616e-41
-5.9208,1.759828463027429e-41
-5.9196,1.8792714593453967e-41
-5.9184,2.0067750485735748e-41
-5.9172,2.1428800459743567e-41
-5.916,2.2881633383561186e-41
-5.9148,2.4432402755774107e-41
-5.9136,2.6087672196379095e-41
-5.9124,2.785444261678808e-41
-5.9112,2.9740181178808497e-41
-5.91,3.1752852159685484e-41
-5.9088,3.3900949847873266e-41
-5.9076,3.6193533602313366e-41
-5.9064,3.864026521663132e-41
-5.9052,4.125144873882631e-41
-5.904,4.4038072906845576e-41
-5.9028,4.701185637078262e-41
-5.9016,5.01852958835737e-41
-5.9004,5.357171765382037e-41
-5.8992,5.71853320669387e-41
-5.898,6.104129199418836e-41
-5.8968,6.515575492332439e-41
-5.8956,6.954594915984354e-41
-5.8944,7.42302443637608e-41
-5.8932,7.922822670412928e-41
-5.892,8.456077893167962e-41
-5.8908,9.025016568942615e-41
-5.8896,9.63201244016651e-41
-5.8884,1.0279596210395466e-40
-5.8872,1.0970465859980928e-40
-5.886,1.1707497635501799e-40
-5.8848,1.2493757756679216e-40
-5.8836,1.3332514887324502e-40
-5.8824,1.4227253419871412e-40
-5.8812,1.5181687626224323e-40
-5.88,1.6199776731078276e-40
-5.8788,1.7285740967440063e-40
-5.8776,1.8444078677968406e-40
-5.8764,1.9679584529810335e-40
-5.8752,2.0997368914979383e-40
-5.874,2.240287861295267e-40
-5.8728,2.3901918797072e-40
-5.8716,2.5500676471615395e-40
-5.8704,2.7205745431925824e-40
-5.8692,2.902415284596486e-40
-5.868,3.096338756193764e-40
-5.8668,3.3031430253366025e-40
-5.8656,3.5236785520098e-40
-5.8644,3.758851607138429e-40
-5.8632,4.009627912516524e-40
-5.862,4.277036516635848e-40
-5.8608,4.56217392160403e-40
-5.8596,4.866208477315353e-40
-5.8584,5.190385060068736e-40
-5.8572,5.536030053928082e-40
-5.856,5.904556654291254e-40
-5.8548,6.297470514370942e-40
-5.8536,6.71637575661977e-40
-5.8524,7.162981372533684e-40
-5.8512,7.63910803576339e-40
-5.85,8.146695355055818e-40
-5.8488,8.687809595231466e-40
-5.8476,9.264651896213263e-40
-5.8464,9.879567022018022e-40
-5.8452,1.053505267366668e-39
-5.844,1.1233769402125713e-39
-5.8428,1.1978551159685845e-39
-5.8416,1.277241653063516e-39
-5.8404,1.3618580684667262e-39
-5.8392,1.4520468099246103e-39
-5.838,1.548172610005886e-39
-5.8368,1.6506239271828772e-39
-5.8356,1.7598144795069373e-39
-5.8344,1.8761848767883164e-39
-5.8332,2.0002043575660317e-39
-5.832,2.1323726375526664e-39
-5.8308,2.273221876659689e-39
-5.8296,2.423318772162577e-39
-5.8284,2.58326678604071e-39
-5.8272,2.7537085150374062e-39
-5.826,2.935328212524418e-39
-5.8248,3.128854471830596e-39
-5.8236,3.335063081306104e-39
-5.8224,3.554780062038971e-39
-5.8212,3.788884899834319e-39
-5.82,4.03831398379706e-39
-5.8188,4.304064264638084e-39
-5.8176,4.5871971466528614e-39
-5.8164,4.888842628197205e-39
-5.8152,5.21020370642631e-39
-5.814,5.552561063047249e-39
-5.8128,5.917278048898162e-39
-5.8116,6.305805986283681e-39
-5.8104,6.719689809190811e-39
-5.8092,7.160574062769621e-39
-5.808,7.630209284817944e-39
-5.8068,8.130458793424825e-39
-5.8056,8.663305906456884e-39
-5.8044,9.230861620178003e-39
-5.8032,9.835372776008112e-39
-5.802,1.0479230746246107e-38
-5.8008,1.1164980671514325e-38
-5.7996,1.1895331284742292e-38
-5.7984,1.2673165358675964e-38
-5.7972,1.3501550816230393e-38
-5.796,1.438375254545659e-38
-5.7948,1.5323244963511242e-38
-5.7936,1.6323725376794115e-38
-5.7924,1.7389128187366183e-38
-5.7912,1.8523639998904716e-38
-5.79,1.9731715678758334e-38
-5.7888,2.1018095436221394e-38
-5.7876,2.238782298088654e-38
-5.7864,2.384626482892498e-38
-5.7852,2.5399130829375553e-38
-5.784,2.7052495987016274e-38
-5.7828,2.881282366318139e-38
-5.7816,3.0686990240924043e-38
-5.7804,3.2682311346341927e-38
-5.7792,3.480656972357809e-38
-5.7780000000000005,3.706804486708181e-38
-5.7768,3.947554452116978e-38
-5.7756,4.2038438163738416e-38
-5.7744,4.4766692598301797e-38
-5.7732,4.76709097861654e-38
-5.772,5.076236705880252e-38
-5.7708,5.405305985915257e-38
-5.7696,5.755574716981925e-38
-5.7684,6.128399979589761e-38
-5.7672,6.52522516806474e-38
-5.766,6.947585444315897e-38
-5.7648,7.397113533897936e-38
